# COSI2 B0 scan,,,,,,
# time 2024-08-27 10:13:11.065607,,,,,,
# MAGNET CENTER IN LAB: x 230.640 mm, y 199.490 mm, z 302.240 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ONE_INSERT_Z-260Y0X-90_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
230.64,199.49,182.24,-0.005,0.051,0.003,0.052
250.64,239.49,192.24,-0.007,0.049,0.009,0.052
240.64,239.49,192.24,-0.01,0.058,0.009,0.048
230.64,239.49,192.24,-0.009,0.041,0.008,0.044
220.64,239.49,192.24,-0.011,0.053,0.009,0.046
210.64,239.49,192.24,-0.004,0.057,0.002,0.046
200.64,229.49,192.24,-0.007,0.052,0.015,0.054
210.64,229.49,192.24,-0.007,0.049,0.008,0.052
220.64,229.49,192.24,-0.008,0.051,0.007,0.054
230.64,229.49,192.24,-0.004,0.053,0.009,0.046
240.64,229.49,192.24,-0.011,0.049,0.017,0.053
250.64,229.49,192.24,-0.01,0.056,0.005,0.057
260.64,229.49,192.24,-0.013,0.049,-0.002,0.05
270.64,219.49,192.24,-0.011,0.056,0.007,0.058
260.64,219.49,192.24,-0.014,0.05,0.009,0.053
250.64,219.49,192.24,-0.016,0.042,0.006,0.046
240.64,219.49,192.24,-0.011,0.055,0.007,0.057
230.64,219.49,192.24,-0.011,0.039,0.009,0.057
220.64,219.49,192.24,-0.01,0.043,0.006,0.053
210.64,219.49,192.24,-0.007,0.05,0.012,0.042
200.64,219.49,192.24,-0.006,0.051,0.007,0.055
190.64,219.49,192.24,-0.007,0.043,0.008,0.048
190.64,209.49,192.24,-0.009,0.055,0.008,0.045
200.64,209.49,192.24,-0.004,0.046,0.003,0.051
210.64,209.49,192.24,-0.001,0.057,0.007,0.047
220.64,209.49,192.24,-0.008,0.053,0.001,0.047
230.64,209.49,192.24,-0.008,0.049,0.008,0.05
240.64,209.49,192.24,-0.007,0.05,0.005,0.051
250.64,209.49,192.24,-0.007,0.053,0.007,0.054
260.64,209.49,192.24,-0.011,0.049,0.012,0.051
270.64,209.49,192.24,-0.013,0.051,0.008,0.053
270.64,199.49,192.24,-0.015,0.052,-0.004,0.064
260.64,199.49,192.24,-0.01,0.053,0.003,0.062
250.64,199.49,192.24,-0.012,0.051,0.012,0.043
240.64,199.49,192.24,-0.009,0.051,-0.002,0.058
230.64,199.49,192.24,-0.008,0.043,0,0.057
220.64,199.49,192.24,-0.005,0.041,0,0.048
210.64,199.49,192.24,-0.008,0.057,0.001,0.058
200.64,199.49,192.24,-0.004,0.051,0.005,0.051
190.64,199.49,192.24,-0.006,0.048,0.001,0.048
190.64,189.49,192.24,-0.003,0.045,0.004,0.046
200.64,189.49,192.24,-0.005,0.06,0,0.056
210.64,189.49,192.24,-0.004,0.044,0.005,0.055
220.64,189.49,192.24,-0.001,0.051,0.002,0.05
230.64,189.49,192.24,-0.005,0.05,0.004,0.042
240.64,189.49,192.24,-0.008,0.055,0.003,0.056
250.64,189.49,192.24,-0.006,0.052,0.01,0.051
260.64,189.49,192.24,-0.013,0.057,-0.004,0.059
270.64,189.49,192.24,-0.011,0.051,-0.002,0.054
270.64,179.49,192.24,-0.011,0.054,-0.001,0.055
260.64,179.49,192.24,-0.013,0.048,-0.004,0.05
250.64,179.49,192.24,-0.008,0.058,0.002,0.059
240.64,179.49,192.24,-0.005,0.054,-0.006,0.056
230.64,179.49,192.24,-0.01,0.049,0.001,0.04
220.64,179.49,192.24,-0.007,0.046,0.003,0.058
210.64,179.49,192.24,-0.007,0.051,0.003,0.044
200.64,179.49,192.24,-0.008,0.051,0,0.052
190.64,179.49,192.24,-0.001,0.051,0.007,0.051
200.64,169.49,192.24,-0.004,0.048,0.005,0.048
210.64,169.49,192.24,-0.007,0.043,0.004,0.049
220.64,169.49,192.24,-0.006,0.043,-0.004,0.042
230.64,169.49,192.24,-0.005,0.055,0.009,0.056
240.64,169.49,192.24,-0.006,0.049,0.006,0.049
250.64,169.49,192.24,-0.007,0.049,0.003,0.049
260.64,169.49,192.24,-0.011,0.05,-0.001,0.053
250.64,159.49,192.24,-0.009,0.052,-0.003,0.049
240.64,159.49,192.24,-0.005,0.049,-0.012,0.051
230.64,159.49,192.24,-0.009,0.053,0.001,0.055
220.64,159.49,192.24,-0.005,0.049,0.002,0.052
210.64,159.49,192.24,-0.001,0.052,0.001,0.052
210.64,139.49,202.24,-0.003,0.049,0.002,0.049
220.64,139.49,202.24,-0.005,0.061,0.002,0.047
230.64,139.49,202.24,-0.004,0.039,0.002,0.048
240.64,139.49,202.24,-0.005,0.05,-0.004,0.049
250.64,139.49,202.24,-0.01,0.05,0.012,0.05
270.64,149.49,202.24,-0.01,0.056,0.004,0.047
260.64,149.49,202.24,-0.012,0.045,-0.002,0.054
250.64,149.49,202.24,-0.007,0.056,0.003,0.053
240.64,149.49,202.24,-0.009,0.04,0.004,0.06
230.64,149.49,202.24,-0.009,0.041,-0.013,0.045
220.64,149.49,202.24,-0.007,0.05,-0.007,0.051
210.64,149.49,202.24,-0.003,0.051,0,0.052
200.64,149.49,202.24,-0.01,0.042,0.003,0
190.64,149.49,202.24,0,0.041,0.01,0.044
180.64,159.49,202.24,-0.001,0.04,0.01,0.041
190.64,159.49,202.24,-0.003,0.038,0.003,0.038
200.64,159.49,202.24,-0.002,0.042,0.007,0.043
210.64,159.49,202.24,-0.003,0.05,-0.002,0.05
220.64,159.49,202.24,-0.005,0.043,0.005,0.044
230.64,159.49,202.24,-0.007,0.052,0,0.044
