# COSI2 B0 scan
# time 2024-08-05 18:07:07.364214
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/OVERNIGHT_PRECISE_RINGS0_1_NEW_RINGS2_3_OLD
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-47.1760,-0.9300,0.2000,47.1870
242.800,227.460,191.290,-47.1790,-0.9400,0.2100,47.1890
232.800,227.460,191.290,-47.1740,-0.9300,0.2100,47.1840
222.800,227.460,191.290,-47.1640,-0.9300,0.2000,47.1730
212.800,227.460,191.290,-47.1570,-0.9300,0.2000,47.1660
202.800,217.460,191.290,-47.1510,-0.9300,0.2000,47.1610
212.800,217.460,191.290,-47.1580,-0.9400,0.1900,47.1670
222.800,217.460,191.290,-47.1570,-0.9400,0.1900,47.1670
232.800,217.460,191.290,-47.1530,-0.9300,0.1900,47.1630
242.800,217.460,191.290,-47.1620,-0.9200,0.1900,47.1710
252.800,217.460,191.290,-47.1650,-0.9300,0.2100,47.1750
262.800,217.460,191.290,-47.1790,-0.9200,0.1900,47.1880
272.800,207.460,191.290,-47.1880,-0.9300,0.2000,47.1980
262.800,207.460,191.290,-47.1990,-0.9300,0.1900,47.2080
252.800,207.460,191.290,-47.1990,-0.9300,0.1900,47.2090
242.800,207.460,191.290,-47.1810,-0.9300,0.1900,47.1910
232.800,207.460,191.290,-47.1730,-0.9200,0.1900,47.1830
222.800,207.460,191.290,-47.1670,-0.9200,0.1900,47.1780
212.800,207.460,191.290,-47.1630,-0.9300,0.1900,47.1710
202.800,207.460,191.290,-47.1590,-0.9300,0.1900,47.1710
192.800,207.460,191.290,-47.1630,-0.9400,0.1900,47.1700
192.800,197.460,191.290,-47.1660,-0.9500,0.1800,47.1790
202.800,197.460,191.290,-47.1750,-0.9400,0.1800,47.1820
212.800,197.460,191.290,-47.1730,-0.9400,0.1800,47.1810
222.800,197.460,191.290,-47.1640,-0.9200,0.1900,47.1720
232.800,197.460,191.290,-47.1610,-0.9200,0.1900,47.1680
242.800,197.460,191.290,-47.1630,-0.9200,0.1900,47.1730
252.800,197.460,191.290,-47.1710,-0.9200,0.1800,47.1800
262.800,197.460,191.290,-47.1790,-0.9200,0.1800,47.1880
