# COSI2 B0 scan,,,,,,
# time 2024-08-05 18:07:07.364214,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/OVERNIGHT_PRECISE_RINGS0_1_NEW_RINGS2_3_OLD,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-47.179,-0.94,0.21,47.189
242.8,227.46,191.29,-47.174,-0.93,0.21,47.184
232.8,227.46,191.29,-47.164,-0.93,0.2,47.173
222.8,227.46,191.29,-47.157,-0.93,0.2,47.166
212.8,227.46,191.29,-47.151,-0.93,0.2,47.161
202.8,217.46,191.29,-47.158,-0.94,0.19,47.167
212.8,217.46,191.29,-47.157,-0.94,0.19,47.167
222.8,217.46,191.29,-47.153,-0.93,0.19,47.163
232.8,217.46,191.29,-47.162,-0.92,0.19,47.171
242.8,217.46,191.29,-47.165,-0.93,0.21,47.175
252.8,217.46,191.29,-47.179,-0.92,0.19,47.188
262.8,217.46,191.29,-47.188,-0.93,0.2,47.198
272.8,207.46,191.29,-47.199,-0.93,0.19,47.208
262.8,207.46,191.29,-47.199,-0.93,0.19,47.209
252.8,207.46,191.29,-47.181,-0.93,0.19,47.191
242.8,207.46,191.29,-47.173,-0.92,0.19,47.183
232.8,207.46,191.29,-47.167,-0.92,0.19,47.178
222.8,207.46,191.29,-47.163,-0.93,0.19,47.171
212.8,207.46,191.29,-47.159,-0.93,0.19,47.171
202.8,207.46,191.29,-47.163,-0.94,0.19,47.17
192.8,207.46,191.29,-47.166,-0.95,0.18,47.179
192.8,197.46,191.29,-47.175,-0.94,0.18,47.182
202.8,197.46,191.29,-47.173,-0.94,0.18,47.181
212.8,197.46,191.29,-47.164,-0.92,0.19,47.172
222.8,197.46,191.29,-47.161,-0.92,0.19,47.168
232.8,197.46,191.29,-47.163,-0.92,0.19,47.173
242.8,197.46,191.29,-47.171,-0.92,0.18,47.18
252.8,197.46,191.29,-47.179,-0.92,0.18,47.188
262.8,197.46,191.29,-47.182,-0.92,0.18,47.191
272.8,197.46,191.29,-47.192,-0.94,0.18,47.202
272.8,187.46,191.29,-47.193,-0.93,0.18,47.203
262.8,187.46,191.29,-47.185,-0.93,0.17,47.194
252.8,187.46,191.29,-47.174,-0.91,0.18,47.183
242.8,187.46,191.29,-47.171,-0.91,0.19,47.18
232.8,187.46,191.29,-47.171,-0.92,0.19,47.18
222.8,187.46,191.29,-47.162,-0.93,0.19,47.172
212.8,187.46,191.29,-47.164,-0.93,0.2,47.174
202.8,187.46,191.29,-47.168,-0.93,0.2,47.178
192.8,187.46,191.29,-47.18,-0.93,0.19,47.189
192.8,177.46,191.29,-47.178,-0.94,0.2,47.187
202.8,177.46,191.29,-47.171,-0.94,0.21,47.181
212.8,177.46,191.29,-47.166,-0.93,0.2,47.176
222.8,177.46,191.29,-47.162,-0.91,0.19,47.172
232.8,177.46,191.29,-47.163,-0.92,0.19,47.172
242.8,177.46,191.29,-47.162,-0.91,0.19,47.171
252.8,177.46,191.29,-47.165,-0.92,0.18,47.175
262.8,177.46,191.29,-47.176,-0.91,0.18,47.185
272.8,177.46,191.29,-47.185,-0.91,0.16,47.194
272.8,167.46,191.29,-47.171,-0.91,0.16,47.18
262.8,167.46,191.29,-47.165,-0.91,0.17,47.174
252.8,167.46,191.29,-47.155,-0.91,0.18,47.164
242.8,167.46,191.29,-47.155,-0.92,0.2,47.164
232.8,167.46,191.29,-47.156,-0.92,0.19,47.165
222.8,167.46,191.29,-47.159,-0.91,0.2,47.168
212.8,167.46,191.29,-47.165,-0.94,0.2,47.174
202.8,167.46,191.29,-47.164,-0.94,0.21,47.174
192.8,167.46,191.29,-47.173,-0.94,0.2,47.183
202.8,157.46,191.29,-47.169,-0.94,0.21,47.179
212.8,157.46,191.29,-47.164,-0.93,0.21,47.174
222.8,157.46,191.29,-47.155,-0.93,0.21,47.165
232.8,157.46,191.29,-47.152,-0.91,0.21,47.161
242.8,157.46,191.29,-47.155,-0.92,0.19,47.164
252.8,157.46,191.29,-47.156,-0.91,0.19,47.165
262.8,157.46,191.29,-47.16,-0.9,0.19,47.169
252.8,147.46,191.29,-47.153,-0.9,0.2,47.162
242.8,147.46,191.29,-47.145,-0.91,0.2,47.154
232.8,147.46,191.29,-47.154,-0.92,0.21,47.163
222.8,147.46,191.29,-47.148,-0.92,0.21,47.157
212.8,147.46,191.29,-47.156,-0.93,0.21,47.166
212.8,127.46,201.29,-47.161,-0.94,0.21,47.171
222.8,127.46,201.29,-47.16,-0.93,0.21,47.17
232.8,127.46,201.29,-47.147,-0.94,0.2,47.157
242.8,127.46,201.29,-47.141,-0.93,0.2,47.151
252.8,127.46,201.29,-47.142,-0.92,0.19,47.151
272.8,137.46,201.29,-47.149,-0.93,0.19,47.159
262.8,137.46,201.29,-47.158,-0.91,0.17,47.167
