# COSI2 B0 scan
# time 2024-08-09 12:53:30.505135
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_240809_flipped_rings_12pts_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-47.5610,-0.7200,-0.3900,47.5690
242.800,227.460,191.290,-47.5610,-0.7500,-0.3900,47.5680
232.800,227.460,191.290,-47.5510,-0.7400,-0.4000,47.5590
222.800,227.460,191.290,-47.5340,-0.7300,-0.4000,47.5420
212.800,227.460,191.290,-47.5250,-0.7300,-0.4200,47.5320
202.800,217.460,191.290,-47.5220,-0.7400,-0.4400,47.5290
212.800,217.460,191.290,-47.5290,-0.7500,-0.4400,47.5370
222.800,217.460,191.290,-47.5330,-0.7500,-0.4100,47.5400
232.800,217.460,191.290,-47.5340,-0.7300,-0.4000,47.5410
242.800,217.460,191.290,-47.5460,-0.7300,-0.4000,47.5530
252.800,217.460,191.290,-47.5530,-0.7300,-0.3800,47.5600
262.800,217.460,191.290,-47.5620,-0.7300,-0.3800,47.5650
272.800,207.460,191.290,-47.5820,-0.7300,-0.3800,47.5830
262.800,207.460,191.290,-47.5980,-0.7600,-0.3600,47.6040
252.800,207.460,191.290,-47.5940,-0.7400,-0.3700,47.6040
242.800,207.460,191.290,-47.5810,-0.7400,-0.3700,47.5910
232.800,207.460,191.290,-47.5680,-0.7300,-0.3800,47.5760
222.800,207.460,191.290,-47.5530,-0.7300,-0.3900,47.5610
212.800,207.460,191.290,-47.5460,-0.7300,-0.3900,47.5540
202.800,207.460,191.290,-47.5480,-0.7400,-0.4000,47.5550
192.800,207.460,191.290,-47.5530,-0.7400,-0.4000,47.5610
192.800,197.460,191.290,-47.5600,-0.7600,-0.4100,47.5680
