# COSI2 B0 scan
# time 2024-08-09 13:31:23.374767
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_240809_flipped_rings_R120_24pts_PRECISE_MAP
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
247.800,217.460,186.290,-47.5690,-0.7100,-0.3800,47.5760
242.800,217.460,186.290,-47.5640,-0.7200,-0.3800,47.5750
237.800,217.460,186.290,-47.5550,-0.7300,-0.3800,47.5610
232.800,217.460,186.290,-47.5500,-0.7100,-0.3900,47.5560
227.800,217.460,186.290,-47.5440,-0.7100,-0.4000,47.5520
222.800,217.460,186.290,-47.5360,-0.7100,-0.4000,47.5430
217.800,217.460,186.290,-47.5300,-0.7100,-0.4100,47.5370
212.800,212.460,186.290,-47.5290,-0.7200,-0.4200,47.5360
217.800,212.460,186.290,-47.5370,-0.7200,-0.4000,47.5440
222.800,212.460,186.290,-47.5340,-0.7100,-0.4100,47.5410
227.800,212.460,186.290,-47.5360,-0.7200,-0.4000,47.5430
232.800,212.460,186.290,-47.5460,-0.7200,-0.4000,47.5530
237.800,212.460,186.290,-47.5480,-0.7200,-0.3900,47.5550
242.800,212.460,186.290,-47.5540,-0.7000,-0.3900,47.5570
247.800,212.460,186.290,-47.5570,-0.7100,-0.3800,47.5650
252.800,212.460,186.290,-47.5650,-0.7200,-0.3700,47.5720
257.800,207.460,186.290,-47.5750,-0.7200,-0.3700,47.5830
252.800,207.460,186.290,-47.5800,-0.7200,-0.3700,47.5870
247.800,207.460,186.290,-47.5840,-0.7200,-0.3700,47.5910
242.800,207.460,186.290,-47.5710,-0.7200,-0.3700,47.5780
237.800,207.460,186.290,-47.5670,-0.7000,-0.3800,47.5740
232.800,207.460,186.290,-47.5550,-0.7100,-0.3700,47.5620
227.800,207.460,186.290,-47.5550,-0.7100,-0.3800,47.5620
222.800,207.460,186.290,-47.5510,-0.7100,-0.3700,47.5580
217.800,207.460,186.290,-47.5420,-0.7200,-0.3900,47.5490
212.800,207.460,186.290,-47.5370,-0.7200,-0.3900,47.5480
207.800,207.460,186.290,-47.5380,-0.7200,-0.3900,47.5440
202.800,202.460,186.290,-47.5430,-0.7400,-0.3900,47.5530
207.800,202.460,186.290,-47.5580,-0.7400,-0.4000,47.5640
212.800,202.460,186.290,-47.5480,-0.7200,-0.3800,47.5550
217.800,202.460,186.290,-47.5580,-0.7200,-0.3800,47.5620
222.800,202.460,186.290,-47.5540,-0.7200,-0.3800,47.5580
227.800,202.460,186.290,-47.5510,-0.7200,-0.3800,47.5580
232.800,202.460,186.290,-47.5480,-0.7100,-0.3700,47.5550
237.800,202.460,186.290,-47.5510,-0.7100,-0.3600,47.5570
242.800,202.460,186.290,-47.5590,-0.7100,-0.3600,47.5660
247.800,202.460,186.290,-47.5610,-0.7200,-0.3600,47.5680
252.800,202.460,186.290,-47.5690,-0.7100,-0.3700,47.5760
257.800,202.460,186.290,-47.5790,-0.7200,-0.3600,47.5840
262.800,202.460,186.290,-47.5840,-0.7200,-0.3600,47.5930
262.800,197.460,186.290,-47.5940,-0.7300,-0.3700,47.5980
257.800,197.460,186.290,-47.5930,-0.7400,-0.3600,47.6010
252.800,197.460,186.290,-47.5870,-0.7400,-0.3600,47.5950
247.800,197.460,186.290,-47.5780,-0.7300,-0.3600,47.5830
242.800,197.460,186.290,-47.5740,-0.7100,-0.3600,47.5820
237.800,197.460,186.290,-47.5690,-0.7200,-0.3500,47.5760
232.800,197.460,186.290,-47.5600,-0.7100,-0.3600,47.5660
227.800,197.460,186.290,-47.5580,-0.7200,-0.3700,47.5650
222.800,197.460,186.290,-47.5530,-0.7200,-0.3600,47.5590
