# COSI2 B0 scan
# time 2024-08-09 11:50:24.486507
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_240809_flipped_rings_R120_5pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
184.800,235.460,205.290,-47.5620,-0.8000,-0.4900,47.5710
208.800,235.460,205.290,-47.5650,-0.8000,-0.4900,47.5740
232.800,235.460,205.290,-47.5460,-0.7800,-0.4800,47.5550
256.800,235.460,205.290,-47.5280,-0.7700,-0.4500,47.5360
280.800,235.460,205.290,-47.5290,-0.7600,-0.4300,47.5370
280.800,211.460,205.290,-47.5560,-0.7700,-0.3900,47.5630
256.800,211.460,205.290,-47.5920,-0.8100,-0.3700,47.6000
232.800,211.460,205.290,-47.5960,-0.7900,-0.3800,47.6040
208.800,211.460,205.290,-47.5720,-0.7800,-0.3800,47.5810
184.800,211.460,205.290,-47.5560,-0.7700,-0.3900,47.5640
184.800,187.460,205.290,-47.5550,-0.7800,-0.4200,47.5630
208.800,187.460,205.290,-47.5880,-0.7900,-0.4300,47.5960
232.800,187.460,205.290,-47.6000,-0.7800,-0.3800,47.6080
256.800,187.460,205.290,-47.5750,-0.7800,-0.3800,47.5830
280.800,187.460,205.290,-47.5680,-0.7800,-0.3800,47.5740
280.800,163.460,205.290,-47.5740,-0.7800,-0.3700,47.5820
256.800,163.460,205.290,-47.5920,-0.8000,-0.3800,47.6000
232.800,163.460,205.290,-47.5710,-0.7900,-0.3800,47.5770
208.800,163.460,205.290,-47.5560,-0.7800,-0.3700,47.5640
184.800,163.460,205.290,-47.5570,-0.7900,-0.3400,47.5650
184.800,139.460,205.290,-47.5730,-0.7900,-0.3300,47.5810
208.800,139.460,205.290,-47.5980,-0.8000,-0.3200,47.6080
232.800,139.460,205.290,-47.5960,-0.8200,-0.3000,47.6060
256.800,139.460,205.290,-47.5610,-0.8200,-0.3000,47.5690
280.800,139.460,205.290,-47.5330,-0.8100,-0.3200,47.5400
184.800,115.460,229.290,-47.5390,-0.8100,-0.3500,47.5470
208.800,115.460,229.290,-47.5670,-0.8700,-0.2900,47.5730
232.800,115.460,229.290,-47.5560,-0.8600,-0.3100,47.5670
256.800,115.460,229.290,-47.5330,-0.8600,-0.3400,47.5430
280.800,115.460,229.290,-47.5180,-0.8500,-0.3400,47.5260
304.800,139.460,229.290,-47.5180,-0.8400,-0.3900,47.5270
280.800,139.460,229.290,-47.5260,-0.8300,-0.4200,47.5340
256.800,139.460,229.290,-47.5670,-0.8200,-0.3900,47.5760
232.800,139.460,229.290,-47.5510,-0.8200,-0.4000,47.5600
208.800,139.460,229.290,-47.5430,-0.8300,-0.3800,47.5530
184.800,139.460,229.290,-47.5540,-0.8200,-0.3600,47.5620
160.800,139.460,229.290,-47.5690,-0.8300,-0.3300,47.5780
160.800,163.460,229.290,-47.5950,-0.8300,-0.3300,47.6030
184.800,163.460,229.290,-47.6270,-0.8300,-0.3300,47.6350
208.800,163.460,229.290,-47.6300,-0.8000,-0.3600,47.6380
232.800,163.460,229.290,-47.6020,-0.8000,-0.3600,47.6150
256.800,163.460,229.290,-47.5770,-0.8100,-0.3600,47.5850
280.800,163.460,229.290,-47.5660,-0.8000,-0.3700,47.5740
304.800,163.460,229.290,-47.5620,-0.8000,-0.3800,47.5690
304.800,187.460,229.290,-47.5680,-0.8100,-0.3900,47.5770
280.800,187.460,229.290,-47.5720,-0.8000,-0.4100,47.5800
256.800,187.460,229.290,-47.5900,-0.8100,-0.4000,47.5950
232.800,187.460,229.290,-47.5760,-0.7900,-0.3900,47.5840
208.800,187.460,229.290,-47.5710,-0.8000,-0.3800,47.5810
184.800,187.460,229.290,-47.5680,-0.7800,-0.3700,47.5770
160.800,187.460,229.290,-47.5770,-0.8100,-0.3900,47.5850
160.800,211.460,229.290,-47.6070,-0.8000,-0.3900,47.6160
184.800,211.460,229.290,-47.6360,-0.8000,-0.4000,47.6410
208.800,211.460,229.290,-47.6410,-0.8000,-0.4300,47.6500
232.800,211.460,229.290,-47.5970,-0.7900,-0.4300,47.6060
256.800,211.460,229.290,-47.5740,-0.7900,-0.4200,47.5830
280.800,211.460,229.290,-47.5590,-0.7900,-0.4000,47.5670
304.800,211.460,229.290,-47.5650,-0.7900,-0.4000,47.5770
304.800,235.460,229.290,-47.5800,-0.8000,-0.3800,47.5880
280.800,235.460,229.290,-47.6050,-0.8100,-0.3800,47.6140
256.800,235.460,229.290,-47.6170,-0.8200,-0.3700,47.6260
232.800,235.460,229.290,-47.5740,-0.8000,-0.3600,47.5820
208.800,235.460,229.290,-47.5470,-0.8000,-0.4000,47.5550
184.800,235.460,229.290,-47.5390,-0.8000,-0.4200,47.5470
160.800,235.460,229.290,-47.5540,-0.7900,-0.4500,47.5630
184.800,259.460,229.290,-47.5840,-0.8000,-0.4800,47.5930
208.800,259.460,229.290,-47.6480,-0.8100,-0.5000,47.6590
232.800,259.460,229.290,-47.5290,-0.8400,-0.5400,47.5390
256.800,259.460,229.290,-47.5010,-0.8100,-0.4800,47.5110
280.800,259.460,229.290,-47.4960,-0.8100,-0.4400,47.5020
184.800,283.460,253.290,-47.5140,-0.7900,-0.4000,47.5220
208.800,283.460,253.290,-47.4960,-0.8900,-0.4800,47.5070
232.800,283.460,253.290,-47.4950,-0.8700,-0.4900,47.5060
256.800,283.460,253.290,-47.4900,-0.8500,-0.4600,47.5000
280.800,283.460,253.290,-47.4810,-0.8500,-0.4500,47.4910
304.800,259.460,253.290,-47.4850,-0.8400,-0.4200,47.4940
280.800,259.460,253.290,-47.4900,-0.8200,-0.4100,47.4990
256.800,259.460,253.290,-47.5640,-0.8300,-0.3000,47.5740
232.800,259.460,253.290,-47.5340,-0.8200,-0.3700,47.5430
208.800,259.460,253.290,-47.5170,-0.8200,-0.4000,47.5260
184.800,259.460,253.290,-47.5140,-0.8300,-0.4400,47.5250
160.800,259.460,253.290,-47.5300,-0.8300,-0.4700,47.5400
136.800,235.460,253.290,-47.5500,-0.8400,-0.5000,47.5600
160.800,235.460,253.290,-47.6010,-0.8500,-0.5600,47.6080
184.800,235.460,253.290,-47.7230,-0.8000,-0.4600,47.7320
208.800,235.460,253.290,-47.6440,-0.8200,-0.4800,47.6530
232.800,235.460,253.290,-47.5900,-0.8100,-0.4600,47.5980
256.800,235.460,253.290,-47.5570,-0.8100,-0.4400,47.5660
280.800,235.460,253.290,-47.5420,-0.8000,-0.4200,47.5510
304.800,235.460,253.290,-47.5450,-0.8100,-0.4000,47.5540
328.800,235.460,253.290,-47.5610,-0.8100,-0.3700,47.5690
328.800,211.460,253.290,-47.6050,-0.8300,-0.3600,47.6140
304.800,211.460,253.290,-47.6780,-0.8300,-0.3600,47.6870
280.800,211.460,253.290,-47.6360,-0.8100,-0.4000,47.6450
256.800,211.460,253.290,-47.6050,-0.8100,-0.3900,47.6190
232.800,211.460,253.290,-47.5780,-0.8100,-0.3900,47.5840
208.800,211.460,253.290,-47.5660,-0.8000,-0.4000,47.5750
184.800,211.460,253.290,-47.5640,-0.8000,-0.4100,47.5750
160.800,211.460,253.290,-47.5760,-0.8000,-0.4200,47.5810
136.800,211.460,253.290,-47.6030,-0.8100,-0.4400,47.6120
136.800,187.460,253.290,-47.6450,-0.8000,-0.4300,47.6530
160.800,187.460,253.290,-47.6830,-0.8000,-0.4300,47.6930
184.800,187.460,253.290,-47.6540,-0.7900,-0.3900,47.6620
208.800,187.460,253.290,-47.6340,-0.8000,-0.4100,47.6420
232.800,187.460,253.290,-47.6100,-0.8000,-0.4100,47.6160
256.800,187.460,253.290,-47.5810,-0.8000,-0.3900,47.5900
280.800,187.460,253.290,-47.5700,-0.8000,-0.4000,47.5780
304.800,187.460,253.290,-47.5680,-0.8100,-0.4000,47.5750
328.800,187.460,253.290,-47.5750,-0.8100,-0.4000,47.5830
328.800,163.460,253.290,-47.5910,-0.8100,-0.4100,47.6000
304.800,163.460,253.290,-47.6090,-0.8100,-0.4400,47.6210
280.800,163.460,253.290,-47.5810,-0.8100,-0.4400,47.5900
256.800,163.460,253.290,-47.5760,-0.8200,-0.4200,47.5850
232.800,163.460,253.290,-47.5750,-0.8100,-0.4000,47.5790
208.800,163.460,253.290,-47.5600,-0.8200,-0.4100,47.5690
184.800,163.460,253.290,-47.5680,-0.8100,-0.3900,47.5760
160.800,163.460,253.290,-47.5820,-0.8100,-0.3800,47.5900
136.800,163.460,253.290,-47.6010,-0.8100,-0.3900,47.6100
136.800,139.460,253.290,-47.6300,-0.8000,-0.3800,47.6380
160.800,139.460,253.290,-47.6360,-0.8000,-0.3700,47.6450
184.800,139.460,253.290,-47.6610,-0.8200,-0.3700,47.6700
208.800,139.460,253.290,-47.6270,-0.8300,-0.3500,47.6360
232.800,139.460,253.290,-47.5920,-0.8200,-0.3700,47.6010
256.800,139.460,253.290,-47.5670,-0.8200,-0.3800,47.5750
280.800,139.460,253.290,-47.5590,-0.8200,-0.4000,47.5670
304.800,139.460,253.290,-47.5520,-0.8200,-0.4000,47.5590
328.800,139.460,253.290,-47.5520,-0.8200,-0.4100,47.5610
304.800,115.460,253.290,-47.5670,-0.8200,-0.4300,47.5760
280.800,115.460,253.290,-47.5820,-0.8300,-0.4100,47.5910
256.800,115.460,253.290,-47.5420,-0.8300,-0.4600,47.5520
232.800,115.460,253.290,-47.5290,-0.8200,-0.4200,47.5380
208.800,115.460,253.290,-47.5330,-0.8300,-0.4000,47.5420
184.800,115.460,253.290,-47.5380,-0.8300,-0.3800,47.5470
160.800,115.460,253.290,-47.5490,-0.8500,-0.3600,47.5580
184.800,91.460,253.290,-47.5760,-0.8500,-0.3500,47.5860
208.800,91.460,253.290,-47.6130,-0.8600,-0.3200,47.6220
232.800,91.460,253.290,-47.5460,-0.8900,-0.3600,47.5560
256.800,91.460,253.290,-47.5350,-0.8700,-0.3600,47.5450
280.800,91.460,253.290,-47.5180,-0.8600,-0.3800,47.5270
280.800,91.460,277.290,-47.5160,-0.8500,-0.3800,47.5240
256.800,91.460,277.290,-47.5030,-0.8200,-0.3900,47.5120
232.800,91.460,277.290,-47.5250,-0.8500,-0.4200,47.5340
208.800,91.460,277.290,-47.5290,-0.8500,-0.4100,47.5320
184.800,91.460,277.290,-47.5230,-0.8500,-0.4000,47.5320
160.800,115.460,277.290,-47.5490,-0.8500,-0.3900,47.5580
184.800,115.460,277.290,-47.5720,-0.8600,-0.4000,47.5820
208.800,115.460,277.290,-47.6050,-0.8400,-0.3700,47.6140
232.800,115.460,277.290,-47.5820,-0.8300,-0.3800,47.5900
256.800,115.460,277.290,-47.5600,-0.8400,-0.3900,47.5680
280.800,115.460,277.290,-47.5460,-0.8400,-0.4100,47.5540
304.800,115.460,277.290,-47.5380,-0.8500,-0.4200,47.5470
328.800,139.460,277.290,-47.5330,-0.8400,-0.4400,47.5430
304.800,139.460,277.290,-47.5380,-0.8400,-0.4700,47.5430
280.800,139.460,277.290,-47.5860,-0.8300,-0.4500,47.5950
256.800,139.460,277.290,-47.5720,-0.8300,-0.4500,47.5780
232.800,139.460,277.290,-47.5540,-0.8300,-0.4400,47.5630
208.800,139.460,277.290,-47.5470,-0.8300,-0.4200,47.5560
184.800,139.460,277.290,-47.5600,-0.8200,-0.4100,47.5670
160.800,139.460,277.290,-47.5760,-0.8200,-0.4000,47.5850
136.800,139.460,277.290,-47.5970,-0.8100,-0.3900,47.6040
136.800,163.460,277.290,-47.6270,-0.8300,-0.3800,47.6360
160.800,163.460,277.290,-47.6750,-0.8300,-0.4000,47.6830
184.800,163.460,277.290,-47.6480,-0.8200,-0.4000,47.6560
208.800,163.460,277.290,-47.6300,-0.7900,-0.4100,47.6390
232.800,163.460,277.290,-47.6080,-0.8000,-0.3900,47.6160
256.800,163.460,277.290,-47.5830,-0.8100,-0.4100,47.5910
280.800,163.460,277.290,-47.5670,-0.8000,-0.4100,47.5750
304.800,163.460,277.290,-47.5620,-0.8100,-0.4200,47.5710
328.800,163.460,277.290,-47.5730,-0.8100,-0.4200,47.5820
328.800,187.460,277.290,-47.5840,-0.8200,-0.4300,47.5930
304.800,187.460,277.290,-47.5940,-0.8200,-0.4600,47.6040
280.800,187.460,277.290,-47.6240,-0.8100,-0.4300,47.6330
256.800,187.460,277.290,-47.5970,-0.8200,-0.4200,47.6060
232.800,187.460,277.290,-47.5760,-0.8100,-0.4100,47.5860
208.800,187.460,277.290,-47.5660,-0.8200,-0.4000,47.5750
184.800,187.460,277.290,-47.5680,-0.8000,-0.4100,47.5770
160.800,187.460,277.290,-47.5830,-0.8000,-0.4200,47.5920
136.800,187.460,277.290,-47.6070,-0.7900,-0.4200,47.6160
136.800,211.460,277.290,-47.6390,-0.8000,-0.4200,47.6470
160.800,211.460,277.290,-47.6580,-0.8000,-0.4100,47.6680
184.800,211.460,277.290,-47.6780,-0.8000,-0.4200,47.6910
208.800,211.460,277.290,-47.6420,-0.8000,-0.4500,47.6510
232.800,211.460,277.290,-47.6010,-0.8000,-0.4400,47.6080
256.800,211.460,277.290,-47.5800,-0.8000,-0.4300,47.5880
280.800,211.460,277.290,-47.5670,-0.8000,-0.4200,47.5760
304.800,211.460,277.290,-47.5580,-0.8100,-0.4100,47.5660
328.800,211.460,277.290,-47.5800,-0.8200,-0.3900,47.5890
328.800,235.460,277.290,-47.6070,-0.8200,-0.3900,47.6150
304.800,235.460,277.290,-47.6450,-0.8300,-0.4100,47.6560
280.800,235.460,277.290,-47.6750,-0.8500,-0.3500,47.6840
256.800,235.460,277.290,-47.5970,-0.8300,-0.3500,47.6060
232.800,235.460,277.290,-47.5640,-0.8300,-0.3800,47.5700
208.800,235.460,277.290,-47.5490,-0.8200,-0.4000,47.5580
184.800,235.460,277.290,-47.5480,-0.8100,-0.4200,47.5570
160.800,235.460,277.290,-47.5650,-0.8100,-0.4300,47.5740
136.800,235.460,277.290,-47.5920,-0.8100,-0.4500,47.6010
160.800,259.460,277.290,-47.6450,-0.8000,-0.4800,47.6540
184.800,259.460,277.290,-47.7140,-0.8000,-0.4700,47.7230
208.800,259.460,277.290,-47.5990,-0.8200,-0.5100,47.6090
232.800,259.460,277.290,-47.5580,-0.8300,-0.4800,47.5680
256.800,259.460,277.290,-47.5360,-0.8300,-0.4500,47.5490
280.800,259.460,277.290,-47.5190,-0.8300,-0.4200,47.5280
304.800,259.460,277.290,-47.5210,-0.8400,-0.3900,47.5300
280.800,283.460,277.290,-47.5380,-0.8500,-0.3600,47.5450
256.800,283.460,277.290,-47.5570,-0.8600,-0.3100,47.5660
232.800,283.460,277.290,-47.5090,-0.8600,-0.3800,47.5180
208.800,283.460,277.290,-47.4930,-0.8700,-0.4000,47.5030
184.800,283.460,277.290,-47.4860,-0.8500,-0.4300,47.4960
184.800,283.460,301.290,-47.5120,-0.8600,-0.4500,47.5200
208.800,283.460,301.290,-47.5310,-0.8600,-0.4800,47.5410
232.800,283.460,301.290,-47.5410,-0.8400,-0.4600,47.5510
256.800,283.460,301.290,-47.5140,-0.8400,-0.4500,47.5240
280.800,283.460,301.290,-47.4830,-0.8600,-0.4000,47.4930
