# COSI2 B0 scan
# time 2024-08-13 18:25:00.858966
# MAGNET CENTER IN LAB: x 232.807 mm, y 187.462 mm, z 301.298 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_R0I3_240813_R120_12pts_fixed_rotations
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-47.5180,-0.9300,-0.4600,47.5290
242.800,227.460,191.290,-47.5150,-0.9300,-0.4600,47.5260
232.800,227.460,191.290,-47.5110,-0.9300,-0.4700,47.5230
222.800,227.460,191.290,-47.4950,-0.9300,-0.4700,47.5070
212.800,227.460,191.290,-47.4930,-0.9300,-0.5000,47.5050
202.800,217.460,191.290,-47.4870,-0.9300,-0.5000,47.4980
212.800,217.460,191.290,-47.4970,-0.9300,-0.5100,47.5090
222.800,217.460,191.290,-47.4980,-0.9300,-0.5000,47.5050
232.800,217.460,191.290,-47.4980,-0.9300,-0.4900,47.5100
242.800,217.460,191.290,-47.5000,-0.9300,-0.4900,47.5120
252.800,217.460,191.290,-47.5100,-0.9300,-0.4700,47.5190
262.800,217.460,191.290,-47.5270,-0.9400,-0.4700,47.5360
272.800,207.460,191.290,-47.5350,-0.9400,-0.4600,47.5460
262.800,207.460,191.290,-47.5450,-0.9400,-0.4600,47.5560
252.800,207.460,191.290,-47.5420,-0.9400,-0.4700,47.5540
242.800,207.460,191.290,-47.5350,-0.9400,-0.4800,47.5470
232.800,207.460,191.290,-47.5220,-0.9300,-0.4700,47.5330
222.800,207.460,191.290,-47.5100,-0.9200,-0.4800,47.5210
212.800,207.460,191.290,-47.5050,-0.9200,-0.4900,47.5160
202.800,207.460,191.290,-47.5060,-0.9300,-0.5000,47.5180
192.800,207.460,191.290,-47.5160,-0.9200,-0.5100,47.5270
192.800,197.460,191.290,-47.5210,-0.9200,-0.5200,47.5320
202.800,197.460,191.290,-47.5300,-0.9200,-0.5200,47.5420
212.800,197.460,191.290,-47.5280,-0.9200,-0.5000,47.5390
222.800,197.460,191.290,-47.5210,-0.9300,-0.4900,47.5330
232.800,197.460,191.290,-47.5150,-0.9200,-0.4900,47.5270
242.800,197.460,191.290,-47.5170,-0.9300,-0.4800,47.5280
252.800,197.460,191.290,-47.5160,-0.9200,-0.4800,47.5270
262.800,197.460,191.290,-47.5270,-0.9400,-0.4900,47.5390
272.800,197.460,191.290,-47.5430,-0.9400,-0.4800,47.5550
272.800,187.460,191.290,-47.5470,-0.9500,-0.5000,47.5590
262.800,187.460,191.290,-47.5480,-0.9500,-0.5100,47.5610
252.800,187.460,191.290,-47.5400,-0.9400,-0.4900,47.5520
242.800,187.460,191.290,-47.5290,-0.9300,-0.4800,47.5410
232.800,187.460,191.290,-47.5200,-0.9300,-0.4900,47.5320
222.800,187.460,191.290,-47.5140,-0.9400,-0.4800,47.5260
212.800,187.460,191.290,-47.5150,-0.9400,-0.4800,47.5270
202.800,187.460,191.290,-47.5170,-0.9300,-0.4800,47.5280
192.800,187.460,191.290,-47.5290,-0.9300,-0.4800,47.5410
192.800,177.460,191.290,-47.5310,-0.9300,-0.4800,47.5420
202.800,177.460,191.290,-47.5420,-0.9300,-0.4700,47.5540
212.800,177.460,191.290,-47.5330,-0.9400,-0.4800,47.5450
222.800,177.460,191.290,-47.5250,-0.9400,-0.4600,47.5360
232.800,177.460,191.290,-47.5160,-0.9300,-0.4800,47.5270
242.800,177.460,191.290,-47.5060,-0.9400,-0.4700,47.5170
252.800,177.460,191.290,-47.5130,-0.9300,-0.4800,47.5240
262.800,177.460,191.290,-47.5170,-0.9400,-0.4900,47.5290
272.800,177.460,191.290,-47.5210,-0.9400,-0.5000,47.5330
272.800,167.460,191.290,-47.5330,-0.9500,-0.5200,47.5450
262.800,167.460,191.290,-47.5170,-0.9400,-0.5200,47.5290
252.800,167.460,191.290,-47.5060,-0.9300,-0.5100,47.5180
242.800,167.460,191.290,-47.5090,-0.9400,-0.4900,47.5210
232.800,167.460,191.290,-47.5090,-0.9400,-0.4900,47.5210
222.800,167.460,191.290,-47.5090,-0.9400,-0.4800,47.5200
212.800,167.460,191.290,-47.5140,-0.9500,-0.4600,47.5260
202.800,167.460,191.290,-47.5130,-0.9400,-0.4600,47.5250
192.800,167.460,191.290,-47.5250,-0.9400,-0.4500,47.5370
202.800,157.460,191.290,-47.5340,-0.9400,-0.4600,47.5460
212.800,157.460,191.290,-47.5260,-0.9500,-0.4500,47.5400
222.800,157.460,191.290,-47.5140,-0.9600,-0.4500,47.5290
232.800,157.460,191.290,-47.5050,-0.9500,-0.4500,47.5150
242.800,157.460,191.290,-47.5010,-0.9400,-0.4600,47.5090
252.800,157.460,191.290,-47.4970,-0.9400,-0.4700,47.5100
262.800,157.460,191.290,-47.4930,-0.9300,-0.4900,47.4990
252.800,147.460,191.290,-47.4930,-0.9400,-0.5100,47.5060
242.800,147.460,191.290,-47.4850,-0.9400,-0.4800,47.4990
232.800,147.460,191.290,-47.4820,-0.9500,-0.4700,47.4940
222.800,147.460,191.290,-47.4850,-0.9600,-0.4600,47.4970
212.800,147.460,191.290,-47.4880,-0.9700,-0.4700,47.5000
212.800,127.460,201.290,-47.5000,-0.9700,-0.4500,47.5100
222.800,127.460,201.290,-47.5000,-0.9700,-0.4400,47.5130
232.800,127.460,201.290,-47.4870,-0.9700,-0.4600,47.5000
242.800,127.460,201.290,-47.4750,-0.9700,-0.4600,47.4850
252.800,127.460,201.290,-47.4660,-0.9700,-0.4800,47.4780
272.800,137.460,201.290,-47.4600,-0.9600,-0.5000,47.4720
