# COSI2 B0 scan,,,,,,
# time 2024-08-13 18:25:00.858966,,,,,,
# MAGNET CENTER IN LAB: x 232.807 mm, y 187.462 mm, z 301.298 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_R0I3_240813_R120_12pts_fixed_rotations,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-47.515,-0.93,-0.46,47.526
242.8,227.46,191.29,-47.511,-0.93,-0.47,47.523
232.8,227.46,191.29,-47.495,-0.93,-0.47,47.507
222.8,227.46,191.29,-47.493,-0.93,-0.5,47.505
212.8,227.46,191.29,-47.487,-0.93,-0.5,47.498
202.8,217.46,191.29,-47.497,-0.93,-0.51,47.509
212.8,217.46,191.29,-47.498,-0.93,-0.5,47.505
222.8,217.46,191.29,-47.498,-0.93,-0.49,47.51
232.8,217.46,191.29,-47.5,-0.93,-0.49,47.512
242.8,217.46,191.29,-47.51,-0.93,-0.47,47.519
252.8,217.46,191.29,-47.527,-0.94,-0.47,47.536
262.8,217.46,191.29,-47.535,-0.94,-0.46,47.546
272.8,207.46,191.29,-47.545,-0.94,-0.46,47.556
262.8,207.46,191.29,-47.542,-0.94,-0.47,47.554
252.8,207.46,191.29,-47.535,-0.94,-0.48,47.547
242.8,207.46,191.29,-47.522,-0.93,-0.47,47.533
232.8,207.46,191.29,-47.51,-0.92,-0.48,47.521
222.8,207.46,191.29,-47.505,-0.92,-0.49,47.516
212.8,207.46,191.29,-47.506,-0.93,-0.5,47.518
202.8,207.46,191.29,-47.516,-0.92,-0.51,47.527
192.8,207.46,191.29,-47.521,-0.92,-0.52,47.532
192.8,197.46,191.29,-47.53,-0.92,-0.52,47.542
202.8,197.46,191.29,-47.528,-0.92,-0.5,47.539
212.8,197.46,191.29,-47.521,-0.93,-0.49,47.533
222.8,197.46,191.29,-47.515,-0.92,-0.49,47.527
232.8,197.46,191.29,-47.517,-0.93,-0.48,47.528
242.8,197.46,191.29,-47.516,-0.92,-0.48,47.527
252.8,197.46,191.29,-47.527,-0.94,-0.49,47.539
262.8,197.46,191.29,-47.543,-0.94,-0.48,47.555
272.8,197.46,191.29,-47.547,-0.95,-0.5,47.559
272.8,187.46,191.29,-47.548,-0.95,-0.51,47.561
262.8,187.46,191.29,-47.54,-0.94,-0.49,47.552
252.8,187.46,191.29,-47.529,-0.93,-0.48,47.541
242.8,187.46,191.29,-47.52,-0.93,-0.49,47.532
232.8,187.46,191.29,-47.514,-0.94,-0.48,47.526
222.8,187.46,191.29,-47.515,-0.94,-0.48,47.527
212.8,187.46,191.29,-47.517,-0.93,-0.48,47.528
202.8,187.46,191.29,-47.529,-0.93,-0.48,47.541
192.8,187.46,191.29,-47.531,-0.93,-0.48,47.542
192.8,177.46,191.29,-47.542,-0.93,-0.47,47.554
202.8,177.46,191.29,-47.533,-0.94,-0.48,47.545
