# COSI2 B0 scan
# time 2024-08-09 17:52:54.116879
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_no_rings_one_insert3_ALONG_field_12pts_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-47.5400,-0.9700,-0.4700,47.5530
242.800,227.460,191.290,-47.5430,-0.9800,-0.4700,47.5550
232.800,227.460,191.290,-47.5250,-0.9600,-0.4800,47.5410
222.800,227.460,191.290,-47.5180,-0.9700,-0.4900,47.5290
212.800,227.460,191.290,-47.5130,-0.9700,-0.5000,47.5270
202.800,217.460,191.290,-47.5140,-0.9600,-0.5200,47.5230
212.800,217.460,191.290,-47.5240,-0.9700,-0.5200,47.5360
222.800,217.460,191.290,-47.5270,-0.9700,-0.5200,47.5400
232.800,217.460,191.290,-47.5250,-0.9700,-0.5100,47.5380
242.800,217.460,191.290,-47.5240,-0.9600,-0.5000,47.5370
252.800,217.460,191.290,-47.5360,-0.9600,-0.4900,47.5480
262.800,217.460,191.290,-47.5460,-0.9700,-0.4800,47.5580
272.800,207.460,191.290,-47.5590,-0.9800,-0.4900,47.5720
262.800,207.460,191.290,-47.5700,-0.9900,-0.4800,47.5830
252.800,207.460,191.290,-47.5660,-0.9800,-0.4800,47.5790
242.800,207.460,191.290,-47.5560,-0.9700,-0.4800,47.5690
232.800,207.460,191.290,-47.5530,-0.9700,-0.4900,47.5640
222.800,207.460,191.290,-47.5400,-0.9600,-0.4900,47.5500
212.800,207.460,191.290,-47.5300,-0.9600,-0.5100,47.5430
202.800,207.460,191.290,-47.5340,-0.9600,-0.5100,47.5460
192.800,207.460,191.290,-47.5350,-0.9700,-0.5300,47.5480
192.800,197.460,191.290,-47.5480,-0.9700,-0.5300,47.5600
202.800,197.460,191.290,-47.5610,-0.9600,-0.5200,47.5740
212.800,197.460,191.290,-47.5470,-0.9600,-0.5100,47.5600
222.800,197.460,191.290,-47.5380,-0.9700,-0.5100,47.5520
232.800,197.460,191.290,-47.5390,-0.9700,-0.5000,47.5480
242.800,197.460,191.290,-47.5410,-0.9600,-0.4900,47.5520
252.800,197.460,191.290,-47.5400,-0.9600,-0.4900,47.5540
262.800,197.460,191.290,-47.5510,-0.9600,-0.5000,47.5650
272.800,197.460,191.290,-47.5540,-0.9700,-0.4900,47.5680
272.800,187.460,191.290,-47.5610,-0.9800,-0.5100,47.5800
262.800,187.460,191.290,-47.5690,-0.9900,-0.5200,47.5860
252.800,187.460,191.290,-47.5590,-0.9700,-0.5100,47.5710
242.800,187.460,191.290,-47.5520,-0.9800,-0.5100,47.5650
232.800,187.460,191.290,-47.5450,-0.9700,-0.5000,47.5570
222.800,187.460,191.290,-47.5390,-0.9600,-0.4800,47.5510
212.800,187.460,191.290,-47.5400,-0.9600,-0.4900,47.5520
202.800,187.460,191.290,-47.5410,-0.9600,-0.5000,47.5530
192.800,187.460,191.290,-47.5510,-0.9700,-0.4900,47.5630
192.800,177.460,191.290,-47.5560,-0.9600,-0.4900,47.5680
202.800,177.460,191.290,-47.5680,-0.9700,-0.4800,47.5810
212.800,177.460,191.290,-47.5520,-0.9700,-0.4900,47.5650
222.800,177.460,191.290,-47.5460,-0.9700,-0.4700,47.5580
232.800,177.460,191.290,-47.5360,-0.9700,-0.4800,47.5480
242.800,177.460,191.290,-47.5290,-0.9700,-0.5000,47.5410
252.800,177.460,191.290,-47.5390,-0.9700,-0.4900,47.5510
262.800,177.460,191.290,-47.5390,-0.9800,-0.5000,47.5510
