# COSI2 B0 scan,,,,,,
# time 2024-08-09 17:52:54.116879,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_no_rings_one_insert3_ALONG_field_12pts_R120,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-47.543,-0.98,-0.47,47.555
242.8,227.46,191.29,-47.525,-0.96,-0.48,47.541
232.8,227.46,191.29,-47.518,-0.97,-0.49,47.529
222.8,227.46,191.29,-47.513,-0.97,-0.5,47.527
212.8,227.46,191.29,-47.514,-0.96,-0.52,47.523
202.8,217.46,191.29,-47.524,-0.97,-0.52,47.536
212.8,217.46,191.29,-47.527,-0.97,-0.52,47.54
222.8,217.46,191.29,-47.525,-0.97,-0.51,47.538
232.8,217.46,191.29,-47.524,-0.96,-0.5,47.537
242.8,217.46,191.29,-47.536,-0.96,-0.49,47.548
252.8,217.46,191.29,-47.546,-0.97,-0.48,47.558
262.8,217.46,191.29,-47.559,-0.98,-0.49,47.572
272.8,207.46,191.29,-47.57,-0.99,-0.48,47.583
262.8,207.46,191.29,-47.566,-0.98,-0.48,47.579
252.8,207.46,191.29,-47.556,-0.97,-0.48,47.569
242.8,207.46,191.29,-47.553,-0.97,-0.49,47.564
232.8,207.46,191.29,-47.54,-0.96,-0.49,47.55
222.8,207.46,191.29,-47.53,-0.96,-0.51,47.543
212.8,207.46,191.29,-47.534,-0.96,-0.51,47.546
202.8,207.46,191.29,-47.535,-0.97,-0.53,47.548
192.8,207.46,191.29,-47.548,-0.97,-0.53,47.56
192.8,197.46,191.29,-47.561,-0.96,-0.52,47.574
202.8,197.46,191.29,-47.547,-0.96,-0.51,47.56
212.8,197.46,191.29,-47.538,-0.97,-0.51,47.552
222.8,197.46,191.29,-47.539,-0.97,-0.5,47.548
232.8,197.46,191.29,-47.541,-0.96,-0.49,47.552
242.8,197.46,191.29,-47.54,-0.96,-0.49,47.554
252.8,197.46,191.29,-47.551,-0.96,-0.5,47.565
262.8,197.46,191.29,-47.554,-0.97,-0.49,47.568
272.8,197.46,191.29,-47.561,-0.98,-0.51,47.58
272.8,187.46,191.29,-47.569,-0.99,-0.52,47.586
262.8,187.46,191.29,-47.559,-0.97,-0.51,47.571
252.8,187.46,191.29,-47.552,-0.98,-0.51,47.565
242.8,187.46,191.29,-47.545,-0.97,-0.5,47.557
232.8,187.46,191.29,-47.539,-0.96,-0.48,47.551
222.8,187.46,191.29,-47.54,-0.96,-0.49,47.552
212.8,187.46,191.29,-47.541,-0.96,-0.5,47.553
202.8,187.46,191.29,-47.551,-0.97,-0.49,47.563
192.8,187.46,191.29,-47.556,-0.96,-0.49,47.568
192.8,177.46,191.29,-47.568,-0.97,-0.48,47.581
202.8,177.46,191.29,-47.552,-0.97,-0.49,47.565
212.8,177.46,191.29,-47.546,-0.97,-0.47,47.558
222.8,177.46,191.29,-47.536,-0.97,-0.48,47.548
232.8,177.46,191.29,-47.529,-0.97,-0.5,47.541
242.8,177.46,191.29,-47.539,-0.97,-0.49,47.551
252.8,177.46,191.29,-47.539,-0.98,-0.5,47.551
262.8,177.46,191.29,-47.544,-0.98,-0.51,47.557
272.8,177.46,191.29,-47.555,-0.99,-0.54,47.569
272.8,167.46,191.29,-47.54,-0.98,-0.53,47.553
262.8,167.46,191.29,-47.535,-0.99,-0.53,47.548
252.8,167.46,191.29,-47.535,-0.98,-0.51,47.546
242.8,167.46,191.29,-47.529,-0.97,-0.5,47.541
232.8,167.46,191.29,-47.528,-0.97,-0.5,47.536
222.8,167.46,191.29,-47.528,-0.98,-0.49,47.539
212.8,167.46,191.29,-47.533,-0.98,-0.48,47.546
202.8,167.46,191.29,-47.547,-0.99,-0.47,47.56
192.8,167.46,191.29,-47.559,-0.98,-0.46,47.572
202.8,157.46,191.29,-47.547,-1,-0.47,47.559
212.8,157.46,191.29,-47.539,-0.99,-0.46,47.552
222.8,157.46,191.29,-47.528,-0.99,-0.46,47.541
232.8,157.46,191.29,-47.524,-0.99,-0.47,47.537
242.8,157.46,191.29,-47.519,-0.98,-0.48,47.532
252.8,157.46,191.29,-47.519,-0.98,-0.5,47.532
262.8,157.46,191.29,-47.522,-0.98,-0.51,47.534
252.8,147.46,191.29,-47.509,-0.98,-0.51,47.522
242.8,147.46,191.29,-47.508,-0.99,-0.48,47.521
232.8,147.46,191.29,-47.507,-0.99,-0.47,47.519
222.8,147.46,191.29,-47.514,-1,-0.47,47.527
212.8,147.46,191.29,-47.524,-1,-0.45,47.537
212.8,127.46,201.29,-47.521,-1.01,-0.47,47.534
222.8,127.46,201.29,-47.504,-1.02,-0.46,47.518
232.8,127.46,201.29,-47.499,-1.01,-0.49,47.512
242.8,127.46,201.29,-47.489,-1.02,-0.5,47.504
252.8,127.46,201.29,-47.482,-1.01,-0.51,47.498
272.8,137.46,201.29,-47.49,-0.99,-0.53,47.503
262.8,137.46,201.29,-47.5,-0.99,-0.53,47.511
252.8,137.46,201.29,-47.499,-0.99,-0.52,47.518
242.8,137.46,201.29,-47.503,-1.01,-0.5,47.515
232.8,137.46,201.29,-47.505,-1,-0.5,47.523
222.8,137.46,201.29,-47.514,-1.02,-0.48,47.524
212.8,137.46,201.29,-47.522,-1.01,-0.47,47.532
202.8,137.46,201.29,-47.537,-1.01,-0.47,47.55
192.8,137.46,201.29,-47.55,-1.01,-0.46,47.561
182.8,147.46,201.29,-47.566,-1,-0.47,47.577
192.8,147.46,201.29,-47.555,-1.01,-0.47,47.569
202.8,147.46,201.29,-47.547,-1.01,-0.47,47.56
212.8,147.46,201.29,-47.536,-1,-0.48,47.549
222.8,147.46,201.29,-47.521,-1,-0.48,47.534
232.8,147.46,201.29,-47.522,-1,-0.49,47.535
242.8,147.46,201.29,-47.513,-1,-0.49,47.526
252.8,147.46,201.29,-47.508,-0.98,-0.51,47.521
262.8,147.46,201.29,-47.513,-0.99,-0.52,47.527
272.8,147.46,201.29,-47.511,-0.98,-0.53,47.524
282.8,147.46,201.29,-47.512,-0.97,-0.54,47.525
282.8,157.46,201.29,-47.523,-0.97,-0.55,47.536
272.8,157.46,201.29,-47.527,-0.96,-0.54,47.54
262.8,157.46,201.29,-47.523,-0.98,-0.53,47.536
252.8,157.46,201.29,-47.52,-0.98,-0.52,47.533
242.8,157.46,201.29,-47.518,-0.98,-0.5,47.531
232.8,157.46,201.29,-47.53,-0.99,-0.5,47.543
222.8,157.46,201.29,-47.53,-0.99,-0.49,47.543
212.8,157.46,201.29,-47.543,-0.99,-0.48,47.556
202.8,157.46,201.29,-47.546,-0.99,-0.48,47.556
192.8,157.46,201.29,-47.554,-1,-0.48,47.563
182.8,157.46,201.29,-47.563,-0.99,-0.47,47.576
172.8,167.46,201.29,-47.568,-0.98,-0.48,47.582
182.8,167.46,201.29,-47.567,-0.98,-0.49,47.582
192.8,167.46,201.29,-47.557,-0.99,-0.48,47.573
202.8,167.46,201.29,-47.553,-0.97,-0.47,47.567
212.8,167.46,201.29,-47.542,-0.99,-0.49,47.555
222.8,167.46,201.29,-47.54,-0.99,-0.49,47.553
232.8,167.46,201.29,-47.529,-0.99,-0.5,47.542
242.8,167.46,201.29,-47.535,-0.98,-0.52,47.548
252.8,167.46,201.29,-47.535,-0.98,-0.51,47.548
262.8,167.46,201.29,-47.53,-0.98,-0.53,47.543
272.8,167.46,201.29,-47.534,-0.97,-0.54,47.548
282.8,167.46,201.29,-47.54,-0.97,-0.54,47.553
292.8,167.46,201.29,-47.54,-0.97,-0.56,47.553
292.8,177.46,201.29,-47.55,-0.98,-0.56,47.563
282.8,177.46,201.29,-47.549,-0.99,-0.54,47.562
272.8,177.46,201.29,-47.559,-0.98,-0.53,47.569
262.8,177.46,201.29,-47.549,-0.98,-0.52,47.563
252.8,177.46,201.29,-47.547,-0.98,-0.51,47.56
242.8,177.46,201.29,-47.536,-0.98,-0.5,47.551
232.8,177.46,201.29,-47.533,-0.97,-0.51,47.544
222.8,177.46,201.29,-47.542,-0.97,-0.5,47.555
212.8,177.46,201.29,-47.545,-0.98,-0.5,47.558
202.8,177.46,201.29,-47.552,-0.99,-0.5,47.565
192.8,177.46,201.29,-47.561,-0.97,-0.49,47.573
182.8,177.46,201.29,-47.562,-0.98,-0.5,47.575
172.8,177.46,201.29,-47.573,-0.97,-0.49,47.586
172.8,187.46,201.29,-47.58,-0.97,-0.52,47.592
182.8,187.46,201.29,-47.567,-0.97,-0.5,47.58
192.8,187.46,201.29,-47.561,-0.98,-0.5,47.574
202.8,187.46,201.29,-47.556,-0.98,-0.51,47.568
212.8,187.46,201.29,-47.551,-0.98,-0.5,47.563
222.8,187.46,201.29,-47.545,-0.97,-0.51,47.557
232.8,187.46,201.29,-47.54,-0.97,-0.51,47.552
242.8,187.46,201.29,-47.538,-0.98,-0.51,47.55
252.8,187.46,201.29,-47.54,-0.98,-0.51,47.557
262.8,187.46,201.29,-47.553,-0.98,-0.51,47.566
272.8,187.46,201.29,-47.555,-0.99,-0.52,47.566
282.8,187.46,201.29,-47.565,-0.98,-0.54,47.574
292.8,187.46,201.29,-47.567,-0.99,-0.54,47.581
292.8,197.46,201.29,-47.584,-1,-0.52,47.596
282.8,197.46,201.29,-47.573,-0.99,-0.51,47.588
272.8,197.46,201.29,-47.57,-0.99,-0.51,47.583
262.8,197.46,201.29,-47.564,-0.98,-0.5,47.577
252.8,197.46,201.29,-47.549,-0.97,-0.5,47.561
242.8,197.46,201.29,-47.547,-0.98,-0.5,47.56
232.8,197.46,201.29,-47.544,-0.98,-0.5,47.557
222.8,197.46,201.29,-47.538,-0.97,-0.5,47.55
212.8,197.46,201.29,-47.54,-0.97,-0.51,47.552
202.8,197.46,201.29,-47.545,-0.97,-0.52,47.557
192.8,197.46,201.29,-47.557,-0.98,-0.51,47.57
182.8,197.46,201.29,-47.561,-0.96,-0.52,47.573
172.8,197.46,201.29,-47.568,-0.97,-0.53,47.581
172.8,207.46,201.29,-47.562,-0.98,-0.54,47.575
182.8,207.46,201.29,-47.565,-0.97,-0.55,47.578
192.8,207.46,201.29,-47.549,-0.98,-0.53,47.562
202.8,207.46,201.29,-47.539,-0.98,-0.52,47.554
212.8,207.46,201.29,-47.534,-0.97,-0.52,47.548
222.8,207.46,201.29,-47.531,-0.97,-0.51,47.546
232.8,207.46,201.29,-47.53,-0.97,-0.5,47.542
242.8,207.46,201.29,-47.541,-0.97,-0.5,47.553
252.8,207.46,201.29,-47.544,-0.98,-0.5,47.554
262.8,207.46,201.29,-47.554,-0.98,-0.49,47.566
272.8,207.46,201.29,-47.563,-0.98,-0.5,47.574
282.8,207.46,201.29,-47.569,-0.99,-0.49,47.582
292.8,207.46,201.29,-47.58,-0.99,-0.49,47.592
282.8,217.46,201.29,-47.582,-1,-0.48,47.595
272.8,217.46,201.29,-47.568,-0.99,-0.48,47.581
262.8,217.46,201.29,-47.563,-0.98,-0.48,47.576
252.8,217.46,201.29,-47.544,-0.98,-0.49,47.557
242.8,217.46,201.29,-47.54,-0.98,-0.5,47.552
232.8,217.46,201.29,-47.535,-0.97,-0.5,47.548
222.8,217.46,201.29,-47.528,-0.96,-0.51,47.541
212.8,217.46,201.29,-47.526,-0.97,-0.51,47.538
202.8,217.46,201.29,-47.524,-0.98,-0.53,47.537
192.8,217.46,201.29,-47.536,-0.98,-0.54,47.549
182.8,217.46,201.29,-47.54,-0.98,-0.55,47.553
182.8,227.46,201.29,-47.542,-0.99,-0.56,47.556
192.8,227.46,201.29,-47.529,-0.99,-0.54,47.539
202.8,227.46,201.29,-47.519,-0.97,-0.54,47.537
212.8,227.46,201.29,-47.516,-0.97,-0.53,47.53
222.8,227.46,201.29,-47.516,-0.97,-0.51,47.527
232.8,227.46,201.29,-47.518,-0.97,-0.51,47.528
242.8,227.46,201.29,-47.522,-0.97,-0.49,47.532
252.8,227.46,201.29,-47.531,-0.97,-0.48,47.543
262.8,227.46,201.29,-47.552,-0.97,-0.47,47.564
272.8,227.46,201.29,-47.555,-0.99,-0.47,47.567
282.8,227.46,201.29,-47.566,-1,-0.45,47.579
272.8,237.46,201.29,-47.561,-1,-0.44,47.573
262.8,237.46,201.29,-47.541,-0.98,-0.45,47.553
252.8,237.46,201.29,-47.528,-0.97,-0.47,47.54
242.8,237.46,201.29,-47.52,-0.97,-0.48,47.532
232.8,237.46,201.29,-47.508,-0.96,-0.49,47.52
222.8,237.46,201.29,-47.506,-0.97,-0.51,47.519
212.8,237.46,201.29,-47.501,-0.97,-0.53,47.514
202.8,237.46,201.29,-47.507,-0.98,-0.55,47.52
192.8,237.46,201.29,-47.514,-0.98,-0.56,47.528
212.8,247.46,201.29,-47.5,-0.97,-0.55,47.513
