# COSI2 B0 scan
# time 2024-08-12 14:51:30.992518
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240731/ball_no_rings_one_insert3_ALONG_field_12pts_R120_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-40.014,-110.001,-20.013,-47.5430,-0.9800,-0.4700,47.5550
-40.014,-110.001,-10.013,-47.5250,-0.9600,-0.4800,47.5410
-40.014,-110.001,-0.013,-47.5180,-0.9700,-0.4900,47.5290
-40.014,-110.001,9.987,-47.5130,-0.9700,-0.5000,47.5270
-40.014,-110.001,19.987,-47.5140,-0.9600,-0.5200,47.5230
-30.014,-110.001,29.987,-47.5240,-0.9700,-0.5200,47.5360
-30.014,-110.001,19.987,-47.5270,-0.9700,-0.5200,47.5400
-30.014,-110.001,9.987,-47.5250,-0.9700,-0.5100,47.5380
-30.014,-110.001,-0.013,-47.5240,-0.9600,-0.5000,47.5370
-30.014,-110.001,-10.013,-47.5360,-0.9600,-0.4900,47.5480
-30.014,-110.001,-20.013,-47.5460,-0.9700,-0.4800,47.5580
-30.014,-110.001,-30.013,-47.5590,-0.9800,-0.4900,47.5720
-20.014,-110.001,-40.013,-47.5700,-0.9900,-0.4800,47.5830
-20.014,-110.001,-30.013,-47.5660,-0.9800,-0.4800,47.5790
-20.014,-110.001,-20.013,-47.5560,-0.9700,-0.4800,47.5690
-20.014,-110.001,-10.013,-47.5530,-0.9700,-0.4900,47.5640
-20.014,-110.001,-0.013,-47.5400,-0.9600,-0.4900,47.5500
-20.014,-110.001,9.987,-47.5300,-0.9600,-0.5100,47.5430
-20.014,-110.001,19.987,-47.5340,-0.9600,-0.5100,47.5460
-20.014,-110.001,29.987,-47.5350,-0.9700,-0.5300,47.5480
-20.014,-110.001,39.987,-47.5480,-0.9700,-0.5300,47.5600
-10.014,-110.001,39.987,-47.5610,-0.9600,-0.5200,47.5740
-10.014,-110.001,29.987,-47.5470,-0.9600,-0.5100,47.5600
-10.014,-110.001,19.987,-47.5380,-0.9700,-0.5100,47.5520
-10.014,-110.001,9.987,-47.5390,-0.9700,-0.5000,47.5480
-10.014,-110.001,-0.013,-47.5410,-0.9600,-0.4900,47.5520
-10.014,-110.001,-10.013,-47.5400,-0.9600,-0.4900,47.5540
-10.014,-110.001,-20.013,-47.5510,-0.9600,-0.5000,47.5650
-10.014,-110.001,-30.013,-47.5540,-0.9700,-0.4900,47.5680
-10.014,-110.001,-40.013,-47.5610,-0.9800,-0.5100,47.5800
-0.014,-110.001,-40.013,-47.5690,-0.9900,-0.5200,47.5860
-0.014,-110.001,-30.013,-47.5590,-0.9700,-0.5100,47.5710
-0.014,-110.001,-20.013,-47.5520,-0.9800,-0.5100,47.5650
-0.014,-110.001,-10.013,-47.5450,-0.9700,-0.5000,47.5570
-0.014,-110.001,-0.013,-47.5390,-0.9600,-0.4800,47.5510
-0.014,-110.001,9.987,-47.5400,-0.9600,-0.4900,47.5520
-0.014,-110.001,19.987,-47.5410,-0.9600,-0.5000,47.5530
-0.014,-110.001,29.987,-47.5510,-0.9700,-0.4900,47.5630
-0.014,-110.001,39.987,-47.5560,-0.9600,-0.4900,47.5680
9.986,-110.001,39.987,-47.5680,-0.9700,-0.4800,47.5810
9.986,-110.001,29.987,-47.5520,-0.9700,-0.4900,47.5650
9.986,-110.001,19.987,-47.5460,-0.9700,-0.4700,47.5580
9.986,-110.001,9.987,-47.5360,-0.9700,-0.4800,47.5480
9.986,-110.001,-0.013,-47.5290,-0.9700,-0.5000,47.5410
9.986,-110.001,-10.013,-47.5390,-0.9700,-0.4900,47.5510
9.986,-110.001,-20.013,-47.5390,-0.9800,-0.5000,47.5510
9.986,-110.001,-30.013,-47.5440,-0.9800,-0.5100,47.5570
9.986,-110.001,-40.013,-47.5550,-0.9900,-0.5400,47.5690
19.986,-110.001,-40.013,-47.5400,-0.9800,-0.5300,47.5530
19.986,-110.001,-30.013,-47.5350,-0.9900,-0.5300,47.5480
19.986,-110.001,-20.013,-47.5350,-0.9800,-0.5100,47.5460
19.986,-110.001,-10.013,-47.5290,-0.9700,-0.5000,47.5410
19.986,-110.001,-0.013,-47.5280,-0.9700,-0.5000,47.5360
19.986,-110.001,9.987,-47.5280,-0.9800,-0.4900,47.5390
19.986,-110.001,19.987,-47.5330,-0.9800,-0.4800,47.5460
19.986,-110.001,29.987,-47.5470,-0.9900,-0.4700,47.5600
19.986,-110.001,39.987,-47.5590,-0.9800,-0.4600,47.5720
29.986,-110.001,29.987,-47.5470,-1.0000,-0.4700,47.5590
29.986,-110.001,19.987,-47.5390,-0.9900,-0.4600,47.5520
29.986,-110.001,9.987,-47.5280,-0.9900,-0.4600,47.5410
29.986,-110.001,-0.013,-47.5240,-0.9900,-0.4700,47.5370
29.986,-110.001,-10.013,-47.5190,-0.9800,-0.4800,47.5320
29.986,-110.001,-20.013,-47.5190,-0.9800,-0.5000,47.5320
29.986,-110.001,-30.013,-47.5220,-0.9800,-0.5100,47.5340
39.986,-110.001,-20.013,-47.5090,-0.9800,-0.5100,47.5220
39.986,-110.001,-10.013,-47.5080,-0.9900,-0.4800,47.5210
39.986,-110.001,-0.013,-47.5070,-0.9900,-0.4700,47.5190
39.986,-110.001,9.987,-47.5140,-1.0000,-0.4700,47.5270
39.986,-110.001,19.987,-47.5240,-1.0000,-0.4500,47.5370
59.986,-100.001,19.987,-47.5210,-1.0100,-0.4700,47.5340
59.986,-100.001,9.987,-47.5040,-1.0200,-0.4600,47.5180
59.986,-100.001,-0.013,-47.4990,-1.0100,-0.4900,47.5120
59.986,-100.001,-10.013,-47.4890,-1.0200,-0.5000,47.5040
59.986,-100.001,-20.013,-47.4820,-1.0100,-0.5100,47.4980
49.986,-100.001,-40.013,-47.4900,-0.9900,-0.5300,47.5030
49.986,-100.001,-30.013,-47.5000,-0.9900,-0.5300,47.5110
49.986,-100.001,-20.013,-47.4990,-0.9900,-0.5200,47.5180
49.986,-100.001,-10.013,-47.5030,-1.0100,-0.5000,47.5150
49.986,-100.001,-0.013,-47.5050,-1.0000,-0.5000,47.5230
49.986,-100.001,9.987,-47.5140,-1.0200,-0.4800,47.5240
49.986,-100.001,19.987,-47.5220,-1.0100,-0.4700,47.5320
49.986,-100.001,29.987,-47.5370,-1.0100,-0.4700,47.5500
49.986,-100.001,39.987,-47.5500,-1.0100,-0.4600,47.5610
39.986,-100.001,49.987,-47.5660,-1.0000,-0.4700,47.5770
39.986,-100.001,39.987,-47.5550,-1.0100,-0.4700,47.5690
39.986,-100.001,29.987,-47.5470,-1.0100,-0.4700,47.5600
39.986,-100.001,19.987,-47.5360,-1.0000,-0.4800,47.5490
39.986,-100.001,9.987,-47.5210,-1.0000,-0.4800,47.5340
39.986,-100.001,-0.013,-47.5220,-1.0000,-0.4900,47.5350
39.986,-100.001,-10.013,-47.5130,-1.0000,-0.4900,47.5260
39.986,-100.001,-20.013,-47.5080,-0.9800,-0.5100,47.5210
39.986,-100.001,-30.013,-47.5130,-0.9900,-0.5200,47.5270
39.986,-100.001,-40.013,-47.5110,-0.9800,-0.5300,47.5240
39.986,-100.001,-50.013,-47.5120,-0.9700,-0.5400,47.5250
29.986,-100.001,-50.013,-47.5230,-0.9700,-0.5500,47.5360
29.986,-100.001,-40.013,-47.5270,-0.9600,-0.5400,47.5400
29.986,-100.001,-30.013,-47.5230,-0.9800,-0.5300,47.5360
29.986,-100.001,-20.013,-47.5200,-0.9800,-0.5200,47.5330
29.986,-100.001,-10.013,-47.5180,-0.9800,-0.5000,47.5310
29.986,-100.001,-0.013,-47.5300,-0.9900,-0.5000,47.5430
29.986,-100.001,9.987,-47.5300,-0.9900,-0.4900,47.5430
29.986,-100.001,19.987,-47.5430,-0.9900,-0.4800,47.5560
29.986,-100.001,29.987,-47.5460,-0.9900,-0.4800,47.5560
29.986,-100.001,39.987,-47.5540,-1.0000,-0.4800,47.5630
29.986,-100.001,49.987,-47.5630,-0.9900,-0.4700,47.5760
19.986,-100.001,59.987,-47.5680,-0.9800,-0.4800,47.5820
19.986,-100.001,49.987,-47.5670,-0.9800,-0.4900,47.5820
19.986,-100.001,39.987,-47.5570,-0.9900,-0.4800,47.5730
19.986,-100.001,29.987,-47.5530,-0.9700,-0.4700,47.5670
19.986,-100.001,19.987,-47.5420,-0.9900,-0.4900,47.5550
19.986,-100.001,9.987,-47.5400,-0.9900,-0.4900,47.5530
19.986,-100.001,-0.013,-47.5290,-0.9900,-0.5000,47.5420
19.986,-100.001,-10.013,-47.5350,-0.9800,-0.5200,47.5480
19.986,-100.001,-20.013,-47.5350,-0.9800,-0.5100,47.5480
19.986,-100.001,-30.013,-47.5300,-0.9800,-0.5300,47.5430
19.986,-100.001,-40.013,-47.5340,-0.9700,-0.5400,47.5480
19.986,-100.001,-50.013,-47.5400,-0.9700,-0.5400,47.5530
19.986,-100.001,-60.013,-47.5400,-0.9700,-0.5600,47.5530
9.986,-100.001,-60.013,-47.5500,-0.9800,-0.5600,47.5630
9.986,-100.001,-50.013,-47.5490,-0.9900,-0.5400,47.5620
9.986,-100.001,-40.013,-47.5590,-0.9800,-0.5300,47.5690
9.986,-100.001,-30.013,-47.5490,-0.9800,-0.5200,47.5630
9.986,-100.001,-20.013,-47.5470,-0.9800,-0.5100,47.5600
9.986,-100.001,-10.013,-47.5360,-0.9800,-0.5000,47.5510
9.986,-100.001,-0.013,-47.5330,-0.9700,-0.5100,47.5440
9.986,-100.001,9.987,-47.5420,-0.9700,-0.5000,47.5550
9.986,-100.001,19.987,-47.5450,-0.9800,-0.5000,47.5580
9.986,-100.001,29.987,-47.5520,-0.9900,-0.5000,47.5650
9.986,-100.001,39.987,-47.5610,-0.9700,-0.4900,47.5730
9.986,-100.001,49.987,-47.5620,-0.9800,-0.5000,47.5750
9.986,-100.001,59.987,-47.5730,-0.9700,-0.4900,47.5860
-0.014,-100.001,59.987,-47.5800,-0.9700,-0.5200,47.5920
-0.014,-100.001,49.987,-47.5670,-0.9700,-0.5000,47.5800
-0.014,-100.001,39.987,-47.5610,-0.9800,-0.5000,47.5740
-0.014,-100.001,29.987,-47.5560,-0.9800,-0.5100,47.5680
-0.014,-100.001,19.987,-47.5510,-0.9800,-0.5000,47.5630
-0.014,-100.001,9.987,-47.5450,-0.9700,-0.5100,47.5570
-0.014,-100.001,-0.013,-47.5400,-0.9700,-0.5100,47.5520
-0.014,-100.001,-10.013,-47.5380,-0.9800,-0.5100,47.5500
-0.014,-100.001,-20.013,-47.5400,-0.9800,-0.5100,47.5570
-0.014,-100.001,-30.013,-47.5530,-0.9800,-0.5100,47.5660
-0.014,-100.001,-40.013,-47.5550,-0.9900,-0.5200,47.5660
-0.014,-100.001,-50.013,-47.5650,-0.9800,-0.5400,47.5740
-0.014,-100.001,-60.013,-47.5670,-0.9900,-0.5400,47.5810
-10.014,-100.001,-60.013,-47.5840,-1.0000,-0.5200,47.5960
-10.014,-100.001,-50.013,-47.5730,-0.9900,-0.5100,47.5880
-10.014,-100.001,-40.013,-47.5700,-0.9900,-0.5100,47.5830
-10.014,-100.001,-30.013,-47.5640,-0.9800,-0.5000,47.5770
-10.014,-100.001,-20.013,-47.5490,-0.9700,-0.5000,47.5610
-10.014,-100.001,-10.013,-47.5470,-0.9800,-0.5000,47.5600
-10.014,-100.001,-0.013,-47.5440,-0.9800,-0.5000,47.5570
-10.014,-100.001,9.987,-47.5380,-0.9700,-0.5000,47.5500
-10.014,-100.001,19.987,-47.5400,-0.9700,-0.5100,47.5520
-10.014,-100.001,29.987,-47.5450,-0.9700,-0.5200,47.5570
-10.014,-100.001,39.987,-47.5570,-0.9800,-0.5100,47.5700
-10.014,-100.001,49.987,-47.5610,-0.9600,-0.5200,47.5730
-10.014,-100.001,59.987,-47.5680,-0.9700,-0.5300,47.5810
-20.014,-100.001,59.987,-47.5620,-0.9800,-0.5400,47.5750
-20.014,-100.001,49.987,-47.5650,-0.9700,-0.5500,47.5780
-20.014,-100.001,39.987,-47.5490,-0.9800,-0.5300,47.5620
-20.014,-100.001,29.987,-47.5390,-0.9800,-0.5200,47.5540
-20.014,-100.001,19.987,-47.5340,-0.9700,-0.5200,47.5480
-20.014,-100.001,9.987,-47.5310,-0.9700,-0.5100,47.5460
-20.014,-100.001,-0.013,-47.5300,-0.9700,-0.5000,47.5420
-20.014,-100.001,-10.013,-47.5410,-0.9700,-0.5000,47.5530
-20.014,-100.001,-20.013,-47.5440,-0.9800,-0.5000,47.5540
