# COSI2 B0 scan
# time 2024-08-09 17:12:45.514400
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/ball_no_rings_one_insert3_against_field
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-47.5130,-0.9900,-0.4700,47.5260
242.800,227.460,191.290,-47.5170,-0.9900,-0.4800,47.5300
232.800,227.460,191.290,-47.5160,-0.9900,-0.4900,47.5280
222.800,227.460,191.290,-47.5000,-0.9700,-0.5000,47.5130
212.800,227.460,191.290,-47.4920,-0.9700,-0.5100,47.5050
202.800,217.460,191.290,-47.4970,-0.9800,-0.5300,47.5090
212.800,217.460,191.290,-47.5040,-0.9800,-0.5300,47.5160
222.800,217.460,191.290,-47.5140,-0.9800,-0.5300,47.5250
232.800,217.460,191.290,-47.5040,-0.9800,-0.5100,47.5220
242.800,217.460,191.290,-47.5150,-0.9700,-0.5000,47.5270
252.800,217.460,191.290,-47.5170,-0.9700,-0.4900,47.5290
262.800,217.460,191.290,-47.5210,-0.9800,-0.4900,47.5340
272.800,207.460,191.290,-47.5300,-1.0000,-0.4800,47.5430
262.800,207.460,191.290,-47.5510,-1.0000,-0.4800,47.5640
252.800,207.460,191.290,-47.5480,-0.9900,-0.4900,47.5610
242.800,207.460,191.290,-47.5350,-0.9900,-0.5000,47.5480
232.800,207.460,191.290,-47.5260,-0.9900,-0.4900,47.5390
222.800,207.460,191.290,-47.5220,-1.0000,-0.5100,47.5350
212.800,207.460,191.290,-47.5230,-0.9800,-0.4900,47.5360
202.800,207.460,191.290,-47.5150,-0.9800,-0.5100,47.5280
192.800,207.460,191.290,-47.5290,-0.9900,-0.5200,47.5420
192.800,197.460,191.290,-47.5350,-0.9900,-0.5300,47.5480
202.800,197.460,191.290,-47.5470,-0.9800,-0.5200,47.5600
212.800,197.460,191.290,-47.5380,-0.9900,-0.5100,47.5510
222.800,197.460,191.290,-47.5290,-0.9800,-0.5000,47.5420
232.800,197.460,191.290,-47.5250,-0.9600,-0.5000,47.5380
242.800,197.460,191.290,-47.5240,-0.9800,-0.5000,47.5350
252.800,197.460,191.290,-47.5300,-0.9900,-0.5000,47.5440
262.800,197.460,191.290,-47.5320,-0.9900,-0.5000,47.5440
272.800,197.460,191.290,-47.5410,-0.9900,-0.5000,47.5530
272.800,187.460,191.290,-47.5490,-1.0000,-0.5000,47.5620
262.800,187.460,191.290,-47.5460,-1.0000,-0.5200,47.5570
252.800,187.460,191.290,-47.5420,-1.0000,-0.5100,47.5580
242.800,187.460,191.290,-47.5350,-0.9900,-0.5000,47.5460
232.800,187.460,191.290,-47.5300,-0.9800,-0.5000,47.5400
222.800,187.460,191.290,-47.5220,-0.9700,-0.4900,47.5340
212.800,187.460,191.290,-47.5280,-0.9700,-0.4900,47.5400
202.800,187.460,191.290,-47.5280,-0.9900,-0.4900,47.5410
192.800,187.460,191.290,-47.5370,-0.9700,-0.5000,47.5500
192.800,177.460,191.290,-47.5480,-0.9700,-0.5000,47.5610
202.800,177.460,191.290,-47.5560,-0.9700,-0.4800,47.5690
212.800,177.460,191.290,-47.5470,-0.9900,-0.4800,47.5590
222.800,177.460,191.290,-47.5350,-0.9900,-0.4700,47.5470
232.800,177.460,191.290,-47.5270,-0.9800,-0.4800,47.5390
242.800,177.460,191.290,-47.5170,-0.9800,-0.4900,47.5300
252.800,177.460,191.290,-47.5250,-0.9900,-0.4900,47.5380
262.800,177.460,191.290,-47.5210,-0.9900,-0.5000,47.5340
272.800,177.460,191.290,-47.5310,-0.9900,-0.5100,47.5440
272.800,167.460,191.290,-47.5340,-1.0000,-0.5100,47.5470
262.800,167.460,191.290,-47.5230,-0.9900,-0.5200,47.5370
252.800,167.460,191.290,-47.5180,-0.9900,-0.5100,47.5350
242.800,167.460,191.290,-47.5110,-0.9800,-0.5000,47.5270
232.800,167.460,191.290,-47.5110,-0.9800,-0.4900,47.5220
222.800,167.460,191.290,-47.5180,-1.0000,-0.4800,47.5300
212.800,167.460,191.290,-47.5140,-0.9900,-0.4800,47.5250
202.800,167.460,191.290,-47.5240,-0.9900,-0.4700,47.5340
192.800,167.460,191.290,-47.5380,-1.0000,-0.4700,47.5500
202.800,157.460,191.290,-47.5480,-0.9900,-0.4700,47.5600
212.800,157.460,191.290,-47.5640,-0.9900,-0.4700,47.5760
222.800,157.460,191.290,-47.5520,-0.9900,-0.4800,47.5650
232.800,157.460,191.290,-47.5390,-0.9800,-0.4600,47.5510
242.800,157.460,191.290,-47.5120,-0.9900,-0.4800,47.5250
252.800,157.460,191.290,-47.5050,-0.9900,-0.4900,47.5180
262.800,157.460,191.290,-47.5150,-0.9900,-0.5100,47.5280
252.800,147.460,191.290,-47.5110,-0.9700,-0.5100,47.5240
242.800,147.460,191.290,-47.5050,-0.9800,-0.5000,47.5170
232.800,147.460,191.290,-47.5000,-0.9900,-0.4800,47.5130
222.800,147.460,191.290,-47.5060,-0.9900,-0.4700,47.5180
212.800,147.460,191.290,-47.5070,-1.0000,-0.4600,47.5200
212.800,127.460,201.290,-47.5260,-1.0100,-0.4700,47.5390
222.800,127.460,201.290,-47.5260,-1.0100,-0.4600,47.5390
232.800,127.460,201.290,-47.5080,-1.0200,-0.4600,47.5210
242.800,127.460,201.290,-47.4930,-1.0200,-0.4800,47.5060
252.800,127.460,201.290,-47.4850,-1.0100,-0.4900,47.4970
272.800,137.460,201.290,-47.4750,-1.0100,-0.5100,47.4910
262.800,137.460,201.290,-47.4860,-1.0000,-0.5300,47.4960
252.800,137.460,201.290,-47.4960,-1.0000,-0.5200,47.5120
242.800,137.460,201.290,-47.4940,-1.0000,-0.5200,47.5050
232.800,137.460,201.290,-47.4930,-1.0000,-0.5000,47.5040
222.800,137.460,201.290,-47.5010,-1.0100,-0.4900,47.5130
212.800,137.460,201.290,-47.5120,-1.0100,-0.4800,47.5200
202.800,137.460,201.290,-47.5170,-1.0200,-0.4700,47.5330
192.800,137.460,201.290,-47.5370,-1.0100,-0.4700,47.5500
182.800,147.460,201.290,-47.5480,-1.0100,-0.4500,47.5610
192.800,147.460,201.290,-47.5580,-1.0100,-0.4700,47.5710
202.800,147.460,201.290,-47.5550,-1.0000,-0.4700,47.5680
212.800,147.460,201.290,-47.5450,-1.0100,-0.4700,47.5580
222.800,147.460,201.290,-47.5310,-1.0000,-0.4700,47.5430
232.800,147.460,201.290,-47.5210,-1.0000,-0.4800,47.5340
242.800,147.460,201.290,-47.5150,-0.9900,-0.4900,47.5280
252.800,147.460,201.290,-47.5070,-1.0000,-0.4900,47.5200
262.800,147.460,201.290,-47.5150,-0.9900,-0.5100,47.5280
