# COSI2 B0 scan,,,,,,
# time 2024-07-31 15:51:25.115932,,,,,,
# MAGNET CENTER IN LAB: x 233.520 mm, y 269.450 mm, z 300.870 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/bigball_sungular_point_ymin_z0_x0_new_ring0,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.52,317.45,192.87,-50.634,-2.78,3.4,48.565
233.52,317.45,192.87,-269.41,28.37,32.57,272.852
221.52,317.45,192.87,-243.508,2.62,38.61,204.759
197.52,305.45,192.87,-152.345,8.27,-10.13,152.905
209.52,305.45,192.87,0,0,0,0
221.52,305.45,192.87,0,0,0,0
233.52,305.45,192.87,0,0,0,0
245.52,305.45,192.87,-231.556,-26.59,86.63,248.657
257.52,305.45,192.87,-172.863,-5.36,43.83,178.413
269.52,305.45,192.87,0,0,0,0
269.52,293.45,192.87,0,0,0,0
257.52,293.45,192.87,0,0,0,0
245.52,293.45,192.87,0,0,0,0
233.52,293.45,192.87,-47.141,-0.85,0.16,47.149
221.52,293.45,192.87,-47.122,-0.91,0.12,47.131
209.52,293.45,192.87,-47.092,-0.97,0.08,47.102
197.52,293.45,192.87,-47.066,-1.03,0,47.078
185.52,281.45,192.87,-47.119,-0.98,-0.1,47.13
197.52,281.45,192.87,-47.171,-0.95,-0.02,47.18
209.52,281.45,192.87,-47.161,-0.94,0.05,47.17
221.52,281.45,192.87,-47.166,-0.91,0.1,47.175
233.52,281.45,192.87,-47.174,-0.89,0.16,47.183
245.52,281.45,192.87,-47.183,-0.87,0.2,47.192
257.52,281.45,192.87,-47.191,-0.86,0.27,47.199
269.52,281.45,192.87,-47.192,-0.85,0.36,47.202
281.52,281.45,192.87,-47.193,-0.87,0.49,47.199
281.52,269.45,192.87,-47.272,-0.98,0.41,47.271
269.52,269.45,192.87,-47.272,-0.94,0.33,47.285
257.52,269.45,192.87,-47.252,-0.91,0.27,47.265
245.52,269.45,192.87,-47.239,-0.9,0.21,47.248
233.52,269.45,192.87,-47.23,-0.9,0.18,47.239
221.52,269.45,192.87,-47.221,-0.9,0.13,47.229
209.52,269.45,192.87,-47.216,-0.9,0.09,47.225
197.52,269.45,192.87,-47.234,-0.91,0.05,47.243
185.52,269.45,192.87,-47.258,-0.89,0,47.267
185.52,257.45,192.87,-47.301,-0.88,0.07,47.309
197.52,257.45,192.87,-47.279,-0.9,0.09,47.287
209.52,257.45,192.87,-47.256,-0.9,0.11,47.264
221.52,257.45,192.87,-47.246,-0.9,0.14,47.255
233.52,257.45,192.87,-47.25,-0.91,0.16,47.259
245.52,257.45,192.87,-47.262,-0.91,0.18,47.27
257.52,257.45,192.87,-47.278,-0.94,0.21,47.285
269.52,257.45,192.87,-47.292,-0.97,0.23,47.302
281.52,257.45,192.87,-47.318,-1,0.25,47.326
269.52,245.45,192.87,-47.316,-0.99,0.2,47.328
257.52,245.45,192.87,-47.305,-0.94,0.18,47.316
245.52,245.45,192.87,-47.292,-0.93,0.17,47.3
233.52,245.45,192.87,-47.275,-0.92,0.15,47.284
221.52,245.45,192.87,-47.272,-0.91,0.14,47.281
209.52,245.45,192.87,-47.267,-0.91,0.13,47.276
197.52,245.45,192.87,-47.277,-0.91,0.12,47.286
197.52,233.45,192.87,-47.28,-0.92,0.13,47.289
209.52,233.45,192.87,-47.279,-0.91,0.14,47.288
221.52,233.45,192.87,-47.272,-0.91,0.14,47.28
233.52,233.45,192.87,-47.282,-0.92,0.14,47.291
245.52,233.45,192.87,-47.29,-0.93,0.16,47.3
257.52,233.45,192.87,-47.292,-0.95,0.15,47.299
269.52,233.45,192.87,-47.305,-0.95,0.15,47.315
245.52,221.45,192.87,-47.302,-0.95,0.15,47.319
233.52,221.45,192.87,-47.294,-0.92,0.14,47.3
221.52,221.45,192.87,-47.283,-0.91,0.13,47.292
269.52,209.45,204.87,-47.3,-0.94,0.13,47.311
257.52,209.45,204.87,-47.295,-0.93,0.13,47.305
245.52,209.45,204.87,-47.292,-0.92,0.12,47.301
233.52,209.45,204.87,-47.286,-0.92,0.13,47.295
221.52,209.45,204.87,-47.285,-0.91,0.12,47.294
209.52,209.45,204.87,-47.288,-0.91,0.13,47.297
197.52,209.45,204.87,-47.292,-0.91,0.11,47.301
185.52,221.45,204.87,-47.29,-0.92,0.12,47.299
197.52,221.45,204.87,-47.286,-0.91,0.12,47.295
209.52,221.45,204.87,-47.285,-0.92,0.13,47.293
221.52,221.45,204.87,-47.283,-0.91,0.13,47.292
233.52,221.45,204.87,-47.288,-0.92,0.14,47.293
245.52,221.45,204.87,-47.285,-0.93,0.13,47.294
