# COSI2 B0 scan
# time 2024-08-08 10:53:46.929882
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/coarse_ball_R120_5pts_4rings_in_R2_I6_fixed
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.800,267.460,221.290,-47.2910,-0.9600,-0.9400,47.3100
272.800,227.460,221.290,-47.2940,-0.9600,-0.9300,47.3140
232.800,227.460,221.290,-47.3360,-0.9700,-0.8900,47.3540
192.800,227.460,221.290,-47.3380,-0.9600,-0.9000,47.3560
152.800,187.460,221.290,-47.3350,-0.9500,-0.9100,47.3530
192.800,187.460,221.290,-47.3920,-0.9400,-0.9000,47.4070
232.800,187.460,221.290,-47.3840,-0.9500,-0.9000,47.4030
272.800,187.460,221.290,-47.3660,-0.9600,-0.9100,47.3840
312.800,187.460,221.290,-47.3410,-0.9700,-0.9100,47.3600
312.800,147.460,221.290,-47.3380,-0.9700,-0.9100,47.3570
272.800,147.460,221.290,-47.3420,-0.9800,-0.9200,47.3620
232.800,147.460,221.290,-47.3340,-0.9600,-0.9100,47.3520
192.800,147.460,221.290,-47.3260,-0.9700,-0.9100,47.3450
152.800,147.460,221.290,-47.3340,-0.9600,-0.9100,47.3560
232.800,107.460,221.290,-47.3620,-0.9600,-0.8900,47.3800
272.800,107.460,261.290,-47.3010,-0.9900,-0.8900,47.3210
232.800,107.460,261.290,-47.3240,-0.9700,-0.9400,47.3410
192.800,107.460,261.290,-47.3260,-0.9700,-0.9400,47.3440
152.800,147.460,261.290,-47.3320,-0.9800,-0.9400,47.3520
192.800,147.460,261.290,-47.3800,-0.9500,-0.9500,47.3990
232.800,147.460,261.290,-47.3780,-0.9500,-0.9400,47.3990
272.800,147.460,261.290,-47.3590,-0.9500,-0.9300,47.3780
312.800,147.460,261.290,-47.3370,-0.9500,-0.9400,47.3580
312.800,187.460,261.290,-47.3350,-0.9600,-0.9400,47.3540
272.800,187.460,261.290,-47.3460,-0.9600,-0.9400,47.3610
232.800,187.460,261.290,-47.3470,-0.9600,-0.9300,47.3660
192.800,187.460,261.290,-47.3410,-0.9500,-0.9300,47.3590
152.800,187.460,261.290,-47.3430,-0.9500,-0.9300,47.3610
152.800,227.460,261.290,-47.3630,-0.9300,-0.9400,47.3820
192.800,227.460,261.290,-47.3750,-0.9400,-0.9300,47.3940
232.800,227.460,261.290,-47.4170,-0.9200,-0.9300,47.4370
272.800,227.460,261.290,-47.3610,-0.9500,-0.9500,47.3800
312.800,227.460,261.290,-47.3420,-0.9500,-0.9300,47.3600
272.800,267.460,261.290,-47.3330,-0.9500,-0.9100,47.3540
232.800,267.460,261.290,-47.3150,-0.9700,-0.9100,47.3330
192.800,267.460,261.290,-47.3110,-0.9700,-0.9200,47.3300
152.800,267.460,301.290,-47.3180,-0.9700,-0.9400,47.3380
192.800,267.460,301.290,-47.3390,-0.9200,-1.0700,47.3600
232.800,267.460,301.290,-47.3240,-0.9200,-1.0100,47.3440
272.800,267.460,301.290,-47.3370,-0.9300,-0.9500,47.3560
312.800,267.460,301.290,-47.3140,-0.9500,-0.9400,47.3330
312.800,227.460,301.290,-47.3090,-0.9800,-0.9200,47.3280
272.800,227.460,301.290,-47.3090,-0.9800,-0.8800,47.3280
232.800,227.460,301.290,-47.3500,-0.9800,-0.9000,47.3680
192.800,227.460,301.290,-47.3320,-0.9500,-0.9300,47.3510
152.800,227.460,301.290,-47.3330,-0.9300,-0.9500,47.3510
152.800,187.460,301.290,-47.3510,-0.9200,-0.9600,47.3710
192.800,187.460,301.290,-47.4030,-0.9200,-0.9500,47.4220
232.800,187.460,301.290,-47.3780,-0.9100,-0.9600,47.3970
272.800,187.460,301.290,-47.3600,-0.9200,-0.9600,47.3800
312.800,187.460,301.290,-47.3370,-0.9400,-0.9500,47.3560
312.800,147.460,301.290,-47.3350,-0.9600,-0.9500,47.3540
272.800,147.460,301.290,-47.3510,-0.9600,-0.9400,47.3680
232.800,147.460,301.290,-47.3480,-0.9700,-0.9700,47.3680
192.800,147.460,301.290,-47.3390,-0.9600,-0.9500,47.3540
152.800,147.460,301.290,-47.3390,-0.9600,-0.9600,47.3590
152.800,107.460,301.290,-47.3610,-0.9500,-0.9600,47.3800
192.800,107.460,301.290,-47.3890,-0.9300,-0.9800,47.4080
232.800,107.460,301.290,-47.3900,-0.9300,-0.9100,47.4080
272.800,107.460,301.290,-47.3530,-0.9500,-0.9700,47.3700
312.800,107.460,301.290,-47.3400,-0.9600,-0.9700,47.3590
272.800,107.460,341.290,-47.3330,-0.9700,-0.9500,47.3520
232.800,107.460,341.290,-47.3190,-0.9800,-0.9900,47.3400
192.800,107.460,341.290,-47.3230,-0.9800,-0.9900,47.3440
152.800,147.460,341.290,-47.3190,-0.9500,-0.9800,47.3400
192.800,147.460,341.290,-47.3960,-0.9000,-1.0100,47.4150
232.800,147.460,341.290,-47.3840,-0.9000,-1.0000,47.4030
272.800,147.460,341.290,-47.3460,-0.9100,-0.9900,47.3670
312.800,147.460,341.290,-47.3260,-0.9500,-0.9900,47.3460
312.800,187.460,341.290,-47.3280,-0.9700,-0.9900,47.3480
272.800,187.460,341.290,-47.3520,-0.9600,-0.9900,47.3730
232.800,187.460,341.290,-47.3460,-0.9600,-0.9600,47.3660
192.800,187.460,341.290,-47.3360,-0.9400,-0.9600,47.3540
152.800,187.460,341.290,-47.3320,-0.9200,-0.9700,47.3510
152.800,227.460,341.290,-47.3420,-0.8900,-0.9800,47.3600
192.800,227.460,341.290,-47.3740,-0.8800,-0.9900,47.3940
232.800,227.460,341.290,-47.4030,-0.8800,-0.9500,47.4210
272.800,227.460,341.290,-47.3360,-0.9000,-0.9700,47.3580
312.800,227.460,341.290,-47.3210,-0.9200,-0.9500,47.3400
272.800,267.460,341.290,-47.3230,-0.9400,-0.9300,47.3420
232.800,267.460,341.290,-47.2970,-0.9700,-0.9100,47.3130
192.800,267.460,341.290,-47.3000,-0.9500,-0.9200,47.3190
232.800,267.460,381.290,-47.3030,-0.9300,-0.9400,47.3220
272.800,227.460,381.290,-47.2650,-0.9200,-0.9300,47.2830
232.800,227.460,381.290,-47.3200,-0.9100,-0.9500,47.3380
192.800,227.460,381.290,-47.3160,-0.9100,-0.9500,47.3350
152.800,187.460,381.290,-47.3030,-0.8800,-0.9700,47.3220
192.800,187.460,381.290,-47.3540,-0.7800,-1.0300,47.3710
232.800,187.460,381.290,-47.3270,-0.8100,-1.0200,47.3450
272.800,187.460,381.290,-47.3070,-0.8800,-1.0200,47.3260
312.800,187.460,381.290,-47.3110,-0.9200,-1.0100,47.3290
312.800,147.460,381.290,-47.3260,-0.9300,-0.9900,47.3460
272.800,147.460,381.290,-47.3500,-0.9600,-1.0000,47.3700
232.800,147.460,381.290,-47.3470,-0.9900,-0.9900,47.3660
192.800,147.460,381.290,-47.3170,-0.9700,-1.0300,47.3380
152.800,147.460,381.290,-47.3110,-0.9400,-1.0200,47.3330
232.800,107.460,381.290,-47.3110,-0.9000,-1.0300,47.3350
