# COSI2 B0 scan
# time 2024-08-12 11:37:23.419871
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/newinit_norings_240812
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-47.5510,-0.9400,-0.4700,47.5630
242.800,227.460,191.290,-47.5470,-0.9400,-0.4600,47.5580
232.800,227.460,191.290,-47.5490,-0.9400,-0.4800,47.5610
222.800,227.460,191.290,-47.5360,-0.9200,-0.4900,47.5470
212.800,227.460,191.290,-47.5270,-0.9300,-0.4900,47.5380
202.800,217.460,191.290,-47.5240,-0.9300,-0.5100,47.5360
212.800,217.460,191.290,-47.5370,-0.9300,-0.5200,47.5490
222.800,217.460,191.290,-47.5370,-0.9300,-0.5100,47.5490
232.800,217.460,191.290,-47.5390,-0.9300,-0.5000,47.5510
242.800,217.460,191.290,-47.5390,-0.9300,-0.4900,47.5510
252.800,217.460,191.290,-47.5460,-0.9400,-0.4800,47.5570
262.800,217.460,191.290,-47.5560,-0.9400,-0.4900,47.5680
272.800,207.460,191.290,-47.5660,-0.9600,-0.4700,47.5780
262.800,207.460,191.290,-47.5840,-0.9600,-0.4800,47.5960
252.800,207.460,191.290,-47.5820,-0.9500,-0.4800,47.5940
242.800,207.460,191.290,-47.5670,-0.9400,-0.4800,47.5790
232.800,207.460,191.290,-47.5560,-0.9400,-0.4900,47.5680
222.800,207.460,191.290,-47.5550,-0.9300,-0.5000,47.5670
212.800,207.460,191.290,-47.5450,-0.9300,-0.5000,47.5570
202.800,207.460,191.290,-47.5520,-0.9400,-0.5100,47.5640
192.800,207.460,191.290,-47.5540,-0.9400,-0.5200,47.5660
192.800,197.460,191.290,-47.5620,-0.9400,-0.5200,47.5700
202.800,197.460,191.290,-47.5740,-0.9300,-0.5200,47.5810
212.800,197.460,191.290,-47.5680,-0.9400,-0.5200,47.5820
222.800,197.460,191.290,-47.5550,-0.9300,-0.5000,47.5710
232.800,197.460,191.290,-47.5550,-0.9300,-0.5000,47.5700
242.800,197.460,191.290,-47.5530,-0.9400,-0.4900,47.5680
252.800,197.460,191.290,-47.5600,-0.9400,-0.4900,47.5670
262.800,197.460,191.290,-47.5640,-0.9400,-0.4900,47.5760
272.800,197.460,191.290,-47.5740,-0.9500,-0.5000,47.5840
272.800,187.460,191.290,-47.5820,-0.9500,-0.5000,47.5930
262.800,187.460,191.290,-47.5810,-0.9500,-0.5200,47.5930
252.800,187.460,191.290,-47.5730,-0.9400,-0.5100,47.5850
242.800,187.460,191.290,-47.5670,-0.9400,-0.4900,47.5790
232.800,187.460,191.290,-47.5590,-0.9400,-0.4900,47.5710
222.800,187.460,191.290,-47.5570,-0.9400,-0.4900,47.5690
212.800,187.460,191.290,-47.5580,-0.9300,-0.4900,47.5690
202.800,187.460,191.290,-47.5510,-0.9300,-0.4800,47.5620
192.800,187.460,191.290,-47.5680,-0.9300,-0.4900,47.5800
192.800,177.460,191.290,-47.5740,-0.9400,-0.4900,47.5860
202.800,177.460,191.290,-47.5770,-0.9400,-0.4800,47.5880
212.800,177.460,191.290,-47.5720,-0.9500,-0.4800,47.5840
222.800,177.460,191.290,-47.5600,-0.9400,-0.4800,47.5720
232.800,177.460,191.290,-47.5560,-0.9400,-0.4800,47.5670
242.800,177.460,191.290,-47.5520,-0.9400,-0.4900,47.5640
252.800,177.460,191.290,-47.5470,-0.9400,-0.4900,47.5590
262.800,177.460,191.290,-47.5500,-0.9400,-0.4900,47.5620
272.800,177.460,191.290,-47.5630,-0.9400,-0.5100,47.5750
272.800,167.460,191.290,-47.5600,-0.9400,-0.5200,47.5720
262.800,167.460,191.290,-47.5520,-0.9500,-0.5300,47.5650
252.800,167.460,191.290,-47.5490,-0.9500,-0.5100,47.5610
242.800,167.460,191.290,-47.5450,-0.9300,-0.5100,47.5570
232.800,167.460,191.290,-47.5450,-0.9400,-0.4900,47.5570
222.800,167.460,191.290,-47.5430,-0.9400,-0.4800,47.5550
212.800,167.460,191.290,-47.5500,-0.9500,-0.4700,47.5620
202.800,167.460,191.290,-47.5550,-0.9500,-0.4600,47.5670
192.800,167.460,191.290,-47.5680,-0.9500,-0.4700,47.5790
202.800,157.460,191.290,-47.5750,-0.9600,-0.4700,47.5850
212.800,157.460,191.290,-47.5670,-0.9600,-0.4500,47.5820
222.800,157.460,191.290,-47.5530,-0.9500,-0.4500,47.5660
232.800,157.460,191.290,-47.5440,-0.9600,-0.4600,47.5550
242.800,157.460,191.290,-47.5380,-0.9500,-0.4800,47.5510
252.800,157.460,191.290,-47.5330,-0.9500,-0.4700,47.5420
262.800,157.460,191.290,-47.5330,-0.9400,-0.4900,47.5440
252.800,147.460,191.290,-47.5300,-0.9400,-0.5100,47.5420
242.800,147.460,191.290,-47.5250,-0.9500,-0.5000,47.5370
232.800,147.460,191.290,-47.5230,-0.9600,-0.4900,47.5350
222.800,147.460,191.290,-47.5220,-0.9600,-0.4700,47.5340
212.800,147.460,191.290,-47.5280,-0.9700,-0.4700,47.5400
212.800,127.460,201.290,-47.5440,-0.9700,-0.4500,47.5560
222.800,127.460,201.290,-47.5420,-0.9900,-0.4500,47.5550
232.800,127.460,201.290,-47.5280,-0.9800,-0.4600,47.5400
242.800,127.460,201.290,-47.5140,-0.9700,-0.4700,47.5260
252.800,127.460,201.290,-47.5050,-0.9700,-0.4900,47.5170
272.800,137.460,201.290,-47.4970,-0.9800,-0.5100,47.5100
262.800,137.460,201.290,-47.5100,-0.9700,-0.5200,47.5230
252.800,137.460,201.290,-47.5210,-0.9500,-0.5300,47.5340
242.800,137.460,201.290,-47.5190,-0.9600,-0.5100,47.5320
