# COSI2 B0 scan,,,,,,
# time 2024-08-12 11:37:23.419871,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/newinit_norings_240812,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-47.5470,-0.9400,-0.4600,47.5580
242.8,227.46,191.29,-47.5490,-0.9400,-0.4800,47.5610
232.8,227.46,191.29,-47.5360,-0.9200,-0.4900,47.5470
222.8,227.46,191.29,-47.5270,-0.9300,-0.4900,47.5380
212.8,227.46,191.29,-47.5240,-0.9300,-0.5100,47.5360
202.8,217.46,191.29,-47.5370,-0.9300,-0.5200,47.5490
212.8,217.46,191.29,-47.5370,-0.9300,-0.5100,47.5490
222.8,217.46,191.29,-47.5390,-0.9300,-0.5000,47.5510
232.8,217.46,191.29,-47.5390,-0.9300,-0.4900,47.5510
242.8,217.46,191.29,-47.5460,-0.9400,-0.4800,47.5570
252.8,217.46,191.29,-47.5560,-0.9400,-0.4900,47.5680
262.8,217.46,191.29,-47.5660,-0.9600,-0.4700,47.5780
272.8,207.46,191.29,-47.5840,-0.9600,-0.4800,47.5960
262.8,207.46,191.29,-47.5820,-0.9500,-0.4800,47.5940
252.8,207.46,191.29,-47.5670,-0.9400,-0.4800,47.5790
242.8,207.46,191.29,-47.5560,-0.9400,-0.4900,47.5680
232.8,207.46,191.29,-47.5550,-0.9300,-0.5000,47.5670
222.8,207.46,191.29,-47.5450,-0.9300,-0.5000,47.5570
212.8,207.46,191.29,-47.5520,-0.9400,-0.5100,47.5640
202.8,207.46,191.29,-47.5540,-0.9400,-0.5200,47.5660
192.8,207.46,191.29,-47.5620,-0.9400,-0.5200,47.5700
192.8,197.46,191.29,-47.5740,-0.9300,-0.5200,47.5810
202.8,197.46,191.29,-47.5680,-0.9400,-0.5200,47.5820
212.8,197.46,191.29,-47.5550,-0.9300,-0.5000,47.5710
222.8,197.46,191.29,-47.5550,-0.9300,-0.5000,47.5700
232.8,197.46,191.29,-47.5530,-0.9400,-0.4900,47.5680
242.8,197.46,191.29,-47.5600,-0.9400,-0.4900,47.5670
252.8,197.46,191.29,-47.5640,-0.9400,-0.4900,47.5760
262.8,197.46,191.29,-47.5740,-0.9500,-0.5000,47.5840
272.8,197.46,191.29,-47.5820,-0.9500,-0.5000,47.5930
272.8,187.46,191.29,-47.5810,-0.9500,-0.5200,47.5930
262.8,187.46,191.29,-47.5730,-0.9400,-0.5100,47.5850
252.8,187.46,191.29,-47.5670,-0.9400,-0.4900,47.5790
242.8,187.46,191.29,-47.5590,-0.9400,-0.4900,47.5710
232.8,187.46,191.29,-47.5570,-0.9400,-0.4900,47.5690
222.8,187.46,191.29,-47.5580,-0.9300,-0.4900,47.5690
212.8,187.46,191.29,-47.5510,-0.9300,-0.4800,47.5620
202.8,187.46,191.29,-47.5680,-0.9300,-0.4900,47.5800
192.8,187.46,191.29,-47.5740,-0.9400,-0.4900,47.5860
192.8,177.46,191.29,-47.5770,-0.9400,-0.4800,47.5880
202.8,177.46,191.29,-47.5720,-0.9500,-0.4800,47.5840
212.8,177.46,191.29,-47.5600,-0.9400,-0.4800,47.5720
222.8,177.46,191.29,-47.5560,-0.9400,-0.4800,47.5670
232.8,177.46,191.29,-47.5520,-0.9400,-0.4900,47.5640
242.8,177.46,191.29,-47.5470,-0.9400,-0.4900,47.5590
252.8,177.46,191.29,-47.5500,-0.9400,-0.4900,47.5620
262.8,177.46,191.29,-47.5630,-0.9400,-0.5100,47.5750
272.8,177.46,191.29,-47.5600,-0.9400,-0.5200,47.5720
272.8,167.46,191.29,-47.5520,-0.9500,-0.5300,47.5650
262.8,167.46,191.29,-47.5490,-0.9500,-0.5100,47.5610
252.8,167.46,191.29,-47.5450,-0.9300,-0.5100,47.5570
242.8,167.46,191.29,-47.5450,-0.9400,-0.4900,47.5570
232.8,167.46,191.29,-47.5430,-0.9400,-0.4800,47.5550
222.8,167.46,191.29,-47.5500,-0.9500,-0.4700,47.5620
212.8,167.46,191.29,-47.5550,-0.9500,-0.4600,47.5670
202.8,167.46,191.29,-47.5680,-0.9500,-0.4700,47.5790
192.8,167.46,191.29,-47.5750,-0.9600,-0.4700,47.5850
202.8,157.46,191.29,-47.5670,-0.9600,-0.4500,47.5820
212.8,157.46,191.29,-47.5530,-0.9500,-0.4500,47.5660
222.8,157.46,191.29,-47.5440,-0.9600,-0.4600,47.5550
232.8,157.46,191.29,-47.5380,-0.9500,-0.4800,47.5510
242.8,157.46,191.29,-47.5330,-0.9500,-0.4700,47.5420
252.8,157.46,191.29,-47.5330,-0.9400,-0.4900,47.5440
262.8,157.46,191.29,-47.5300,-0.9400,-0.5100,47.5420
252.8,147.46,191.29,-47.5250,-0.9500,-0.5000,47.5370
242.8,147.46,191.29,-47.5230,-0.9600,-0.4900,47.5350
232.8,147.46,191.29,-47.5220,-0.9600,-0.4700,47.5340
222.8,147.46,191.29,-47.5280,-0.9700,-0.4700,47.5400
212.8,147.46,191.29,-47.5440,-0.9700,-0.4500,47.5560
212.8,127.46,201.29,-47.5420,-0.9900,-0.4500,47.5550
222.8,127.46,201.29,-47.5280,-0.9800,-0.4600,47.5400
232.8,127.46,201.29,-47.5140,-0.9700,-0.4700,47.5260
242.8,127.46,201.29,-47.5050,-0.9700,-0.4900,47.5170
252.8,127.46,201.29,-47.4970,-0.9800,-0.5100,47.5100
272.8,137.46,201.29,-47.5100,-0.9700,-0.5200,47.5230
262.8,137.46,201.29,-47.5210,-0.9500,-0.5300,47.5340
252.8,137.46,201.29,-47.5190,-0.9600,-0.5100,47.5320
242.8,137.46,201.29,-47.5160,-0.9500,-0.4900,47.5290
232.8,137.46,201.29,-47.5240,-0.9700,-0.4900,47.5360
222.8,137.46,201.29,-47.5280,-0.9700,-0.4700,47.5400
212.8,137.46,201.29,-47.5390,-0.9800,-0.4700,47.5510
