# COSI2 B0 scan,,,,,,
# time 2024-08-12 11:37:23.419871,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/newinit_norings_240812,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-47.547,-0.94,-0.46,47.558
242.8,227.46,191.29,-47.549,-0.94,-0.48,47.561
232.8,227.46,191.29,-47.536,-0.92,-0.49,47.547
222.8,227.46,191.29,-47.527,-0.93,-0.49,47.538
212.8,227.46,191.29,-47.524,-0.93,-0.51,47.536
202.8,217.46,191.29,-47.537,-0.93,-0.52,47.549
212.8,217.46,191.29,-47.537,-0.93,-0.51,47.549
222.8,217.46,191.29,-47.539,-0.93,-0.5,47.551
232.8,217.46,191.29,-47.539,-0.93,-0.49,47.551
242.8,217.46,191.29,-47.546,-0.94,-0.48,47.557
252.8,217.46,191.29,-47.556,-0.94,-0.49,47.568
262.8,217.46,191.29,-47.566,-0.96,-0.47,47.578
272.8,207.46,191.29,-47.584,-0.96,-0.48,47.596
262.8,207.46,191.29,-47.582,-0.95,-0.48,47.594
252.8,207.46,191.29,-47.567,-0.94,-0.48,47.579
242.8,207.46,191.29,-47.556,-0.94,-0.49,47.568
232.8,207.46,191.29,-47.555,-0.93,-0.5,47.567
222.8,207.46,191.29,-47.545,-0.93,-0.5,47.557
212.8,207.46,191.29,-47.552,-0.94,-0.51,47.564
202.8,207.46,191.29,-47.554,-0.94,-0.52,47.566
192.8,207.46,191.29,-47.562,-0.94,-0.52,47.57
192.8,197.46,191.29,-47.574,-0.93,-0.52,47.581
202.8,197.46,191.29,-47.568,-0.94,-0.52,47.582
212.8,197.46,191.29,-47.555,-0.93,-0.5,47.571
222.8,197.46,191.29,-47.555,-0.93,-0.5,47.57
232.8,197.46,191.29,-47.553,-0.94,-0.49,47.568
242.8,197.46,191.29,-47.56,-0.94,-0.49,47.567
252.8,197.46,191.29,-47.564,-0.94,-0.49,47.576
262.8,197.46,191.29,-47.574,-0.95,-0.5,47.584
272.8,197.46,191.29,-47.582,-0.95,-0.5,47.593
272.8,187.46,191.29,-47.581,-0.95,-0.52,47.593
262.8,187.46,191.29,-47.573,-0.94,-0.51,47.585
252.8,187.46,191.29,-47.567,-0.94,-0.49,47.579
242.8,187.46,191.29,-47.559,-0.94,-0.49,47.571
232.8,187.46,191.29,-47.557,-0.94,-0.49,47.569
222.8,187.46,191.29,-47.558,-0.93,-0.49,47.569
212.8,187.46,191.29,-47.551,-0.93,-0.48,47.562
202.8,187.46,191.29,-47.568,-0.93,-0.49,47.58
192.8,187.46,191.29,-47.574,-0.94,-0.49,47.586
192.8,177.46,191.29,-47.577,-0.94,-0.48,47.588
202.8,177.46,191.29,-47.572,-0.95,-0.48,47.584
212.8,177.46,191.29,-47.56,-0.94,-0.48,47.572
222.8,177.46,191.29,-47.556,-0.94,-0.48,47.567
232.8,177.46,191.29,-47.552,-0.94,-0.49,47.564
242.8,177.46,191.29,-47.547,-0.94,-0.49,47.559
