# COSI2 B0 scan
# time 2024-08-08 11:09:27.094607
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/not_so_coarse_ball_R120_5pts_4rings_in_R2_I6_fixed_bvals
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
184.800,235.460,205.290,-47.3660,-0.9600,-0.9300,47.3810
208.800,235.460,205.290,-47.3810,-0.9500,-0.9200,47.4040
232.800,235.460,205.290,-47.3560,-0.9500,-0.9300,47.3780
256.800,235.460,205.290,-47.3330,-0.9500,-0.9200,47.3530
280.800,235.460,205.290,-47.3250,-0.9600,-0.8900,47.3430
280.800,211.460,205.290,-47.3350,-0.9700,-0.8900,47.3530
256.800,211.460,205.290,-47.3550,-0.9800,-0.8700,47.3730
232.800,211.460,205.290,-47.3520,-0.9700,-0.9000,47.3680
208.800,211.460,205.290,-47.3460,-0.9500,-0.9000,47.3640
184.800,211.460,205.290,-47.3350,-0.9400,-0.9100,47.3530
184.800,187.460,205.290,-47.3510,-0.9500,-0.9100,47.3700
208.800,187.460,205.290,-47.3740,-0.9400,-0.9100,47.3900
232.800,187.460,205.290,-47.3730,-0.9400,-0.9000,47.3910
256.800,187.460,205.290,-47.3520,-0.9500,-0.9000,47.3700
280.800,187.460,205.290,-47.3390,-0.9500,-0.9000,47.3550
280.800,163.460,205.290,-47.3460,-0.9500,-0.9100,47.3640
256.800,163.460,205.290,-47.3500,-0.9600,-0.9100,47.3680
232.800,163.460,205.290,-47.3360,-0.9500,-0.9100,47.3540
208.800,163.460,205.290,-47.3340,-0.9500,-0.9000,47.3520
184.800,163.460,205.290,-47.3410,-0.9500,-0.9000,47.3590
184.800,139.460,205.290,-47.3520,-0.9500,-0.8900,47.3670
208.800,139.460,205.290,-47.3670,-0.9500,-0.8900,47.3880
232.800,139.460,205.290,-47.3700,-0.9500,-0.8900,47.3880
256.800,139.460,205.290,-47.3480,-0.9600,-0.8800,47.3650
280.800,139.460,205.290,-47.3270,-0.9600,-0.9000,47.3430
184.800,115.460,229.290,-47.3200,-0.9500,-0.9100,47.3380
208.800,115.460,229.290,-47.3600,-0.9900,-0.8600,47.3780
232.800,115.460,229.290,-47.3500,-0.9800,-0.8700,47.3680
256.800,115.460,229.290,-47.3300,-0.9700,-0.8900,47.3480
280.800,115.460,229.290,-47.3150,-0.9800,-0.9000,47.3340
304.800,139.460,229.290,-47.3160,-0.9600,-0.9200,47.3340
280.800,139.460,229.290,-47.3140,-0.9400,-0.9400,47.3320
256.800,139.460,229.290,-47.3400,-0.9600,-0.9300,47.3590
232.800,139.460,229.290,-47.3300,-0.9600,-0.9300,47.3490
208.800,139.460,229.290,-47.3300,-0.9600,-0.9200,47.3450
184.800,139.460,229.290,-47.3370,-0.9600,-0.9100,47.3520
160.800,139.460,229.290,-47.3520,-0.9600,-0.9000,47.3700
160.800,163.460,229.290,-47.3660,-0.9600,-0.9000,47.3850
184.800,163.460,229.290,-47.3880,-0.9500,-0.9200,47.4060
208.800,163.460,229.290,-47.3710,-0.9400,-0.9200,47.3900
232.800,163.460,229.290,-47.3660,-0.9400,-0.9200,47.3850
256.800,163.460,229.290,-47.3520,-0.9600,-0.9100,47.3710
280.800,163.460,229.290,-47.3360,-0.9500,-0.9100,47.3550
304.800,163.460,229.290,-47.3360,-0.9600,-0.9200,47.3550
304.800,187.460,229.290,-47.3400,-0.9600,-0.9300,47.3590
280.800,187.460,229.290,-47.3370,-0.9500,-0.9300,47.3540
256.800,187.460,229.290,-47.3510,-0.9700,-0.9300,47.3700
232.800,187.460,229.290,-47.3430,-0.9700,-0.9200,47.3620
208.800,187.460,229.290,-47.3400,-0.9500,-0.9200,47.3610
184.800,187.460,229.290,-47.3360,-0.9500,-0.9200,47.3540
160.800,187.460,229.290,-47.3530,-0.9400,-0.9200,47.3720
160.800,211.460,229.290,-47.3670,-0.9400,-0.9100,47.3860
184.800,211.460,229.290,-47.3820,-0.9300,-0.9100,47.4000
208.800,211.460,229.290,-47.3920,-0.9400,-0.9100,47.4110
232.800,211.460,229.290,-47.3710,-0.9400,-0.9200,47.3900
256.800,211.460,229.290,-47.3500,-0.9400,-0.9200,47.3690
280.800,211.460,229.290,-47.3420,-0.9400,-0.9200,47.3600
304.800,211.460,229.290,-47.3420,-0.9500,-0.9100,47.3580
304.800,235.460,229.290,-47.3440,-0.9700,-0.9100,47.3620
280.800,235.460,229.290,-47.3510,-0.9700,-0.9000,47.3690
256.800,235.460,229.290,-47.3500,-0.9800,-0.8800,47.3690
232.800,235.460,229.290,-47.3390,-0.9600,-0.8900,47.3560
208.800,235.460,229.290,-47.3320,-0.9500,-0.9000,47.3500
184.800,235.460,229.290,-47.3310,-0.9500,-0.9200,47.3490
160.800,235.460,229.290,-47.3470,-0.9500,-0.9300,47.3610
184.800,259.460,229.290,-47.3710,-0.9500,-0.9500,47.3960
208.800,259.460,229.290,-47.4320,-0.9400,-0.9200,47.4500
232.800,259.460,229.290,-47.3480,-0.9700,-0.9900,47.3680
256.800,259.460,229.290,-47.3180,-0.9600,-0.9500,47.3370
280.800,259.460,229.290,-47.3080,-0.9500,-0.9200,47.3270
184.800,283.460,253.290,-47.3120,-0.9500,-0.9000,47.3300
208.800,283.460,253.290,-47.3050,-0.9800,-0.9500,47.3250
232.800,283.460,253.290,-47.3120,-0.9700,-0.9500,47.3270
256.800,283.460,253.290,-47.3230,-0.9600,-0.9400,47.3360
280.800,283.460,253.290,-47.3050,-0.9500,-0.9400,47.3280
304.800,259.460,253.290,-47.3100,-0.9600,-0.9300,47.3290
280.800,259.460,253.290,-47.3040,-0.9400,-0.9300,47.3220
256.800,259.460,253.290,-47.3170,-0.9500,-0.8600,47.3360
232.800,259.460,253.290,-47.3170,-0.9500,-0.9000,47.3350
208.800,259.460,253.290,-47.3150,-0.9500,-0.9200,47.3340
184.800,259.460,253.290,-47.3160,-0.9500,-0.9300,47.3350
160.800,259.460,253.290,-47.3330,-0.9600,-0.9500,47.3520
136.800,235.460,253.290,-47.3490,-0.9500,-0.9800,47.3680
160.800,235.460,253.290,-47.4020,-0.9400,-1.0400,47.4190
184.800,235.460,253.290,-47.4830,-0.9000,-0.8900,47.4980
208.800,235.460,253.290,-47.4180,-0.9200,-0.9500,47.4370
232.800,235.460,253.290,-47.3670,-0.9500,-0.9500,47.3860
256.800,235.460,253.290,-47.3470,-0.9500,-0.9400,47.3650
280.800,235.460,253.290,-47.3380,-0.9500,-0.9300,47.3560
304.800,235.460,253.290,-47.3310,-0.9600,-0.9200,47.3500
328.800,235.460,253.290,-47.3260,-0.9600,-0.9000,47.3480
328.800,211.460,253.290,-47.3520,-0.9600,-0.8900,47.3680
304.800,211.460,253.290,-47.3830,-0.9700,-0.8900,47.4010
280.800,211.460,253.290,-47.3620,-0.9700,-0.9200,47.3810
256.800,211.460,253.290,-47.3490,-0.9700,-0.9200,47.3670
232.800,211.460,253.290,-47.3410,-0.9600,-0.9200,47.3590
208.800,211.460,253.290,-47.3370,-0.9600,-0.9200,47.3550
184.800,211.460,253.290,-47.3460,-0.9400,-0.9300,47.3650
160.800,211.460,253.290,-47.3530,-0.9300,-0.9300,47.3710
136.800,211.460,253.290,-47.3770,-0.9300,-0.9300,47.3950
136.800,187.460,253.290,-47.3890,-0.9300,-0.9200,47.4070
160.800,187.460,253.290,-47.3960,-0.9200,-0.9000,47.4100
184.800,187.460,253.290,-47.3770,-0.9200,-0.9100,47.3950
208.800,187.460,253.290,-47.3720,-0.9300,-0.9400,47.3910
232.800,187.460,253.290,-47.3670,-0.9500,-0.9300,47.3910
256.800,187.460,253.290,-47.3500,-0.9400,-0.9300,47.3690
280.800,187.460,253.290,-47.3470,-0.9500,-0.9400,47.3660
304.800,187.460,253.290,-47.3400,-0.9600,-0.9200,47.3590
328.800,187.460,253.290,-47.3410,-0.9600,-0.9100,47.3590
328.800,163.460,253.290,-47.3480,-0.9600,-0.9300,47.3670
304.800,163.460,253.290,-47.3490,-0.9600,-0.9300,47.3700
280.800,163.460,253.290,-47.3400,-0.9600,-0.9400,47.3560
256.800,163.460,253.290,-47.3490,-0.9500,-0.9500,47.3680
232.800,163.460,253.290,-47.3360,-0.9700,-0.9300,47.3550
208.800,163.460,253.290,-47.3390,-0.9600,-0.9300,47.3560
184.800,163.460,253.290,-47.3410,-0.9400,-0.9300,47.3590
160.800,163.460,253.290,-47.3520,-0.9400,-0.9400,47.3710
136.800,163.460,253.290,-47.3590,-0.9500,-0.9300,47.3810
136.800,139.460,253.290,-47.3720,-0.9500,-0.9400,47.3890
160.800,139.460,253.290,-47.3630,-0.9500,-0.9400,47.3810
184.800,139.460,253.290,-47.3990,-0.9500,-0.9900,47.4190
208.800,139.460,253.290,-47.3870,-0.9500,-0.9400,47.4100
232.800,139.460,253.290,-47.3670,-0.9600,-0.9300,47.3860
256.800,139.460,253.290,-47.3490,-0.9500,-0.9300,47.3680
280.800,139.460,253.290,-47.3340,-0.9600,-0.9300,47.3520
304.800,139.460,253.290,-47.3340,-0.9600,-0.9400,47.3530
328.800,139.460,253.290,-47.3280,-0.9500,-0.9400,47.3470
304.800,115.460,253.290,-47.3370,-0.9600,-0.9400,47.3550
280.800,115.460,253.290,-47.3520,-0.9500,-0.9300,47.3730
256.800,115.460,253.290,-47.3280,-0.9600,-0.9600,47.3480
232.800,115.460,253.290,-47.3260,-0.9500,-0.9400,47.3450
208.800,115.460,253.290,-47.3240,-0.9600,-0.9400,47.3410
184.800,115.460,253.290,-47.3310,-0.9600,-0.9200,47.3490
160.800,115.460,253.290,-47.3400,-0.9700,-0.9300,47.3590
184.800,91.460,253.290,-47.3540,-0.9800,-0.9100,47.3710
208.800,91.460,253.290,-47.3870,-0.9700,-0.8800,47.4110
232.800,91.460,253.290,-47.3250,-1.0100,-0.9400,47.3450
256.800,91.460,253.290,-47.3320,-0.9900,-0.9400,47.3520
280.800,91.460,253.290,-47.3270,-0.9700,-0.9200,47.3450
280.800,91.460,277.290,-47.3170,-0.9700,-0.9300,47.3390
256.800,91.460,277.290,-47.3170,-0.9500,-0.9200,47.3360
232.800,91.460,277.290,-47.3350,-0.9700,-0.9400,47.3540
