# COSI2 B0 scan,,,,,,
# time 2024-08-08 11:09:27.094607,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/not_so_coarse_ball_R120_5pts_4rings_in_R2_I6_fixed_bvals,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
184.8,235.46,205.29,-47.381,-0.95,-0.92,47.404
208.8,235.46,205.29,-47.356,-0.95,-0.93,47.378
232.8,235.46,205.29,-47.333,-0.95,-0.92,47.353
256.8,235.46,205.29,-47.325,-0.96,-0.89,47.343
280.8,235.46,205.29,-47.335,-0.97,-0.89,47.353
280.8,211.46,205.29,-47.355,-0.98,-0.87,47.373
256.8,211.46,205.29,-47.352,-0.97,-0.9,47.368
232.8,211.46,205.29,-47.346,-0.95,-0.9,47.364
208.8,211.46,205.29,-47.335,-0.94,-0.91,47.353
184.8,211.46,205.29,-47.351,-0.95,-0.91,47.37
184.8,187.46,205.29,-47.374,-0.94,-0.91,47.39
208.8,187.46,205.29,-47.373,-0.94,-0.9,47.391
232.8,187.46,205.29,-47.352,-0.95,-0.9,47.37
256.8,187.46,205.29,-47.339,-0.95,-0.9,47.355
280.8,187.46,205.29,-47.346,-0.95,-0.91,47.364
280.8,163.46,205.29,-47.35,-0.96,-0.91,47.368
256.8,163.46,205.29,-47.336,-0.95,-0.91,47.354
232.8,163.46,205.29,-47.334,-0.95,-0.9,47.352
208.8,163.46,205.29,-47.341,-0.95,-0.9,47.359
184.8,163.46,205.29,-47.352,-0.95,-0.89,47.367
184.8,139.46,205.29,-47.367,-0.95,-0.89,47.388
208.8,139.46,205.29,-47.37,-0.95,-0.89,47.388
232.8,139.46,205.29,-47.348,-0.96,-0.88,47.365
256.8,139.46,205.29,-47.327,-0.96,-0.9,47.343
280.8,139.46,205.29,-47.32,-0.95,-0.91,47.338
184.8,115.46,229.29,-47.36,-0.99,-0.86,47.378
208.8,115.46,229.29,-47.35,-0.98,-0.87,47.368
232.8,115.46,229.29,-47.33,-0.97,-0.89,47.348
256.8,115.46,229.29,-47.315,-0.98,-0.9,47.334
280.8,115.46,229.29,-47.316,-0.96,-0.92,47.334
304.8,139.46,229.29,-47.314,-0.94,-0.94,47.332
280.8,139.46,229.29,-47.34,-0.96,-0.93,47.359
256.8,139.46,229.29,-47.33,-0.96,-0.93,47.349
232.8,139.46,229.29,-47.33,-0.96,-0.92,47.345
208.8,139.46,229.29,-47.337,-0.96,-0.91,47.352
184.8,139.46,229.29,-47.352,-0.96,-0.9,47.37
160.8,139.46,229.29,-47.366,-0.96,-0.9,47.385
160.8,163.46,229.29,-47.388,-0.95,-0.92,47.406
184.8,163.46,229.29,-47.371,-0.94,-0.92,47.39
208.8,163.46,229.29,-47.366,-0.94,-0.92,47.385
232.8,163.46,229.29,-47.352,-0.96,-0.91,47.371
256.8,163.46,229.29,-47.336,-0.95,-0.91,47.355
280.8,163.46,229.29,-47.336,-0.96,-0.92,47.355
304.8,163.46,229.29,-47.34,-0.96,-0.93,47.359
304.8,187.46,229.29,-47.337,-0.95,-0.93,47.354
280.8,187.46,229.29,-47.351,-0.97,-0.93,47.37
256.8,187.46,229.29,-47.343,-0.97,-0.92,47.362
232.8,187.46,229.29,-47.34,-0.95,-0.92,47.361
208.8,187.46,229.29,-47.336,-0.95,-0.92,47.354
184.8,187.46,229.29,-47.353,-0.94,-0.92,47.372
160.8,187.46,229.29,-47.367,-0.94,-0.91,47.386
160.8,211.46,229.29,-47.382,-0.93,-0.91,47.4
184.8,211.46,229.29,-47.392,-0.94,-0.91,47.411
208.8,211.46,229.29,-47.371,-0.94,-0.92,47.39
232.8,211.46,229.29,-47.35,-0.94,-0.92,47.369
256.8,211.46,229.29,-47.342,-0.94,-0.92,47.36
280.8,211.46,229.29,-47.342,-0.95,-0.91,47.358
304.8,211.46,229.29,-47.344,-0.97,-0.91,47.362
304.8,235.46,229.29,-47.351,-0.97,-0.9,47.369
280.8,235.46,229.29,-47.35,-0.98,-0.88,47.369
256.8,235.46,229.29,-47.339,-0.96,-0.89,47.356
232.8,235.46,229.29,-47.332,-0.95,-0.9,47.35
208.8,235.46,229.29,-47.331,-0.95,-0.92,47.349
184.8,235.46,229.29,-47.347,-0.95,-0.93,47.361
160.8,235.46,229.29,-47.371,-0.95,-0.95,47.396
184.8,259.46,229.29,-47.432,-0.94,-0.92,47.45
208.8,259.46,229.29,-47.348,-0.97,-0.99,47.368
232.8,259.46,229.29,-47.318,-0.96,-0.95,47.337
256.8,259.46,229.29,-47.308,-0.95,-0.92,47.327
280.8,259.46,229.29,-47.312,-0.95,-0.9,47.33
184.8,283.46,253.29,-47.305,-0.98,-0.95,47.325
208.8,283.46,253.29,-47.312,-0.97,-0.95,47.327
232.8,283.46,253.29,-47.323,-0.96,-0.94,47.336
256.8,283.46,253.29,-47.305,-0.95,-0.94,47.328
280.8,283.46,253.29,-47.31,-0.96,-0.93,47.329
304.8,259.46,253.29,-47.304,-0.94,-0.93,47.322
280.8,259.46,253.29,-47.317,-0.95,-0.86,47.336
256.8,259.46,253.29,-47.317,-0.95,-0.9,47.335
232.8,259.46,253.29,-47.315,-0.95,-0.92,47.334
208.8,259.46,253.29,-47.316,-0.95,-0.93,47.335
184.8,259.46,253.29,-47.333,-0.96,-0.95,47.352
160.8,259.46,253.29,-47.349,-0.95,-0.98,47.368
136.8,235.46,253.29,-47.402,-0.94,-1.04,47.419
160.8,235.46,253.29,-47.483,-0.9,-0.89,47.498
184.8,235.46,253.29,-47.418,-0.92,-0.95,47.437
208.8,235.46,253.29,-47.367,-0.95,-0.95,47.386
232.8,235.46,253.29,-47.347,-0.95,-0.94,47.365
256.8,235.46,253.29,-47.338,-0.95,-0.93,47.356
280.8,235.46,253.29,-47.331,-0.96,-0.92,47.35
304.8,235.46,253.29,-47.326,-0.96,-0.9,47.348
328.8,235.46,253.29,-47.352,-0.96,-0.89,47.368
328.8,211.46,253.29,-47.383,-0.97,-0.89,47.401
304.8,211.46,253.29,-47.362,-0.97,-0.92,47.381
280.8,211.46,253.29,-47.349,-0.97,-0.92,47.367
