# COSI2 B0 scan
# time 2024-08-14 16:42:19.285340
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/one_magnet_in_air_R0_I3_ball_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-0.1720,0.1800,-0.0600,0.2570
242.800,227.460,191.290,-0.1670,0.1700,-0.0600,0.2460
232.800,227.460,191.290,-0.1540,0.1600,-0.0600,0.2280
222.800,227.460,191.290,-0.1460,0.1400,-0.0500,0.2110
212.800,227.460,191.290,-0.1420,0.1300,-0.0400,0.2000
202.800,217.460,191.290,-0.1250,0.1100,-0.0300,0.1710
212.800,217.460,191.290,-0.1140,0.1200,-0.0300,0.1650
222.800,217.460,191.290,-0.1070,0.1200,-0.0400,0.1630
232.800,217.460,191.290,-0.1240,0.1300,-0.0500,0.1850
242.800,217.460,191.290,-0.1290,0.1300,-0.0600,0.1950
252.800,217.460,191.290,-0.1410,0.1500,-0.0500,0.2120
262.800,217.460,191.290,-0.1550,0.1600,-0.0600,0.2340
272.800,207.460,191.290,-0.1660,0.1700,-0.0800,0.2500
262.800,207.460,191.290,-0.1710,0.1900,-0.1100,0.2730
252.800,207.460,191.290,-0.1620,0.1700,-0.0900,0.2600
242.800,207.460,191.290,-0.1470,0.1600,-0.0900,0.2400
232.800,207.460,191.290,-0.1420,0.1500,-0.0800,0.2180
222.800,207.460,191.290,-0.1280,0.1300,-0.0600,0.1960
212.800,207.460,191.290,-0.1240,0.1200,-0.0600,0.1830
202.800,207.460,191.290,-0.1180,0.1200,-0.0500,0.1730
192.800,207.460,191.290,-0.1050,0.1100,-0.0500,0.1600
192.800,197.460,191.290,-0.0960,0.1100,-0.0400,0.1490
202.800,197.460,191.290,-0.0940,0.0900,-0.0500,0.1410
212.800,197.460,191.290,-0.0950,0.1000,-0.0500,0.1460
222.800,197.460,191.290,-0.1060,0.1100,-0.0600,0.1650
232.800,197.460,191.290,-0.1100,0.1100,-0.0600,0.1680
242.800,197.460,191.290,-0.1160,0.1200,-0.0600,0.1810
252.800,197.460,191.290,-0.1280,0.1300,-0.0900,0.2030
262.800,197.460,191.290,-0.1400,0.1500,-0.0900,0.2200
272.800,197.460,191.290,-0.1430,0.1600,-0.1000,0.2380
272.800,187.460,191.290,-0.1510,0.1800,-0.1000,0.2600
262.800,187.460,191.290,-0.1400,0.1700,-0.1100,0.2510
252.800,187.460,191.290,-0.1350,0.1600,-0.1100,0.2360
242.800,187.460,191.290,-0.1340,0.1500,-0.1000,0.2210
232.800,187.460,191.290,-0.1210,0.1400,-0.0800,0.2030
222.800,187.460,191.290,-0.1160,0.1200,-0.0800,0.1830
212.800,187.460,191.290,-0.1070,0.1200,-0.0500,0.1680
202.800,187.460,191.290,-0.0940,0.1100,-0.0600,0.1580
192.800,187.460,191.290,-0.0910,0.1000,-0.0500,0.1420
192.800,177.460,191.290,-0.0850,0.1000,-0.0500,0.1400
202.800,177.460,191.290,-0.0810,0.0900,-0.0500,0.1220
212.800,177.460,191.290,-0.0880,0.0900,-0.0500,0.1350
222.800,177.460,191.290,-0.0900,0.1100,-0.0500,0.1400
232.800,177.460,191.290,-0.0920,0.1100,-0.0700,0.1580
242.800,177.460,191.290,-0.1050,0.1200,-0.0800,0.1770
252.800,177.460,191.290,-0.1060,0.1300,-0.0900,0.1870
262.800,177.460,191.290,-0.1180,0.1300,-0.0900,0.1990
272.800,177.460,191.290,-0.1180,0.1500,-0.1100,0.2210
272.800,167.460,191.290,-0.1280,0.1600,-0.1300,0.2400
262.800,167.460,191.290,-0.1120,0.1600,-0.1200,0.2300
252.800,167.460,191.290,-0.1100,0.1500,-0.1200,0.2200
242.800,167.460,191.290,-0.1090,0.1300,-0.1000,0.2040
232.800,167.460,191.290,-0.1030,0.1200,-0.0900,0.1900
222.800,167.460,191.290,-0.1000,0.1200,-0.0800,0.1720
212.800,167.460,191.290,-0.0940,0.1100,-0.0800,0.1670
202.800,167.460,191.290,-0.0880,0.1100,-0.0700,0.1510
192.800,167.460,191.290,-0.0860,0.1100,-0.0500,0.1450
202.800,157.460,191.290,-0.0770,0.0800,-0.0700,0.1310
212.800,157.460,191.290,-0.0710,0.0900,-0.0600,0.1340
222.800,157.460,191.290,-0.0770,0.1000,-0.0600,0.1380
232.800,157.460,191.290,-0.0800,0.1000,-0.0700,0.1480
242.800,157.460,191.290,-0.0890,0.1100,-0.0800,0.1610
252.800,157.460,191.290,-0.0880,0.1200,-0.0900,0.1720
262.800,157.460,191.290,-0.0930,0.1200,-0.1000,0.1840
252.800,147.460,191.290,-0.0960,0.1300,-0.1200,0.2000
242.800,147.460,191.290,-0.0860,0.1200,-0.1100,0.1930
232.800,147.460,191.290,-0.0790,0.1100,-0.0900,0.1710
222.800,147.460,191.290,-0.0800,0.1000,-0.0800,0.1610
212.800,147.460,191.290,-0.0760,0.1000,-0.0700,0.1460
212.800,127.460,201.290,-0.0740,0.1000,-0.0700,0.1390
222.800,127.460,201.290,-0.0640,0.0900,-0.0700,0.1330
232.800,127.460,201.290,-0.0640,0.0900,-0.0800,0.1350
242.800,127.460,201.290,-0.0680,0.1000,-0.0900,0.1450
252.800,127.460,201.290,-0.0640,0.0900,-0.0900,0.1450
272.800,137.460,201.290,-0.0650,0.1100,-0.1000,0.1540
262.800,137.460,201.290,-0.0760,0.1100,-0.1100,0.1680
252.800,137.460,201.290,-0.0860,0.1200,-0.1200,0.1900
242.800,137.460,201.290,-0.0820,0.1000,-0.1100,0.1750
232.800,137.460,201.290,-0.0820,0.1000,-0.0900,0.1540
222.800,137.460,201.290,-0.0780,0.1000,-0.0900,0.1520
212.800,137.460,201.290,-0.0730,0.0900,-0.0800,0.1430
202.800,137.460,201.290,-0.0720,0.0900,-0.0700,0.1360
192.800,137.460,201.290,-0.0690,0.0900,-0.0700,0.1300
182.800,147.460,201.290,-0.0690,0.0700,-0.0600,0.1160
192.800,147.460,201.290,-0.0610,0.0700,-0.0600,0.1150
202.800,147.460,201.290,-0.0680,0.0900,-0.0600,0.1210
212.800,147.460,201.290,-0.0710,0.0900,-0.0600,0.1250
222.800,147.460,201.290,-0.0720,0.0900,-0.0700,0.1350
232.800,147.460,201.290,-0.0780,0.0900,-0.0900,0.1470
242.800,147.460,201.290,-0.0850,0.1000,-0.0800,0.1570
252.800,147.460,201.290,-0.0960,0.1000,-0.1000,0.1700
262.800,147.460,201.290,-0.0960,0.1100,-0.1100,0.1780
272.800,147.460,201.290,-0.0940,0.1200,-0.1100,0.1880
282.800,147.460,201.290,-0.0910,0.1300,-0.1300,0.2050
282.800,157.460,201.290,-0.0980,0.1500,-0.1400,0.2310
272.800,157.460,201.290,-0.1070,0.1500,-0.1500,0.2360
262.800,157.460,201.290,-0.1100,0.1500,-0.1300,0.2200
252.800,157.460,201.290,-0.1050,0.1400,-0.1100,0.2180
242.800,157.460,201.290,-0.1040,0.1200,-0.1100,0.1970
232.800,157.460,201.290,-0.1000,0.1100,-0.1000,0.1850
222.800,157.460,201.290,-0.0910,0.1200,-0.0900,0.1720
