# COSI2 B0 scan,,,,,,
# time 2024-08-14 16:42:19.285340,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/one_magnet_in_air_R0_I3_ball_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-0.167,0.17,-0.06,0.246
242.8,227.46,191.29,-0.154,0.16,-0.06,0.228
232.8,227.46,191.29,-0.146,0.14,-0.05,0.211
222.8,227.46,191.29,-0.142,0.13,-0.04,0.2
212.8,227.46,191.29,-0.125,0.11,-0.03,0.171
202.8,217.46,191.29,-0.114,0.12,-0.03,0.165
212.8,217.46,191.29,-0.107,0.12,-0.04,0.163
222.8,217.46,191.29,-0.124,0.13,-0.05,0.185
232.8,217.46,191.29,-0.129,0.13,-0.06,0.195
242.8,217.46,191.29,-0.141,0.15,-0.05,0.212
252.8,217.46,191.29,-0.155,0.16,-0.06,0.234
262.8,217.46,191.29,-0.166,0.17,-0.08,0.25
272.8,207.46,191.29,-0.171,0.19,-0.11,0.273
262.8,207.46,191.29,-0.162,0.17,-0.09,0.26
252.8,207.46,191.29,-0.147,0.16,-0.09,0.24
242.8,207.46,191.29,-0.142,0.15,-0.08,0.218
232.8,207.46,191.29,-0.128,0.13,-0.06,0.196
222.8,207.46,191.29,-0.124,0.12,-0.06,0.183
212.8,207.46,191.29,-0.118,0.12,-0.05,0.173
202.8,207.46,191.29,-0.105,0.11,-0.05,0.16
192.8,207.46,191.29,-0.096,0.11,-0.04,0.149
192.8,197.46,191.29,-0.094,0.09,-0.05,0.141
202.8,197.46,191.29,-0.095,0.1,-0.05,0.146
212.8,197.46,191.29,-0.106,0.11,-0.06,0.165
222.8,197.46,191.29,-0.11,0.11,-0.06,0.168
232.8,197.46,191.29,-0.116,0.12,-0.06,0.181
242.8,197.46,191.29,-0.128,0.13,-0.09,0.203
252.8,197.46,191.29,-0.14,0.15,-0.09,0.22
262.8,197.46,191.29,-0.143,0.16,-0.1,0.238
272.8,197.46,191.29,-0.151,0.18,-0.1,0.26
272.8,187.46,191.29,-0.14,0.17,-0.11,0.251
262.8,187.46,191.29,-0.135,0.16,-0.11,0.236
252.8,187.46,191.29,-0.134,0.15,-0.1,0.221
242.8,187.46,191.29,-0.121,0.14,-0.08,0.203
232.8,187.46,191.29,-0.116,0.12,-0.08,0.183
222.8,187.46,191.29,-0.107,0.12,-0.05,0.168
212.8,187.46,191.29,-0.094,0.11,-0.06,0.158
202.8,187.46,191.29,-0.091,0.1,-0.05,0.142
192.8,187.46,191.29,-0.085,0.1,-0.05,0.14
192.8,177.46,191.29,-0.081,0.09,-0.05,0.122
202.8,177.46,191.29,-0.088,0.09,-0.05,0.135
212.8,177.46,191.29,-0.09,0.11,-0.05,0.14
222.8,177.46,191.29,-0.092,0.11,-0.07,0.158
232.8,177.46,191.29,-0.105,0.12,-0.08,0.177
242.8,177.46,191.29,-0.106,0.13,-0.09,0.187
252.8,177.46,191.29,-0.118,0.13,-0.09,0.199
262.8,177.46,191.29,-0.118,0.15,-0.11,0.221
272.8,177.46,191.29,-0.128,0.16,-0.13,0.24
272.8,167.46,191.29,-0.112,0.16,-0.12,0.23
262.8,167.46,191.29,-0.11,0.15,-0.12,0.22
252.8,167.46,191.29,-0.109,0.13,-0.1,0.204
242.8,167.46,191.29,-0.103,0.12,-0.09,0.19
232.8,167.46,191.29,-0.1,0.12,-0.08,0.172
222.8,167.46,191.29,-0.094,0.11,-0.08,0.167
212.8,167.46,191.29,-0.088,0.11,-0.07,0.151
202.8,167.46,191.29,-0.086,0.11,-0.05,0.145
192.8,167.46,191.29,-0.077,0.08,-0.07,0.131
202.8,157.46,191.29,-0.071,0.09,-0.06,0.134
212.8,157.46,191.29,-0.077,0.1,-0.06,0.138
222.8,157.46,191.29,-0.08,0.1,-0.07,0.148
232.8,157.46,191.29,-0.089,0.11,-0.08,0.161
242.8,157.46,191.29,-0.088,0.12,-0.09,0.172
252.8,157.46,191.29,-0.093,0.12,-0.1,0.184
262.8,157.46,191.29,-0.096,0.13,-0.12,0.2
252.8,147.46,191.29,-0.086,0.12,-0.11,0.193
242.8,147.46,191.29,-0.079,0.11,-0.09,0.171
232.8,147.46,191.29,-0.08,0.1,-0.08,0.161
222.8,147.46,191.29,-0.076,0.1,-0.07,0.146
212.8,147.46,191.29,-0.074,0.1,-0.07,0.139
212.8,127.46,201.29,-0.064,0.09,-0.07,0.133
222.8,127.46,201.29,-0.064,0.09,-0.08,0.135
232.8,127.46,201.29,-0.068,0.1,-0.09,0.145
242.8,127.46,201.29,-0.064,0.09,-0.09,0.145
252.8,127.46,201.29,-0.065,0.11,-0.1,0.154
272.8,137.46,201.29,-0.076,0.11,-0.11,0.168
262.8,137.46,201.29,-0.086,0.12,-0.12,0.19
252.8,137.46,201.29,-0.082,0.1,-0.11,0.175
242.8,137.46,201.29,-0.082,0.1,-0.09,0.154
232.8,137.46,201.29,-0.078,0.1,-0.09,0.152
222.8,137.46,201.29,-0.073,0.09,-0.08,0.143
212.8,137.46,201.29,-0.072,0.09,-0.07,0.136
202.8,137.46,201.29,-0.069,0.09,-0.07,0.13
192.8,137.46,201.29,-0.069,0.07,-0.06,0.116
182.8,147.46,201.29,-0.061,0.07,-0.06,0.115
192.8,147.46,201.29,-0.068,0.09,-0.06,0.121
202.8,147.46,201.29,-0.071,0.09,-0.06,0.125
212.8,147.46,201.29,-0.072,0.09,-0.07,0.135
222.8,147.46,201.29,-0.078,0.09,-0.09,0.147
232.8,147.46,201.29,-0.085,0.1,-0.08,0.157
242.8,147.46,201.29,-0.096,0.1,-0.1,0.17
252.8,147.46,201.29,-0.096,0.11,-0.11,0.178
262.8,147.46,201.29,-0.094,0.12,-0.11,0.188
272.8,147.46,201.29,-0.091,0.13,-0.13,0.205
282.8,147.46,201.29,-0.098,0.15,-0.14,0.231
282.8,157.46,201.29,-0.107,0.15,-0.15,0.236
272.8,157.46,201.29,-0.11,0.15,-0.13,0.22
262.8,157.46,201.29,-0.105,0.14,-0.11,0.218
252.8,157.46,201.29,-0.104,0.12,-0.11,0.197
242.8,157.46,201.29,-0.1,0.11,-0.1,0.185
232.8,157.46,201.29,-0.091,0.12,-0.09,0.172
222.8,157.46,201.29,-0.091,0.1,-0.07,0.152
212.8,157.46,201.29,-0.09,0.1,-0.06,0.149
202.8,157.46,201.29,-0.08,0.09,-0.06,0.133
192.8,157.46,201.29,-0.077,0.08,-0.05,0.125
182.8,157.46,201.29,-0.066,0.09,-0.05,0.122
172.8,167.46,201.29,-0.07,0.07,-0.04,0.109
182.8,167.46,201.29,-0.073,0.08,-0.04,0.119
192.8,167.46,201.29,-0.08,0.08,-0.05,0.132
202.8,167.46,201.29,-0.087,0.08,-0.06,0.136
212.8,167.46,201.29,-0.091,0.1,-0.07,0.16
222.8,167.46,201.29,-0.097,0.1,-0.07,0.159
232.8,167.46,201.29,-0.099,0.11,-0.08,0.17
242.8,167.46,201.29,-0.106,0.11,-0.1,0.182
252.8,167.46,201.29,-0.117,0.13,-0.1,0.198
262.8,167.46,201.29,-0.115,0.14,-0.11,0.21
272.8,167.46,201.29,-0.13,0.15,-0.13,0.237
282.8,167.46,201.29,-0.128,0.16,-0.14,0.251
292.8,167.46,201.29,-0.125,0.17,-0.16,0.266
292.8,177.46,201.29,-0.143,0.19,-0.16,0.291
282.8,177.46,201.29,-0.146,0.19,-0.16,0.286
272.8,177.46,201.29,-0.135,0.15,-0.14,0.249
262.8,177.46,201.29,-0.136,0.15,-0.13,0.234
252.8,177.46,201.29,-0.129,0.13,-0.1,0.207
242.8,177.46,201.29,-0.125,0.13,-0.1,0.202
232.8,177.46,201.29,-0.112,0.12,-0.08,0.192
222.8,177.46,201.29,-0.108,0.11,-0.08,0.176
212.8,177.46,201.29,-0.098,0.1,-0.07,0.159
202.8,177.46,201.29,-0.093,0.1,-0.05,0.144
192.8,177.46,201.29,-0.085,0.09,-0.05,0.131
