# COSI2 B0 scan
# time 2024-08-07 18:52:02.437847
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/overnight_ball_240807_R120_12pts_all_rings_in_4ring_easy
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.800,227.460,191.290,-47.3550,-0.9400,-0.8600,47.3700
242.800,227.460,191.290,-47.3530,-0.9400,-0.8600,47.3720
232.800,227.460,191.290,-47.3480,-0.9300,-0.8700,47.3650
222.800,227.460,191.290,-47.3380,-0.9300,-0.8800,47.3550
212.800,227.460,191.290,-47.3430,-0.9300,-0.8700,47.3590
202.800,217.460,191.290,-47.3420,-0.9300,-0.8900,47.3570
212.800,217.460,191.290,-47.3460,-0.9300,-0.8900,47.3630
222.800,217.460,191.290,-47.3480,-0.9300,-0.8800,47.3720
232.800,217.460,191.290,-47.3410,-0.9300,-0.8800,47.3620
242.800,217.460,191.290,-47.3430,-0.9100,-0.8700,47.3630
252.800,217.460,191.290,-47.3520,-0.9300,-0.8700,47.3650
262.800,217.460,191.290,-47.3580,-0.9300,-0.8700,47.3730
272.800,207.460,191.290,-47.3560,-0.9300,-0.8800,47.3760
262.800,207.460,191.290,-47.3690,-0.9400,-0.8700,47.3830
252.800,207.460,191.290,-47.3660,-0.9400,-0.8800,47.3840
242.800,207.460,191.290,-47.3580,-0.9300,-0.8800,47.3770
232.800,207.460,191.290,-47.3500,-0.9200,-0.8700,47.3680
222.800,207.460,191.290,-47.3530,-0.9300,-0.8800,47.3710
212.800,207.460,191.290,-47.3520,-0.9200,-0.8700,47.3680
202.800,207.460,191.290,-47.3490,-0.9300,-0.8900,47.3660
192.800,207.460,191.290,-47.3580,-0.9200,-0.8800,47.3750
192.800,197.460,191.290,-47.3670,-0.9300,-0.8900,47.3840
202.800,197.460,191.290,-47.3760,-0.9200,-0.8900,47.3930
212.800,197.460,191.290,-47.3670,-0.9300,-0.8800,47.3840
222.800,197.460,191.290,-47.3550,-0.9200,-0.8800,47.3720
232.800,197.460,191.290,-47.3460,-0.9300,-0.8800,47.3640
242.800,197.460,191.290,-47.3470,-0.9300,-0.8900,47.3640
252.800,197.460,191.290,-47.3500,-0.9200,-0.8700,47.3670
262.800,197.460,191.290,-47.3490,-0.9200,-0.8700,47.3660
272.800,197.460,191.290,-47.3570,-0.9300,-0.8800,47.3740
272.800,187.460,191.290,-47.3700,-0.9400,-0.8900,47.3880
262.800,187.460,191.290,-47.3670,-0.9400,-0.8900,47.3810
252.800,187.460,191.290,-47.3550,-0.9400,-0.8900,47.3730
242.800,187.460,191.290,-47.3510,-0.9300,-0.8900,47.3710
232.800,187.460,191.290,-47.3510,-0.9200,-0.8800,47.3690
222.800,187.460,191.290,-47.3520,-0.9100,-0.8700,47.3690
212.800,187.460,191.290,-47.3540,-0.9300,-0.8700,47.3690
202.800,187.460,191.290,-47.3550,-0.9200,-0.8700,47.3720
192.800,187.460,191.290,-47.3660,-0.9100,-0.8700,47.3830
192.800,177.460,191.290,-47.3790,-0.9200,-0.8700,47.3960
202.800,177.460,191.290,-47.3770,-0.9200,-0.8600,47.3940
212.800,177.460,191.290,-47.3720,-0.9200,-0.8700,47.3880
222.800,177.460,191.290,-47.3590,-0.9200,-0.8700,47.3760
232.800,177.460,191.290,-47.3480,-0.9200,-0.8600,47.3650
242.800,177.460,191.290,-47.3430,-0.9300,-0.8700,47.3600
252.800,177.460,191.290,-47.3480,-0.9300,-0.8700,47.3650
262.800,177.460,191.290,-47.3470,-0.9300,-0.8700,47.3640
272.800,177.460,191.290,-47.3490,-0.9100,-0.8900,47.3660
272.800,167.460,191.290,-47.3560,-0.9200,-0.8900,47.3730
262.800,167.460,191.290,-47.3510,-0.9300,-0.8900,47.3680
252.800,167.460,191.290,-47.3490,-0.9200,-0.8800,47.3660
242.800,167.460,191.290,-47.3440,-0.9200,-0.8700,47.3610
232.800,167.460,191.290,-47.3440,-0.9200,-0.8600,47.3620
222.800,167.460,191.290,-47.3400,-0.9200,-0.8600,47.3570
212.800,167.460,191.290,-47.3440,-0.9200,-0.8600,47.3630
202.800,167.460,191.290,-47.3520,-0.9300,-0.8500,47.3660
192.800,167.460,191.290,-47.3610,-0.9200,-0.8600,47.3720
202.800,157.460,191.290,-47.3720,-0.9400,-0.8500,47.3870
212.800,157.460,191.290,-47.3630,-0.9300,-0.8600,47.3800
222.800,157.460,191.290,-47.3540,-0.9300,-0.8600,47.3710
232.800,157.460,191.290,-47.3470,-0.9300,-0.8600,47.3640
242.800,157.460,191.290,-47.3390,-0.9400,-0.8600,47.3570
252.800,157.460,191.290,-47.3320,-0.9300,-0.8600,47.3490
262.800,157.460,191.290,-47.3360,-0.9300,-0.8600,47.3530
252.800,147.460,191.290,-47.3320,-0.9200,-0.8700,47.3490
242.800,147.460,191.290,-47.3350,-0.9200,-0.8700,47.3510
232.800,147.460,191.290,-47.3280,-0.9200,-0.8700,47.3450
222.800,147.460,191.290,-47.3280,-0.9300,-0.8600,47.3450
212.800,147.460,191.290,-47.3390,-0.9400,-0.8600,47.3560
212.800,127.460,201.290,-47.3440,-0.9300,-0.8600,47.3610
222.800,127.460,201.290,-47.3490,-0.9400,-0.8400,47.3660
232.800,127.460,201.290,-47.3480,-0.9400,-0.8400,47.3650
242.800,127.460,201.290,-47.3320,-0.9500,-0.8600,47.3490
252.800,127.460,201.290,-47.3250,-0.9600,-0.8600,47.3430
272.800,137.460,201.290,-47.3240,-0.9500,-0.8700,47.3380
