# COSI2 B0 scan,,,,,,
# time 2024-08-07 18:52:02.437847,,,,,,
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/overnight_ball_240807_R120_12pts_all_rings_in_4ring_easy,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.8,227.46,191.29,-47.353,-0.94,-0.86,47.372
242.8,227.46,191.29,-47.348,-0.93,-0.87,47.365
232.8,227.46,191.29,-47.338,-0.93,-0.88,47.355
222.8,227.46,191.29,-47.343,-0.93,-0.87,47.359
212.8,227.46,191.29,-47.342,-0.93,-0.89,47.357
202.8,217.46,191.29,-47.346,-0.93,-0.89,47.363
212.8,217.46,191.29,-47.348,-0.93,-0.88,47.372
222.8,217.46,191.29,-47.341,-0.93,-0.88,47.362
232.8,217.46,191.29,-47.343,-0.91,-0.87,47.363
242.8,217.46,191.29,-47.352,-0.93,-0.87,47.365
252.8,217.46,191.29,-47.358,-0.93,-0.87,47.373
262.8,217.46,191.29,-47.356,-0.93,-0.88,47.376
272.8,207.46,191.29,-47.369,-0.94,-0.87,47.383
262.8,207.46,191.29,-47.366,-0.94,-0.88,47.384
252.8,207.46,191.29,-47.358,-0.93,-0.88,47.377
242.8,207.46,191.29,-47.35,-0.92,-0.87,47.368
232.8,207.46,191.29,-47.353,-0.93,-0.88,47.371
222.8,207.46,191.29,-47.352,-0.92,-0.87,47.368
212.8,207.46,191.29,-47.349,-0.93,-0.89,47.366
202.8,207.46,191.29,-47.358,-0.92,-0.88,47.375
192.8,207.46,191.29,-47.367,-0.93,-0.89,47.384
192.8,197.46,191.29,-47.376,-0.92,-0.89,47.393
202.8,197.46,191.29,-47.367,-0.93,-0.88,47.384
212.8,197.46,191.29,-47.355,-0.92,-0.88,47.372
222.8,197.46,191.29,-47.346,-0.93,-0.88,47.364
232.8,197.46,191.29,-47.347,-0.93,-0.89,47.364
242.8,197.46,191.29,-47.35,-0.92,-0.87,47.367
252.8,197.46,191.29,-47.349,-0.92,-0.87,47.366
262.8,197.46,191.29,-47.357,-0.93,-0.88,47.374
272.8,197.46,191.29,-47.37,-0.94,-0.89,47.388
272.8,187.46,191.29,-47.367,-0.94,-0.89,47.381
262.8,187.46,191.29,-47.355,-0.94,-0.89,47.373
252.8,187.46,191.29,-47.351,-0.93,-0.89,47.371
242.8,187.46,191.29,-47.351,-0.92,-0.88,47.369
232.8,187.46,191.29,-47.352,-0.91,-0.87,47.369
222.8,187.46,191.29,-47.354,-0.93,-0.87,47.369
212.8,187.46,191.29,-47.355,-0.92,-0.87,47.372
202.8,187.46,191.29,-47.366,-0.91,-0.87,47.383
192.8,187.46,191.29,-47.379,-0.92,-0.87,47.396
192.8,177.46,191.29,-47.377,-0.92,-0.86,47.394
202.8,177.46,191.29,-47.372,-0.92,-0.87,47.388
212.8,177.46,191.29,-47.359,-0.92,-0.87,47.376
222.8,177.46,191.29,-47.348,-0.92,-0.86,47.365
232.8,177.46,191.29,-47.343,-0.93,-0.87,47.36
242.8,177.46,191.29,-47.348,-0.93,-0.87,47.365
252.8,177.46,191.29,-47.347,-0.93,-0.87,47.364
262.8,177.46,191.29,-47.349,-0.91,-0.89,47.366
272.8,177.46,191.29,-47.356,-0.92,-0.89,47.373
272.8,167.46,191.29,-47.351,-0.93,-0.89,47.368
262.8,167.46,191.29,-47.349,-0.92,-0.88,47.366
252.8,167.46,191.29,-47.344,-0.92,-0.87,47.361
242.8,167.46,191.29,-47.344,-0.92,-0.86,47.362
232.8,167.46,191.29,-47.34,-0.92,-0.86,47.357
222.8,167.46,191.29,-47.344,-0.92,-0.86,47.363
212.8,167.46,191.29,-47.352,-0.93,-0.85,47.366
202.8,167.46,191.29,-47.361,-0.92,-0.86,47.372
192.8,167.46,191.29,-47.372,-0.94,-0.85,47.387
202.8,157.46,191.29,-47.363,-0.93,-0.86,47.38
212.8,157.46,191.29,-47.354,-0.93,-0.86,47.371
222.8,157.46,191.29,-47.347,-0.93,-0.86,47.364
232.8,157.46,191.29,-47.339,-0.94,-0.86,47.357
242.8,157.46,191.29,-47.332,-0.93,-0.86,47.349
252.8,157.46,191.29,-47.336,-0.93,-0.86,47.353
262.8,157.46,191.29,-47.332,-0.92,-0.87,47.349
252.8,147.46,191.29,-47.335,-0.92,-0.87,47.351
242.8,147.46,191.29,-47.328,-0.92,-0.87,47.345
232.8,147.46,191.29,-47.328,-0.93,-0.86,47.345
222.8,147.46,191.29,-47.339,-0.94,-0.86,47.356
212.8,147.46,191.29,-47.344,-0.93,-0.86,47.361
212.8,127.46,201.29,-47.349,-0.94,-0.84,47.366
222.8,127.46,201.29,-47.348,-0.94,-0.84,47.365
232.8,127.46,201.29,-47.332,-0.95,-0.86,47.349
242.8,127.46,201.29,-47.325,-0.96,-0.86,47.343
252.8,127.46,201.29,-47.324,-0.95,-0.87,47.338
272.8,137.46,201.29,-47.329,-0.94,-0.89,47.346
262.8,137.46,201.29,-47.329,-0.94,-0.88,47.343
252.8,137.46,201.29,-47.328,-0.94,-0.88,47.344
242.8,137.46,201.29,-47.332,-0.94,-0.87,47.35
232.8,137.46,201.29,-47.331,-0.94,-0.86,47.349
222.8,137.46,201.29,-47.337,-0.94,-0.85,47.36
212.8,137.46,201.29,-47.349,-0.93,-0.86,47.362
202.8,137.46,201.29,-47.355,-0.94,-0.86,47.372
192.8,137.46,201.29,-47.366,-0.92,-0.85,47.383
182.8,147.46,201.29,-47.379,-0.92,-0.87,47.396
192.8,147.46,201.29,-47.375,-0.93,-0.86,47.392
202.8,147.46,201.29,-47.359,-0.94,-0.86,47.376
212.8,147.46,201.29,-47.349,-0.94,-0.86,47.366
222.8,147.46,201.29,-47.347,-0.94,-0.86,47.364
232.8,147.46,201.29,-47.335,-0.94,-0.87,47.352
242.8,147.46,201.29,-47.335,-0.94,-0.87,47.352
252.8,147.46,201.29,-47.338,-0.93,-0.87,47.355
262.8,147.46,201.29,-47.33,-0.94,-0.88,47.348
272.8,147.46,201.29,-47.334,-0.93,-0.88,47.352
282.8,147.46,201.29,-47.333,-0.94,-0.88,47.35
282.8,157.46,201.29,-47.337,-0.93,-0.9,47.355
272.8,157.46,201.29,-47.336,-0.93,-0.89,47.359
262.8,157.46,201.29,-47.331,-0.93,-0.88,47.351
252.8,157.46,201.29,-47.341,-0.93,-0.88,47.362
242.8,157.46,201.29,-47.337,-0.94,-0.87,47.354
232.8,157.46,201.29,-47.341,-0.94,-0.87,47.361
222.8,157.46,201.29,-47.344,-0.94,-0.86,47.361
212.8,157.46,201.29,-47.35,-0.94,-0.86,47.366
202.8,157.46,201.29,-47.356,-0.93,-0.87,47.374
192.8,157.46,201.29,-47.361,-0.94,-0.87,47.378
182.8,157.46,201.29,-47.368,-0.92,-0.86,47.386
172.8,167.46,201.29,-47.375,-0.93,-0.87,47.393
182.8,167.46,201.29,-47.377,-0.93,-0.86,47.396
192.8,167.46,201.29,-47.372,-0.92,-0.86,47.39
202.8,167.46,201.29,-47.359,-0.93,-0.88,47.381
212.8,167.46,201.29,-47.357,-0.93,-0.87,47.378
222.8,167.46,201.29,-47.348,-0.93,-0.86,47.369
232.8,167.46,201.29,-47.345,-0.93,-0.87,47.363
242.8,167.46,201.29,-47.34,-0.93,-0.87,47.358
252.8,167.46,201.29,-47.347,-0.93,-0.88,47.36
262.8,167.46,201.29,-47.342,-0.94,-0.89,47.361
272.8,167.46,201.29,-47.343,-0.93,-0.88,47.363
282.8,167.46,201.29,-47.341,-0.93,-0.89,47.361
292.8,167.46,201.29,-47.344,-0.94,-0.91,47.362
292.8,177.46,201.29,-47.344,-0.94,-0.91,47.362
282.8,177.46,201.29,-47.35,-0.94,-0.9,47.368
272.8,177.46,201.29,-47.351,-0.93,-0.89,47.368
262.8,177.46,201.29,-47.348,-0.94,-0.89,47.366
252.8,177.46,201.29,-47.345,-0.94,-0.88,47.362
242.8,177.46,201.29,-47.342,-0.93,-0.87,47.36
232.8,177.46,201.29,-47.34,-0.93,-0.88,47.357
222.8,177.46,201.29,-47.355,-0.93,-0.88,47.372
212.8,177.46,201.29,-47.352,-0.92,-0.87,47.368
202.8,177.46,201.29,-47.363,-0.93,-0.87,47.38
192.8,177.46,201.29,-47.37,-0.92,-0.87,47.387
182.8,177.46,201.29,-47.379,-0.92,-0.87,47.396
172.8,177.46,201.29,-47.383,-0.91,-0.86,47.399
172.8,187.46,201.29,-47.391,-0.91,-0.88,47.408
182.8,187.46,201.29,-47.387,-0.91,-0.88,47.404
192.8,187.46,201.29,-47.378,-0.92,-0.88,47.395
202.8,187.46,201.29,-47.365,-0.92,-0.88,47.383
212.8,187.46,201.29,-47.36,-0.93,-0.87,47.376
