# COSI2 B0 scan
# time 2024-08-01 15:30:44.784937
# MAGNET CENTER IN LAB: x 233.520 mm, y 269.450 mm, z 300.870 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/shell_R120_40pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
240.640,269.450,420.660,-47.1710,-0.8600,0.2300,47.1790
240.550,270.560,420.660,-47.1630,-0.8600,0.2300,47.1710
240.290,271.650,420.660,-47.1730,-0.8500,0.2200,47.1810
239.860,272.680,420.660,-47.1630,-0.8600,0.2300,47.1710
239.280,273.640,420.660,-47.1490,-0.8700,0.2300,47.1650
238.560,274.490,420.660,-47.1470,-0.8700,0.2300,47.1560
237.710,275.210,420.660,-47.1450,-0.8800,0.2300,47.1540
236.750,275.790,420.660,-47.1340,-0.8800,0.2300,47.1470
235.720,276.220,420.660,-47.1350,-0.8800,0.2300,47.1440
234.630,276.480,420.660,-47.1280,-0.8800,0.2300,47.1360
233.520,276.570,420.660,-47.1210,-0.8800,0.2200,47.1320
232.410,276.480,420.660,-47.1260,-0.8900,0.2100,47.1310
231.320,276.220,420.660,-47.1220,-0.8800,0.2100,47.1300
230.290,275.790,420.660,-47.1230,-0.8900,0.2000,47.1320
229.330,275.210,420.660,-47.1260,-0.8900,0.1900,47.1350
228.480,274.490,420.660,-47.1240,-0.8900,0.1800,47.1320
227.760,273.640,420.660,-47.1310,-0.8900,0.1800,47.1390
227.180,272.680,420.660,-47.1350,-0.8900,0.1800,47.1440
226.750,271.650,420.660,-47.1450,-0.8900,0.1700,47.1530
226.490,270.560,420.660,-47.1370,-0.8900,0.1800,47.1470
226.400,269.450,420.660,-47.1480,-0.8900,0.1800,47.1570
226.490,268.340,420.660,-47.1470,-0.8900,0.1600,47.1550
226.750,267.250,420.660,-47.1600,-0.8900,0.1700,47.1670
227.180,266.220,420.660,-47.1650,-0.8900,0.1800,47.1740
227.760,265.260,420.660,-47.1620,-0.8800,0.1600,47.1710
228.480,264.410,420.660,-47.1690,-0.8800,0.1700,47.1750
229.330,263.690,420.660,-47.1730,-0.8800,0.1800,47.1800
230.290,263.110,420.660,-47.1780,-0.8800,0.1800,47.1860
231.320,262.680,420.660,-47.1790,-0.8700,0.1800,47.1870
232.410,262.420,420.660,-47.1810,-0.8700,0.1800,47.1870
