# COSI2 B0 scan
# time 2024-08-07 15:15:00.737956
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/sphere_R0_R1_R2_new_R3_in
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
260.030,187.460,418.160,-47.3860,-0.9200,0.5600,47.3980
254.830,203.470,418.160,-47.4010,-0.9100,0.5500,47.4130
241.220,213.360,418.160,-47.3980,-0.9000,0.5700,47.4040
224.380,213.360,418.160,-47.3880,-0.9000,0.5900,47.4050
210.770,203.470,418.160,-47.3690,-0.9000,0.5900,47.3810
205.570,187.460,418.160,-47.3490,-0.9000,0.5800,47.3630
210.770,171.450,418.160,-47.3310,-0.9100,0.5500,47.3420
224.380,161.560,418.160,-47.3450,-0.9300,0.5400,47.3560
241.220,161.560,418.160,-47.3450,-0.9600,0.5300,47.3550
254.830,171.450,418.160,-47.3630,-0.9700,0.5300,47.3730
293.000,187.460,405.100,-47.3790,-0.9600,0.5200,47.3890
281.500,222.840,405.100,-47.3890,-0.9500,0.5300,47.4040
251.400,244.710,405.100,-47.4000,-0.9200,0.5800,47.4130
214.200,244.710,405.100,-47.3970,-0.8900,0.6500,47.4110
184.100,222.840,405.100,-47.3600,-0.8900,0.7000,47.3740
172.600,187.460,405.100,-47.3380,-0.9100,0.6600,47.3510
184.100,152.080,405.100,-47.3250,-0.8600,0.6400,47.3410
214.200,130.210,405.100,-47.3090,-0.8700,0.5600,47.3210
251.400,130.210,405.100,-47.3240,-0.9200,0.5500,47.3370
281.500,152.080,405.100,-47.3440,-1.0000,0.5700,47.3580
320.850,187.460,382.820,-47.3670,-1.0100,0.5600,47.3820
304.030,239.220,382.820,-47.4100,-0.9600,0.6400,47.4230
260.010,271.200,382.820,-47.4210,-0.9100,0.7300,47.4340
205.590,271.200,382.820,-47.2970,-0.9900,0.7700,47.3140
161.570,239.220,382.820,-47.3040,-0.9100,0.6700,47.3150
144.750,187.460,382.820,-47.4030,-0.8900,0.6500,47.4160
161.570,135.700,382.820,-47.3800,-0.8200,0.5900,47.3940
205.590,103.720,382.820,-47.3820,-0.9100,0.5900,47.3910
