# COSI2 B0 scan
# time 2024-08-07 15:56:40.457441
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/sphere_R0_R1_R2_new_R3_out
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
260.030,187.460,418.160,-47.4390,-0.9300,1.4800,47.4710
254.830,203.470,418.160,-47.4370,-0.9300,1.4800,47.4690
241.220,213.360,418.160,-47.4290,-0.9200,1.5100,47.4620
224.380,213.360,418.160,-47.4210,-0.9000,1.5200,47.4540
210.770,203.470,418.160,-47.4030,-0.9000,1.5200,47.4400
205.570,187.460,418.160,-47.3860,-0.9100,1.5000,47.4200
210.770,171.450,418.160,-47.3770,-0.9300,1.4700,47.4100
224.380,161.560,418.160,-47.3890,-0.9600,1.4500,47.4200
241.220,161.560,418.160,-47.4090,-0.9800,1.4500,47.4360
254.830,171.450,418.160,-47.4150,-1.0000,1.4400,47.4450
293.000,187.460,405.100,-47.4300,-0.9900,1.4500,47.4590
281.500,222.840,405.100,-47.4330,-0.9700,1.4600,47.4650
251.400,244.710,405.100,-47.4380,-0.9400,1.5400,47.4700
214.200,244.710,405.100,-47.4140,-0.9200,1.6000,47.4500
184.100,222.840,405.100,-47.3800,-0.9000,1.6500,47.4170
172.600,187.460,405.100,-47.3500,-0.9100,1.6000,47.3840
184.100,152.080,405.100,-47.3540,-0.8800,1.5300,47.3870
214.200,130.210,405.100,-47.3540,-0.9100,1.4600,47.3870
251.400,130.210,405.100,-47.3880,-0.9700,1.4500,47.4200
281.500,152.080,405.100,-47.4150,-1.0300,1.4700,47.4490
320.850,187.460,382.820,-47.4400,-1.0400,1.4800,47.4730
304.030,239.220,382.820,-47.4560,-0.9800,1.6100,47.4930
260.010,271.200,382.820,-47.4480,-0.9200,1.6600,47.4860
205.590,271.200,382.820,-47.2910,-1.0100,1.7200,47.3330
161.570,239.220,382.820,-47.3000,-0.9300,1.6000,47.3370
144.750,187.460,382.820,-47.3930,-0.8900,1.5400,47.4260
161.570,135.700,382.820,-47.4080,-0.8400,1.4700,47.4380
205.590,103.720,382.820,-47.4460,-0.9600,1.4700,47.4790
260.010,103.720,382.820,-47.4060,-1.0200,1.5300,47.4420
304.030,135.700,382.820,-47.4340,-1.0700,1.4800,47.4700
340.940,187.460,353.300,-47.5270,-1.0200,1.6200,47.5650
320.290,251.030,353.300,-47.4770,-1.0000,1.6500,47.5170
266.220,290.310,353.300,-47.4940,-0.9600,1.7800,47.5370
199.380,290.310,353.300,-47.3000,-1.0600,1.6200,47.3390
145.310,251.030,353.300,-47.3350,-0.9700,1.6200,47.3720
124.660,187.460,353.300,-47.4300,-0.9200,1.5200,47.4630
145.310,123.890,353.300,-47.4690,-0.8800,1.4900,47.5010
199.380,84.610,353.300,-47.5070,-0.9500,1.5300,47.5410
266.220,84.610,353.300,-47.4470,-0.9900,1.5400,47.4820
320.290,123.890,353.300,-47.4400,-1.0600,1.5900,47.4790
351.460,187.460,319.150,-47.6080,-0.9500,1.6100,47.6450
328.800,257.210,319.150,-47.5150,-1.0000,1.6400,47.5520
269.470,300.310,319.150,-47.5200,-1.0200,1.8600,47.5670
196.130,300.310,319.150,-47.3830,-1.0300,1.6300,47.4230
136.800,257.210,319.150,-47.3490,-1.0100,1.5500,47.3850
114.140,187.460,319.150,-47.4290,-0.9500,1.4900,47.4620
136.800,117.710,319.150,-47.4670,-0.9500,1.5200,47.5000
196.130,74.610,319.150,-47.5250,-0.9800,1.5600,47.5610
269.470,74.610,319.150,-47.4740,-1.0100,1.5900,47.5120
328.800,117.710,319.150,-47.5000,-1.0100,1.6200,47.5380
351.460,187.460,283.430,-47.6040,-0.9500,1.6000,47.6360
328.800,257.210,283.430,-47.5100,-0.9700,1.6500,47.5500
269.470,300.310,283.430,-47.5360,-1.0400,1.8300,47.5850
196.130,300.310,283.430,-47.4010,-1.0400,1.6100,47.4430
136.800,257.210,283.430,-47.3500,-0.9900,1.5300,47.3860
114.140,187.460,283.430,-47.4310,-0.9700,1.5100,47.4640
136.800,117.710,283.430,-47.4660,-0.9700,1.5600,47.5020
196.130,74.610,283.430,-47.5190,-1.0000,1.5800,47.5560
269.470,74.610,283.430,-47.4640,-1.0100,1.6100,47.5020
328.800,117.710,283.430,-47.4940,-1.0100,1.6400,47.5330
340.940,187.460,249.280,-47.5870,-1.0000,1.6300,47.6260
320.290,251.030,249.280,-47.4530,-0.9900,1.6600,47.4920
266.220,290.310,249.280,-47.5180,-1.0300,1.7300,47.5610
199.380,290.310,249.280,-47.3360,-0.9700,1.5800,47.3730
145.310,251.030,249.280,-47.3520,-0.9800,1.5900,47.3880
