# COSI2 B0 scan
# time 2024-08-07 11:56:17.247810
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/sphere_R2_I7_I8_new
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
260.030,187.460,418.160,-47.3950,-0.9000,0.0600,47.3990
254.830,203.470,418.160,-47.4000,-0.9000,0.0600,47.4090
241.220,213.360,418.160,-47.3940,-0.9000,0.0800,47.4090
224.380,213.360,418.160,-47.3810,-0.9000,0.1000,47.3920
210.770,203.470,418.160,-47.3680,-0.8900,0.1000,47.3800
205.570,187.460,418.160,-47.3510,-0.8900,0.0900,47.3590
210.770,171.450,418.160,-47.3330,-0.8900,0.0700,47.3450
224.380,161.560,418.160,-47.3400,-0.9300,0.0400,47.3480
241.220,161.560,418.160,-47.3470,-0.9500,0.0500,47.3550
254.830,171.450,418.160,-47.3660,-0.9600,0.0300,47.3730
293.000,187.460,405.100,-47.3730,-0.9500,0.0400,47.3820
281.500,222.840,405.100,-47.3880,-0.9200,0.0500,47.3950
251.400,244.710,405.100,-47.3970,-0.9100,0.0900,47.4080
214.200,244.710,405.100,-47.3940,-0.8700,0.1600,47.4000
184.100,222.840,405.100,-47.3640,-0.8800,0.2000,47.3720
172.600,187.460,405.100,-47.3390,-0.8900,0.1600,47.3480
184.100,152.080,405.100,-47.3290,-0.8300,0.1500,47.3390
214.200,130.210,405.100,-47.3210,-0.8600,0.0800,47.3290
251.400,130.210,405.100,-47.3250,-0.9200,0.0600,47.3340
281.500,152.080,405.100,-47.3520,-0.9900,0.0700,47.3600
320.850,187.460,382.820,-47.3730,-0.9900,0.0700,47.3840
304.030,239.220,382.820,-47.4000,-0.9500,0.1400,47.4100
260.010,271.200,382.820,-47.4100,-0.9000,0.2300,47.4190
205.590,271.200,382.820,-47.3000,-0.9800,0.2700,47.3100
161.570,239.220,382.820,-47.3070,-0.9000,0.1700,47.3160
144.750,187.460,382.820,-47.4170,-0.8600,0.1700,47.4250
161.570,135.700,382.820,-47.3920,-0.8000,0.0900,47.3990
