# COSI2 B0 scan
# time 2024-08-07 11:37:39.634089
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/sphere_R2_I7_new
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
260.030,187.460,418.160,-47.3970,-0.9100,0.0500,47.4060
254.830,203.470,418.160,-47.3940,-0.9200,0.0500,47.4030
241.220,213.360,418.160,-47.3960,-0.9000,0.0700,47.4050
224.380,213.360,418.160,-47.3840,-0.8900,0.0900,47.3920
210.770,203.470,418.160,-47.3630,-0.8900,0.1000,47.3720
205.570,187.460,418.160,-47.3460,-0.8900,0.0800,47.3550
210.770,171.450,418.160,-47.3370,-0.9000,0.0500,47.3460
224.380,161.560,418.160,-47.3400,-0.9400,0.0400,47.3500
241.220,161.560,418.160,-47.3500,-0.9400,0.0400,47.3590
254.830,171.450,418.160,-47.3600,-0.9600,0.0300,47.3700
293.000,187.460,405.100,-47.3770,-0.9600,0.0200,47.3860
281.500,222.840,405.100,-47.3950,-0.9400,0.0500,47.4040
251.400,244.710,405.100,-47.3980,-0.9100,0.0800,47.4070
214.200,244.710,405.100,-47.3970,-0.8800,0.1600,47.4060
184.100,222.840,405.100,-47.3590,-0.8900,0.2000,47.3690
172.600,187.460,405.100,-47.3420,-0.9000,0.1700,47.3510
184.100,152.080,405.100,-47.3280,-0.8300,0.1400,47.3380
214.200,130.210,405.100,-47.3160,-0.8600,0.0700,47.3240
251.400,130.210,405.100,-47.3180,-0.9200,0.0600,47.3270
281.500,152.080,405.100,-47.3500,-0.9900,0.0600,47.3600
320.850,187.460,382.820,-47.3660,-0.9900,0.0600,47.3740
304.030,239.220,382.820,-47.4080,-0.9500,0.1300,47.4170
260.010,271.200,382.820,-47.4140,-0.9100,0.2400,47.4250
