# COSI2 B0 scan
# time 2024-08-05 09:57:19.206011
# MAGNET CENTER IN LAB: x 233.520 mm, y 269.450 mm, z 300.870 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/sphere_after_weekend_2rings_inserted_2and3_old
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
250.950,269.450,419.600,0.0000,0.0000,0.0000,0.0000
249.620,276.120,419.600,0.0000,0.0000,0.0000,0.0000
245.840,281.770,419.600,0.0000,0.0000,0.0000,0.0000
240.190,285.550,419.600,0.0000,0.0000,0.0000,0.0000
233.520,286.880,419.600,0.0000,0.0000,0.0000,0.0000
226.850,285.550,419.600,0.0000,0.0000,0.0000,0.0000
221.200,281.770,419.600,0.0000,0.0000,0.0000,0.0000
217.420,276.120,419.600,0.0000,0.0000,0.0000,0.0000
216.090,269.450,419.600,0.0000,0.0000,0.0000,0.0000
217.420,262.780,419.600,0.0000,0.0000,0.0000,0.0000
221.200,257.130,419.600,0.0000,0.0000,0.0000,0.0000
226.850,253.350,419.600,0.0000,0.0000,0.0000,0.0000
233.520,252.020,419.600,0.0000,0.0000,0.0000,0.0000
240.190,253.350,419.600,0.0000,0.0000,0.0000,0.0000
245.840,257.130,419.600,0.0000,0.0000,0.0000,0.0000
249.620,262.780,419.600,0.0000,0.0000,0.0000,0.0000
272.920,269.450,414.220,0.0000,0.0000,0.0000,0.0000
269.920,284.530,414.220,0.0000,0.0000,0.0000,0.0000
261.380,297.310,414.220,0.0000,0.0000,0.0000,0.0000
248.600,305.850,414.220,0.0000,0.0000,0.0000,0.0000
233.520,308.850,414.220,0.0000,0.0000,0.0000,0.0000
218.440,305.850,414.220,0.0000,0.0000,0.0000,0.0000
205.660,297.310,414.220,0.0000,0.0000,0.0000,0.0000
197.120,284.530,414.220,0.0000,0.0000,0.0000,0.0000
194.120,269.450,414.220,0.0000,0.0000,0.0000,0.0000
197.120,254.370,414.220,0.0000,0.0000,0.0000,0.0000
205.660,241.590,414.220,0.0000,0.0000,0.0000,0.0000
218.440,233.050,414.220,0.0000,0.0000,0.0000,0.0000
233.520,230.050,414.220,0.0000,0.0000,0.0000,0.0000
248.600,233.050,414.220,0.0000,0.0000,0.0000,0.0000
261.380,241.590,414.220,0.0000,0.0000,0.0000,0.0000
269.920,254.370,414.220,0.0000,0.0000,0.0000,0.0000
293.600,269.450,404.750,0.0000,0.0000,0.0000,0.0000
289.030,292.440,404.750,0.0000,0.0000,0.0000,0.0000
276.000,311.930,404.750,0.0000,0.0000,0.0000,0.0000
256.510,324.960,404.750,0.0000,0.0000,0.0000,0.0000
233.520,329.530,404.750,0.0000,0.0000,0.0000,0.0000
210.530,324.960,404.750,0.0000,0.0000,0.0000,0.0000
191.040,311.930,404.750,0.0000,0.0000,0.0000,0.0000
178.010,292.440,404.750,0.0000,0.0000,0.0000,0.0000
173.440,269.450,404.750,0.0000,0.0000,0.0000,0.0000
178.010,246.460,404.750,0.0000,0.0000,0.0000,0.0000
191.040,226.970,404.750,0.0000,0.0000,0.0000,0.0000
210.530,213.940,404.750,0.0000,0.0000,0.0000,0.0000
233.520,209.370,404.750,0.0000,0.0000,0.0000,0.0000
256.510,213.940,404.750,0.0000,0.0000,0.0000,0.0000
276.000,226.970,404.750,0.0000,0.0000,0.0000,0.0000
289.030,246.460,404.750,0.0000,0.0000,0.0000,0.0000
312.150,269.450,391.520,0.0000,0.0000,0.0000,0.0000
306.170,299.540,391.520,0.0000,0.0000,0.0000,0.0000
289.120,325.050,391.520,0.0000,0.0000,0.0000,0.0000
263.610,342.100,391.520,0.0000,0.0000,0.0000,0.0000
233.520,348.080,391.520,0.0000,0.0000,0.0000,0.0000
203.430,342.100,391.520,0.0000,0.0000,0.0000,0.0000
177.920,325.050,391.520,0.0000,0.0000,0.0000,0.0000
160.870,299.540,391.520,0.0000,0.0000,0.0000,0.0000
154.890,269.450,391.520,0.0000,0.0000,0.0000,0.0000
160.870,239.360,391.520,0.0000,0.0000,0.0000,0.0000
177.920,213.850,391.520,0.0000,0.0000,0.0000,0.0000
203.430,196.800,391.520,0.0000,0.0000,0.0000,0.0000
233.520,190.820,391.520,0.0000,0.0000,0.0000,0.0000
263.610,196.800,391.520,0.0000,0.0000,0.0000,0.0000
289.120,213.850,391.520,0.0000,0.0000,0.0000,0.0000
306.170,239.360,391.520,0.0000,0.0000,0.0000,0.0000
327.870,269.450,375.020,0.0000,0.0000,0.0000,0.0000
320.690,305.560,375.020,0.0000,0.0000,0.0000,0.0000
300.240,336.170,375.020,0.0000,0.0000,0.0000,0.0000
269.630,356.620,375.020,0.0000,0.0000,0.0000,0.0000
233.520,363.800,375.020,0.0000,0.0000,0.0000,0.0000
197.410,356.620,375.020,0.0000,0.0000,0.0000,0.0000
166.800,336.170,375.020,0.0000,0.0000,0.0000,0.0000
146.350,305.560,375.020,0.0000,0.0000,0.0000,0.0000
139.170,269.450,375.020,0.0000,0.0000,0.0000,0.0000
146.350,233.340,375.020,0.0000,0.0000,0.0000,0.0000
166.800,202.730,375.020,0.0000,0.0000,0.0000,0.0000
197.410,182.280,375.020,0.0000,0.0000,0.0000,0.0000
233.520,175.100,375.020,0.0000,0.0000,0.0000,0.0000
269.630,182.280,375.020,0.0000,0.0000,0.0000,0.0000
300.240,202.730,375.020,0.0000,0.0000,0.0000,0.0000
320.690,233.340,375.020,0.0000,0.0000,0.0000,0.0000
340.190,269.450,355.830,0.0000,0.0000,0.0000,0.0000
332.070,310.270,355.830,0.0000,0.0000,0.0000,0.0000
308.950,344.880,355.830,0.0000,0.0000,0.0000,0.0000
274.340,368.000,355.830,0.0000,0.0000,0.0000,0.0000
233.520,376.120,355.830,0.0000,0.0000,0.0000,0.0000
192.700,368.000,355.830,0.0000,0.0000,0.0000,0.0000
158.090,344.880,355.830,0.0000,0.0000,0.0000,0.0000
134.970,310.270,355.830,0.0000,0.0000,0.0000,0.0000
126.850,269.450,355.830,0.0000,0.0000,0.0000,0.0000
134.970,228.630,355.830,0.0000,0.0000,0.0000,0.0000
158.090,194.020,355.830,0.0000,0.0000,0.0000,0.0000
192.700,170.900,355.830,0.0000,0.0000,0.0000,0.0000
233.520,162.780,355.830,0.0000,0.0000,0.0000,0.0000
274.340,170.900,355.830,0.0000,0.0000,0.0000,0.0000
308.950,194.020,355.830,0.0000,0.0000,0.0000,0.0000
332.070,228.630,355.830,0.0000,0.0000,0.0000,0.0000
348.660,269.450,334.660,0.0000,0.0000,0.0000,0.0000
339.900,313.510,334.660,0.0000,0.0000,0.0000,0.0000
314.940,350.870,334.660,0.0000,0.0000,0.0000,0.0000
277.580,375.830,334.660,0.0000,0.0000,0.0000,0.0000
233.520,384.590,334.660,0.0000,0.0000,0.0000,0.0000
189.460,375.830,334.660,0.0000,0.0000,0.0000,0.0000
152.100,350.870,334.660,0.0000,0.0000,0.0000,0.0000
127.140,313.510,334.660,0.0000,0.0000,0.0000,0.0000
118.380,269.450,334.660,0.0000,0.0000,0.0000,0.0000
127.140,225.390,334.660,0.0000,0.0000,0.0000,0.0000
152.100,188.030,334.660,0.0000,0.0000,0.0000,0.0000
189.460,163.070,334.660,0.0000,0.0000,0.0000,0.0000
233.520,154.310,334.660,0.0000,0.0000,0.0000,0.0000
277.580,163.070,334.660,0.0000,0.0000,0.0000,0.0000
314.940,188.030,334.660,0.0000,0.0000,0.0000,0.0000
339.900,225.390,334.660,0.0000,0.0000,0.0000,0.0000
352.980,269.450,312.270,0.0000,0.0000,0.0000,0.0000
343.880,315.160,312.270,0.0000,0.0000,0.0000,0.0000
317.990,353.920,312.270,0.0000,0.0000,0.0000,0.0000
279.230,379.810,312.270,0.0000,0.0000,0.0000,0.0000
233.520,388.910,312.270,0.0000,0.0000,0.0000,0.0000
187.810,379.810,312.270,0.0000,0.0000,0.0000,0.0000
149.050,353.920,312.270,0.0000,0.0000,0.0000,0.0000
123.160,315.160,312.270,0.0000,0.0000,0.0000,0.0000
114.060,269.450,312.270,0.0000,0.0000,0.0000,0.0000
123.160,223.740,312.270,0.0000,0.0000,0.0000,0.0000
149.050,184.980,312.270,0.0000,0.0000,0.0000,0.0000
187.810,159.090,312.270,0.0000,0.0000,0.0000,0.0000
233.520,149.990,312.270,0.0000,0.0000,0.0000,0.0000
279.230,159.090,312.270,0.0000,0.0000,0.0000,0.0000
317.990,184.980,312.270,0.0000,0.0000,0.0000,0.0000
343.880,223.740,312.270,0.0000,0.0000,0.0000,0.0000
352.980,269.450,289.470,0.0000,0.0000,0.0000,0.0000
343.880,315.160,289.470,0.0000,0.0000,0.0000,0.0000
317.990,353.920,289.470,0.0000,0.0000,0.0000,0.0000
279.230,379.810,289.470,0.0000,0.0000,0.0000,0.0000
233.520,388.910,289.470,0.0000,0.0000,0.0000,0.0000
187.810,379.810,289.470,0.0000,0.0000,0.0000,0.0000
149.050,353.920,289.470,0.0000,0.0000,0.0000,0.0000
123.160,315.160,289.470,0.0000,0.0000,0.0000,0.0000
114.060,269.450,289.470,0.0000,0.0000,0.0000,0.0000
123.160,223.740,289.470,0.0000,0.0000,0.0000,0.0000
149.050,184.980,289.470,0.0000,0.0000,0.0000,0.0000
187.810,159.090,289.470,0.0000,0.0000,0.0000,0.0000
233.520,149.990,289.470,0.0000,0.0000,0.0000,0.0000
279.230,159.090,289.470,0.0000,0.0000,0.0000,0.0000
317.990,184.980,289.470,0.0000,0.0000,0.0000,0.0000
343.880,223.740,289.470,0.0000,0.0000,0.0000,0.0000
348.660,269.450,267.080,0.0000,0.0000,0.0000,0.0000
339.900,313.510,267.080,0.0000,0.0000,0.0000,0.0000
314.940,350.870,267.080,0.0000,0.0000,0.0000,0.0000
277.580,375.830,267.080,0.0000,0.0000,0.0000,0.0000
233.520,384.590,267.080,0.0000,0.0000,0.0000,0.0000
189.460,375.830,267.080,0.0000,0.0000,0.0000,0.0000
152.100,350.870,267.080,0.0000,0.0000,0.0000,0.0000
127.140,313.510,267.080,0.0000,0.0000,0.0000,0.0000
118.380,269.450,267.080,0.0000,0.0000,0.0000,0.0000
127.140,225.390,267.080,0.0000,0.0000,0.0000,0.0000
152.100,188.030,267.080,0.0000,0.0000,0.0000,0.0000
