# COSI2 B0 scan
# time 2024-08-08 10:38:05.948184
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/sphere_all_rings_in_R2I6_corrected
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
283.550,187.460,410.030,-47.3390,-0.9100,-1.0500,47.3570
248.480,235.720,410.030,-47.3370,-0.9200,-1.0400,47.3560
191.740,217.290,410.030,-47.3020,-0.8900,-0.9500,47.3200
191.740,157.630,410.030,-47.2520,-0.8000,-0.9900,47.2690
248.480,139.200,410.030,-47.2490,-0.9000,-1.0700,47.2690
333.920,187.460,365.910,-47.2950,-1.0000,-1.0600,47.3200
264.050,283.630,365.910,-47.3590,-0.9700,-0.9600,47.3780
150.990,246.900,365.910,-47.2620,-0.9900,-0.9000,47.2840
150.990,128.020,365.910,-47.4960,-0.9100,-0.9400,47.5110
264.050,91.290,365.910,-47.4400,-0.9000,-1.0200,47.4590
352.800,187.460,301.290,-47.2960,-1.0000,-0.9800,47.3170
269.880,301.590,301.290,-47.3760,-0.9600,-0.9500,47.3950
135.720,257.990,301.290,-47.3060,-0.9800,-0.8600,47.3240
135.720,116.930,301.290,-47.4930,-0.9100,-1.0800,47.4990
269.880,73.330,301.290,-47.5110,-0.9300,-0.9300,47.5240
333.920,187.460,236.670,-47.3300,-0.9800,-0.9800,47.3490
264.050,283.630,236.670,-47.3470,-0.9600,-0.9300,47.3660
150.990,246.900,236.670,-47.2970,-0.9400,-0.9200,47.3160
150.990,128.020,236.670,-47.5000,-0.9300,-0.9500,47.5190
264.050,91.290,236.670,-47.4240,-0.9600,-0.9300,47.4430
283.550,187.460,192.550,-47.3010,-0.9700,-0.9200,47.3200
248.480,235.720,192.550,-47.3560,-0.9800,-0.9200,47.3750
191.740,217.290,192.550,-47.3400,-0.9700,-0.8800,47.3580
191.740,157.630,192.550,-47.3580,-0.9700,-0.9000,47.3770
248.480,139.200,192.550,-47.3540,-0.9700,-0.8800,47.3720
