# COSI2 B0 scan
# time 2024-08-05 10:44:37.245332
# MAGNET CENTER IN LAB: x 232.800 mm, y 187.460 mm, z 301.290 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/sphere_centered_2ringsnew_2rings_old_R120_16pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
250.230,187.460,420.020,0.0000,0.0000,0.0000,0.0000
248.900,194.130,420.020,0.0000,0.0000,0.0000,0.0000
245.120,199.780,420.020,0.0000,0.0000,0.0000,0.0000
239.470,203.560,420.020,0.0000,0.0000,0.0000,0.0000
232.800,204.890,420.020,0.0000,0.0000,0.0000,0.0000
226.130,203.560,420.020,0.0000,0.0000,0.0000,0.0000
220.480,199.780,420.020,0.0000,0.0000,0.0000,0.0000
216.700,194.130,420.020,0.0000,0.0000,0.0000,0.0000
215.370,187.460,420.020,0.0000,0.0000,0.0000,0.0000
216.700,180.790,420.020,0.0000,0.0000,0.0000,0.0000
220.480,175.140,420.020,0.0000,0.0000,0.0000,0.0000
226.130,171.360,420.020,0.0000,0.0000,0.0000,0.0000
232.800,170.030,420.020,0.0000,0.0000,0.0000,0.0000
239.470,171.360,420.020,0.0000,0.0000,0.0000,0.0000
245.120,175.140,420.020,0.0000,0.0000,0.0000,0.0000
248.900,180.790,420.020,0.0000,0.0000,0.0000,0.0000
272.200,187.460,414.640,0.0000,0.0000,0.0000,0.0000
269.200,202.540,414.640,0.0000,0.0000,0.0000,0.0000
260.660,215.320,414.640,0.0000,0.0000,0.0000,0.0000
247.880,223.860,414.640,0.0000,0.0000,0.0000,0.0000
232.800,226.860,414.640,0.0000,0.0000,0.0000,0.0000
217.720,223.860,414.640,0.0000,0.0000,0.0000,0.0000
204.940,215.320,414.640,0.0000,0.0000,0.0000,0.0000
196.400,202.540,414.640,0.0000,0.0000,0.0000,0.0000
193.400,187.460,414.640,0.0000,0.0000,0.0000,0.0000
196.400,172.380,414.640,0.0000,0.0000,0.0000,0.0000
204.940,159.600,414.640,0.0000,0.0000,0.0000,0.0000
217.720,151.060,414.640,0.0000,0.0000,0.0000,0.0000
232.800,148.060,414.640,0.0000,0.0000,0.0000,0.0000
247.880,151.060,414.640,0.0000,0.0000,0.0000,0.0000
260.660,159.600,414.640,0.0000,0.0000,0.0000,0.0000
269.200,172.380,414.640,0.0000,0.0000,0.0000,0.0000
292.880,187.460,405.170,0.0000,0.0000,0.0000,0.0000
288.310,210.450,405.170,0.0000,0.0000,0.0000,0.0000
275.280,229.940,405.170,0.0000,0.0000,0.0000,0.0000
