# COSI2 B0 scan
# time 2024-08-02 14:58:34.985772
# MAGNET CENTER IN LAB: x 233.520 mm, y 269.450 mm, z 300.870 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240731/weekend_ball_R0new_R1none_R2old_R3oldfixedposx
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
239.520,305.450,186.870,-46.9890,-0.7600,0.6600,47.0000
233.520,305.450,186.870,-46.9930,-0.7700,0.6600,47.0040
227.520,305.450,186.870,-46.9850,-0.8200,0.6500,47.0000
215.520,299.450,186.870,-46.9800,-0.8900,0.6500,46.9930
221.520,299.450,186.870,-46.9700,-0.9700,0.6300,46.9870
227.520,299.450,186.870,-46.9870,-0.9400,0.6300,47.0010
233.520,299.450,186.870,-46.9920,-0.8900,0.6500,47.0050
239.520,299.450,186.870,-47.0140,-0.8400,0.6800,47.0240
245.520,299.450,186.870,-47.0060,-0.7900,0.7000,47.0180
251.520,299.450,186.870,-47.0110,-0.7600,0.7400,47.0190
257.520,293.450,186.870,-47.0000,-0.6900,0.7700,47.0110
251.520,293.450,186.870,-47.0210,-0.7300,0.8700,47.0290
245.520,293.450,186.870,-47.0430,-0.7600,0.8200,47.0560
239.520,293.450,186.870,-47.0430,-0.7800,0.7700,47.0560
233.520,293.450,186.870,-47.0440,-0.8200,0.7400,47.0570
227.520,293.450,186.870,-47.0410,-0.8600,0.7000,47.0540
221.520,293.450,186.870,-47.0290,-0.8900,0.6700,47.0450
215.520,293.450,186.870,-47.0170,-0.9200,0.6300,47.0300
209.520,293.450,186.870,-47.0060,-0.9700,0.6000,47.0200
203.520,287.450,186.870,-46.9970,-1.0100,0.5600,47.0110
209.520,287.450,186.870,-47.0140,-1.0000,0.5300,47.0280
215.520,287.450,186.870,-47.0400,-0.9700,0.5600,47.0530
221.520,287.450,186.870,-47.0440,-0.9500,0.5900,47.0590
227.520,287.450,186.870,-47.0560,-0.9200,0.6300,47.0700
233.520,287.450,186.870,-47.0650,-0.9000,0.6700,47.0770
239.520,287.450,186.870,-47.0740,-0.8700,0.7100,47.0870
245.520,287.450,186.870,-47.0780,-0.8500,0.7400,47.0900
251.520,287.450,186.870,-47.0830,-0.8300,0.7900,47.0970
257.520,287.450,186.870,-47.0850,-0.8100,0.8400,47.0990
263.520,287.450,186.870,-47.0870,-0.8100,0.9000,47.1080
