# COSI2 B0 scan
# time 2024-08-21 18:38:26.872090
# MAGNET CENTER IN LAB: x 234.400 mm, y 233.000 mm, z 204.910 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240821_quick_ball_extremes_R120_12pts_1s_waiting_waitbeforemeasure
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.400,233.000,204.910,-48.2100,-1.9290,0.4400,48.2520
114.400,233.000,204.910,-48.2100,-1.9280,0.4400,48.2510
354.400,233.000,204.910,-46.9600,-2.1310,0.2600,47.0070
234.400,113.000,204.910,-46.9100,-1.8080,0.4700,46.9470
234.400,353.000,204.910,-48.6500,-1.9170,0.4600,48.6900
234.400,233.000,324.910,-48.1900,-1.9630,0.4500,48.2280
234.400,233.000,84.910,-49.6000,-1.8750,0.3700,49.6400
234.400,233.000,84.910,-48.7500,-2.2270,0.8000,48.8090
254.400,273.000,94.910,-48.7500,-2.2280,0.7900,48.8070
244.400,273.000,94.910,-48.7200,-2.2350,0.8300,48.7730
234.400,273.000,94.910,-48.3900,-2.4720,0.4500,48.4590
224.400,273.000,94.910,-48.3700,-2.5340,0.4300,48.4380
214.400,273.000,94.910,-48.4800,-2.3510,0.4300,48.5180
204.400,263.000,94.910,-48.5400,-2.2010,0.4300,48.5860
214.400,263.000,94.910,-48.5900,-1.9330,0.3800,48.6290
224.400,263.000,94.910,-48.5700,-1.7600,0.3500,48.6080
234.400,263.000,94.910,-48.5600,-1.7550,0.3900,48.5970
244.400,263.000,94.910,-48.5400,-1.9590,0.4300,48.5760
254.400,263.000,94.910,-48.4700,-2.1900,0.4700,48.5220
264.400,263.000,94.910,-48.3500,-2.3740,0.4700,48.4630
274.400,253.000,94.910,-48.2600,-2.5970,0.4500,48.3300
264.400,253.000,94.910,-48.0500,-2.7290,0.4500,48.2200
254.400,253.000,94.910,-48.0100,-2.8930,0.6400,48.1060
244.400,253.000,94.910,-48.2300,-2.8060,0.6300,48.2410
234.400,253.000,94.910,-48.3400,-2.5970,0.6200,48.4160
224.400,253.000,94.910,-48.4500,-2.3580,0.6100,48.4790
214.400,253.000,94.910,-48.4900,-2.2090,0.5700,48.5430
204.400,253.000,94.910,-48.5500,-1.9670,0.5500,48.5840
194.400,253.000,94.910,-48.5500,-1.8070,0.4900,48.5860
194.400,243.000,94.910,-48.4700,-1.5270,0.4500,48.5490
204.400,243.000,94.910,-48.4400,-1.3910,0.4500,48.4610
214.400,243.000,94.910,-48.5000,-1.4020,0.5400,48.4800
224.400,243.000,94.910,-48.5500,-1.5570,0.6000,48.5760
234.400,243.000,94.910,-48.5600,-1.8340,0.6500,48.6010
244.400,243.000,94.910,-48.5500,-1.9890,0.6900,48.5980
254.400,243.000,94.910,-48.4800,-2.2500,0.7200,48.5620
264.400,243.000,94.910,-48.4100,-2.4150,0.7400,48.4720
274.400,243.000,94.910,-48.2400,-2.6570,0.7900,48.3860
274.400,233.000,94.910,-48.1300,-2.7710,0.8300,48.2150
264.400,233.000,94.910,-48.0800,-2.9090,0.9200,48.1350
254.400,233.000,94.910,-48.1500,-2.8690,0.9100,48.2430
244.400,233.000,94.910,-48.3200,-2.7130,0.8600,48.3470
234.400,233.000,94.910,-48.4200,-2.6050,0.8300,48.4920
224.400,233.000,94.910,-48.5300,-2.3650,0.7900,48.5660
214.400,233.000,94.910,-48.5700,-2.2120,0.7600,48.6260
204.400,233.000,94.910,-48.6000,-1.9490,0.7100,48.6290
194.400,233.000,94.910,-48.5900,-1.7900,0.7000,48.6260
194.400,223.000,94.910,-48.5000,-1.5140,0.6500,48.5270
204.400,223.000,94.910,-48.4400,-1.3860,0.6500,48.4690
214.400,223.000,94.910,-48.4800,-1.3620,0.7500,48.5060
224.400,223.000,94.910,-48.5600,-1.5140,0.7700,48.5740
234.400,223.000,94.910,-48.6000,-1.7640,0.8000,48.6360
244.400,223.000,94.910,-48.5800,-1.9400,0.8200,48.6330
254.400,223.000,94.910,-48.5400,-2.1910,0.8600,48.5970
264.400,223.000,94.910,-48.4400,-2.3630,0.8900,48.5430
274.400,223.000,94.910,-48.3400,-2.5810,0.9300,48.4160
274.400,213.000,94.910,-48.1600,-2.7610,0.9500,48.3160
264.400,213.000,94.910,-48.1100,-2.8400,1.0400,48.2030
254.400,213.000,94.910,-48.2100,-2.8060,1.1900,48.2360
244.400,213.000,94.910,-48.3300,-2.6950,1.1100,48.4150
234.400,213.000,94.910,-48.4700,-2.4960,1.0600,48.5070
224.400,213.000,94.910,-48.5500,-2.3590,0.9900,48.6140
214.400,213.000,94.910,-48.6000,-2.0810,0.9600,48.6550
204.400,213.000,94.910,-48.6100,-1.9580,0.9600,48.6600
194.400,213.000,94.910,-48.5800,-1.7170,0.9600,48.6160
204.400,203.000,94.910,-48.5200,-1.5610,0.9600,48.5510
214.400,203.000,94.910,-48.5200,-1.3860,1.0400,48.5460
224.400,203.000,94.910,-48.6600,-1.5440,1.1400,48.6970
