# COSI2 B0 scan,,,,,,
# time 2024-08-21 18:38:26.872090,,,,,,
# MAGNET CENTER IN LAB: x 234.400 mm, y 233.000 mm, z 204.910 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240821_quick_ball_extremes_R120_12pts_1s_waiting_waitbeforemeasure,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.4,233,84.91,-48.75,-2.228,0.79,48.807
234.4,233,84.91,-48.72,-2.235,0.83,48.773
254.4,273,94.91,-48.39,-2.472,0.45,48.459
244.4,273,94.91,-48.37,-2.534,0.43,48.438
234.4,273,94.91,-48.48,-2.351,0.43,48.518
224.4,273,94.91,-48.54,-2.201,0.43,48.586
214.4,273,94.91,-48.59,-1.933,0.38,48.629
204.4,263,94.91,-48.57,-1.76,0.35,48.608
214.4,263,94.91,-48.56,-1.755,0.39,48.597
224.4,263,94.91,-48.54,-1.959,0.43,48.576
234.4,263,94.91,-48.47,-2.19,0.47,48.522
244.4,263,94.91,-48.35,-2.374,0.47,48.463
254.4,263,94.91,-48.26,-2.597,0.45,48.33
264.4,263,94.91,-48.05,-2.729,0.45,48.22
274.4,253,94.91,-48.01,-2.893,0.64,48.106
264.4,253,94.91,-48.23,-2.806,0.63,48.241
254.4,253,94.91,-48.34,-2.597,0.62,48.416
244.4,253,94.91,-48.45,-2.358,0.61,48.479
234.4,253,94.91,-48.49,-2.209,0.57,48.543
224.4,253,94.91,-48.55,-1.967,0.55,48.584
214.4,253,94.91,-48.55,-1.807,0.49,48.586
204.4,253,94.91,-48.47,-1.527,0.45,48.549
194.4,253,94.91,-48.44,-1.391,0.45,48.461
194.4,243,94.91,-48.5,-1.402,0.54,48.48
204.4,243,94.91,-48.55,-1.557,0.6,48.576
214.4,243,94.91,-48.56,-1.834,0.65,48.601
224.4,243,94.91,-48.55,-1.989,0.69,48.598
234.4,243,94.91,-48.48,-2.25,0.72,48.562
244.4,243,94.91,-48.41,-2.415,0.74,48.472
254.4,243,94.91,-48.24,-2.657,0.79,48.386
264.4,243,94.91,-48.13,-2.771,0.83,48.215
274.4,243,94.91,-48.08,-2.909,0.92,48.135
274.4,233,94.91,-48.15,-2.869,0.91,48.243
264.4,233,94.91,-48.32,-2.713,0.86,48.347
