# COSI2 B0 scan
# time 2024-08-22 17:33:38.691408
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_6mm_ball_V21_R120_2s_waiting_lcdoff
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,201.880,-48.1690,-1.9580,0.4570,48.2110
112.290,232.950,201.880,-48.1730,-1.9640,0.4560,48.2180
352.290,232.950,201.880,-46.8410,-2.0800,0.2590,46.8860
232.290,112.950,201.880,-46.9140,-1.9170,0.4980,46.9560
232.290,352.950,201.880,-48.6030,-1.9300,0.4490,48.6440
232.290,232.950,321.880,-48.1440,-1.9520,0.4780,48.1870
232.290,232.950,81.880,-49.3780,-2.0020,0.3630,49.4200
232.290,232.950,81.880,-48.8030,-2.1870,0.7910,48.8580
212.290,292.950,101.880,-48.8010,-2.1810,0.7960,48.8570
232.290,292.950,101.880,-48.4210,-1.8500,0.1830,48.4580
252.290,292.950,101.880,-48.3840,-2.1500,0.2290,48.4320
272.290,272.950,101.880,-48.2600,-2.4570,0.2100,48.3220
252.290,272.950,101.880,-48.0670,-2.7410,0.4620,48.1480
232.290,272.950,101.880,-48.2710,-2.4890,0.4610,48.3390
212.290,272.950,101.880,-48.4060,-2.1580,0.4410,48.4570
192.290,272.950,101.880,-48.4510,-1.8190,0.3780,48.4870
172.290,252.950,101.880,-48.4010,-1.4900,0.2960,48.4240
192.290,252.950,101.880,-48.1130,-1.0660,0.3500,48.1270
212.290,252.950,101.880,-48.3340,-1.4090,0.4390,48.3570
232.290,252.950,101.880,-48.4390,-1.7770,0.5170,48.4740
252.290,252.950,101.880,-48.4090,-2.1460,0.6000,48.4600
272.290,252.950,101.880,-48.2650,-2.4960,0.6370,48.3350
292.290,252.950,101.880,-48.0060,-2.8040,0.6570,48.0900
292.290,232.950,101.880,-47.6370,-3.0370,0.6970,47.7390
