# COSI2 B0 scan
# time 2024-08-22 10:48:47.627656
# MAGNET CENTER IN LAB: x 234.400 mm, y 233.000 mm, z 204.910 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_ball_v21_R120_12pts_speed500
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.400,233.000,204.910,-48.2300,-1.9280,0.4700,48.2670
114.400,233.000,204.910,-48.2300,-1.9320,0.4700,48.2710
354.400,233.000,204.910,-46.6800,-2.1780,0.2900,46.7310
234.400,113.000,204.910,-47.1200,-1.8140,0.5200,47.1580
234.400,353.000,204.910,-48.6600,-1.9000,0.4900,48.7020
234.400,233.000,324.910,-48.2000,-1.9560,0.4900,48.2420
234.400,233.000,84.910,-49.6400,-2.1230,0.4100,49.6910
234.400,233.000,84.910,-48.7800,-2.0350,0.8000,48.8320
254.400,273.000,94.910,-48.7700,-2.0290,0.8000,48.8230
244.400,273.000,94.910,-48.7200,-2.0460,0.8300,48.7660
234.400,273.000,94.910,-48.4800,-2.2990,0.4900,48.5400
224.400,273.000,94.910,-48.5400,-2.2760,0.4700,48.5930
214.400,273.000,94.910,-48.5900,-1.9910,0.4400,48.6180
204.400,263.000,94.910,-48.6000,-1.8470,0.3900,48.6350
214.400,263.000,94.910,-48.5400,-1.6210,0.3400,48.6170
224.400,263.000,94.910,-48.5600,-1.5380,0.3600,48.5800
234.400,263.000,94.910,-48.5800,-1.7650,0.4500,48.6090
244.400,263.000,94.910,-48.5600,-1.9200,0.4700,48.6010
254.400,263.000,94.910,-48.4900,-2.1580,0.5100,48.5770
264.400,263.000,94.910,-48.4500,-2.2980,0.5200,48.5090
274.400,253.000,94.910,-48.3300,-2.5140,0.5200,48.3930
264.400,253.000,94.910,-48.1500,-2.6550,0.5600,48.3260
254.400,253.000,94.910,-48.2600,-2.7480,0.6700,48.3470
244.400,253.000,94.910,-48.4000,-2.6180,0.6700,48.4200
234.400,253.000,94.910,-48.4700,-2.3920,0.6300,48.5300
224.400,253.000,94.910,-48.5400,-2.1600,0.6400,48.5710
214.400,253.000,94.910,-48.5500,-1.9910,0.5500,48.5940
204.400,253.000,94.910,-48.5300,-1.7340,0.5200,48.5840
194.400,253.000,94.910,-48.4800,-1.5570,0.4400,48.5030
194.400,243.000,94.910,-48.3500,-1.3010,0.4100,48.4340
204.400,243.000,94.910,-48.3400,-1.1910,0.5300,48.3620
214.400,243.000,94.910,-48.4500,-1.2810,0.5700,48.4130
224.400,243.000,94.910,-48.5300,-1.4830,0.6000,48.5320
234.400,243.000,94.910,-48.5700,-1.6510,0.6600,48.5980
244.400,243.000,94.910,-48.5600,-1.9160,0.7000,48.6150
254.400,243.000,94.910,-48.5200,-2.0850,0.7400,48.5720
264.400,243.000,94.910,-48.4500,-2.3320,0.7900,48.5560
274.400,243.000,94.910,-48.3600,-2.4950,0.8200,48.4290
274.400,233.000,94.910,-48.1800,-2.7000,0.8800,48.3560
264.400,233.000,94.910,-48.2200,-2.7780,0.9300,48.3070
254.400,233.000,94.910,-48.3800,-2.6940,0.9100,48.3790
244.400,233.000,94.910,-48.4600,-2.5700,0.8700,48.5370
234.400,233.000,94.910,-48.5600,-2.3470,0.8300,48.6280
224.400,233.000,94.910,-48.5900,-2.1790,0.8000,48.6450
214.400,233.000,94.910,-48.6000,-1.9250,0.7500,48.6450
204.400,233.000,94.910,-48.5400,-1.7500,0.7300,48.6160
194.400,233.000,94.910,-48.4800,-1.4900,0.6600,48.5040
194.400,223.000,94.910,-48.3700,-1.3400,0.6600,48.4370
204.400,223.000,94.910,-48.3300,-1.1880,0.7100,48.3540
214.400,223.000,94.910,-48.4500,-1.2490,0.7600,48.4020
224.400,223.000,94.910,-48.5200,-1.3940,0.7900,48.5440
234.400,223.000,94.910,-48.5900,-1.6500,0.8100,48.6020
244.400,223.000,94.910,-48.6100,-1.8240,0.8500,48.6400
254.400,223.000,94.910,-48.5600,-2.0930,0.8700,48.6300
264.400,223.000,94.910,-48.5200,-2.2510,0.9200,48.5750
274.400,223.000,94.910,-48.4000,-2.4910,0.9400,48.5260
274.400,213.000,94.910,-48.2900,-2.6230,1.0000,48.3700
264.400,213.000,94.910,-48.2800,-2.7170,1.2000,48.3410
254.400,213.000,94.910,-48.3700,-2.6710,1.1400,48.4610
244.400,213.000,94.910,-48.5200,-2.4710,1.0800,48.5230
234.400,213.000,94.910,-48.5600,-2.3280,1.0400,48.6300
224.400,213.000,94.910,-48.6100,-2.0920,1.0100,48.6490
214.400,213.000,94.910,-48.6100,-1.9370,1.0000,48.6600
204.400,213.000,94.910,-48.5500,-1.6830,0.9900,48.5940
194.400,213.000,94.910,-48.4400,-1.5140,0.9900,48.5280
204.400,203.000,94.910,-48.3400,-1.2810,0.9800,48.3700
214.400,203.000,94.910,-48.5300,-1.2520,1.0800,48.4250
224.400,203.000,94.910,-48.6300,-1.4300,1.1700,48.6690
234.400,203.000,94.910,-48.7000,-1.6770,1.1500,48.7100
244.400,203.000,94.910,-48.7000,-1.8360,1.1500,48.7440
254.400,203.000,94.910,-48.6600,-2.0600,1.1800,48.7370
264.400,203.000,94.910,-48.6200,-2.1970,1.2100,48.6800
254.400,193.000,94.910,-48.5200,-2.4000,1.3000,48.6460
244.400,193.000,94.910,-48.6200,-2.4550,1.3100,48.7040
234.400,193.000,94.910,-48.7600,-2.2300,1.2600,48.8290
224.400,193.000,94.910,-48.8100,-2.0750,1.2400,48.8670
214.400,193.000,94.910,-48.8200,-1.9510,1.2400,48.8660
214.400,173.000,104.910,-48.7900,-1.7490,1.2400,48.8380
224.400,173.000,104.910,-48.8400,-1.6550,1.2400,48.8570
234.400,173.000,104.910,-48.9500,-1.7500,1.2800,49.0000
244.400,173.000,104.910,-48.9400,-1.9010,1.3100,49.0030
254.400,173.000,104.910,-48.9300,-1.9950,1.3100,48.9860
274.400,183.000,104.910,-48.8800,-2.1240,1.3700,48.9580
264.400,183.000,104.910,-48.7900,-2.2060,1.3700,48.8610
254.400,183.000,104.910,-48.6800,-2.3780,1.3300,48.7130
244.400,183.000,104.910,-48.7300,-2.2930,1.2900,48.7990
234.400,183.000,104.910,-48.7900,-2.1560,1.2500,48.8250
224.400,183.000,104.910,-48.8000,-2.0630,1.2200,48.8620
214.400,183.000,104.910,-48.8200,-1.9130,1.2100,48.8770
204.400,183.000,104.910,-48.8200,-1.8060,1.2000,48.8630
194.400,183.000,104.910,-48.7800,-1.6420,1.2100,48.8200
184.400,193.000,104.910,-48.7100,-1.5360,1.2400,48.7880
194.400,193.000,104.910,-48.6200,-1.3890,1.1900,48.6510
204.400,193.000,104.910,-48.6100,-1.3340,1.1900,48.5980
214.400,193.000,104.910,-48.6600,-1.4360,1.1600,48.6900
224.400,193.000,104.910,-48.7100,-1.5880,1.1600,48.7230
234.400,193.000,104.910,-48.7300,-1.7060,1.1300,48.7690
244.400,193.000,104.910,-48.7300,-1.8670,1.1500,48.7740
254.400,193.000,104.910,-48.6900,-2.0310,1.1600,48.7740
264.400,193.000,104.910,-48.6600,-2.1390,1.1900,48.7230
274.400,193.000,104.910,-48.5900,-2.2850,1.2500,48.6870
284.400,193.000,104.910,-48.5300,-2.3840,1.2900,48.6030
284.400,203.000,104.910,-48.4500,-2.5090,1.3700,48.5690
274.400,203.000,104.910,-48.3600,-2.5770,1.3500,48.4470
264.400,203.000,104.910,-48.4000,-2.5760,1.2600,48.4270
254.400,203.000,104.910,-48.4600,-2.4920,1.2000,48.5370
244.400,203.000,104.910,-48.5700,-2.3400,1.1300,48.5800
234.400,203.000,104.910,-48.6000,-2.2300,1.1100,48.6610
224.400,203.000,104.910,-48.6300,-2.0510,1.0700,48.6830
214.400,203.000,104.910,-48.6200,-1.9330,1.0600,48.6860
204.400,203.000,104.910,-48.6100,-1.7470,1.0500,48.6550
194.400,203.000,104.910,-48.5400,-1.6170,1.0700,48.6130
184.400,203.000,104.910,-48.4800,-1.4370,1.0800,48.5130
174.400,213.000,104.910,-48.3700,-1.2770,1.1100,48.4640
184.400,213.000,104.910,-48.2300,-1.1700,1.0600,48.2560
194.400,213.000,104.910,-48.2500,-1.0910,0.9600,48.2060
204.400,213.000,104.910,-48.3200,-1.2000,0.9300,48.3440
214.400,213.000,104.910,-48.4600,-1.3780,0.9300,48.4830
224.400,213.000,104.910,-48.5300,-1.5300,0.9300,48.5630
234.400,213.000,104.910,-48.5600,-1.6580,0.9400,48.5940
244.400,213.000,104.910,-48.5700,-1.8610,0.9700,48.6160
254.400,213.000,104.910,-48.5400,-1.9890,0.9800,48.6050
264.400,213.000,104.910,-48.4900,-2.1910,1.0200,48.5540
274.400,213.000,104.910,-48.3900,-2.3660,1.0500,48.5080
284.400,213.000,104.910,-48.3200,-2.4790,1.1200,48.3990
294.400,213.000,104.910,-48.1700,-2.6310,1.1600,48.3330
294.400,223.000,104.910,-48.0800,-2.7210,1.2300,48.1700
284.400,223.000,104.910,-47.9900,-2.8210,1.1800,48.1070
274.400,223.000,104.910,-48.0800,-2.8040,1.0500,48.1740
264.400,223.000,104.910,-48.2300,-2.6640,1.0100,48.2440
254.400,223.000,104.910,-48.3100,-2.5660,0.9700,48.3910
244.400,223.000,104.910,-48.4300,-2.4020,0.9200,48.4570
234.400,223.000,104.910,-48.4800,-2.2820,0.9000,48.5390
224.400,223.000,104.910,-48.5300,-2.0760,0.8600,48.5830
214.400,223.000,104.910,-48.5200,-1.9440,0.8400,48.5730
204.400,223.000,104.910,-48.4800,-1.7330,0.8000,48.5190
194.400,223.000,104.910,-48.4000,-1.5330,0.8000,48.4780
184.400,223.000,104.910,-48.3400,-1.3960,0.7700,48.3630
174.400,223.000,104.910,-48.2200,-1.2290,0.7600,48.3010
174.400,233.000,104.910,-48.1200,-1.1190,0.7500,48.1750
184.400,233.000,104.910,-48.1400,-1.0260,0.6400,48.1540
194.400,233.000,104.910,-48.2200,-1.0880,0.6300,48.1930
204.400,233.000,104.910,-48.3000,-1.1890,0.6400,48.3210
214.400,233.000,104.910,-48.4000,-1.3720,0.6700,48.3760
224.400,233.000,104.910,-48.4500,-1.4990,0.6900,48.4730
234.400,233.000,104.910,-48.4900,-1.7070,0.7300,48.5110
244.400,233.000,104.910,-48.5000,-1.8520,0.7500,48.5390
254.400,233.000,104.910,-48.4600,-2.0660,0.8000,48.5340
264.400,233.000,104.910,-48.4200,-2.2030,0.8200,48.4770
274.400,233.000,104.910,-48.3100,-2.4030,0.8600,48.4310
284.400,233.000,104.910,-48.2500,-2.5160,0.8900,48.3190
294.400,233.000,104.910,-48.0800,-2.6720,0.9400,48.1660
294.400,243.000,104.910,-48.0100,-2.7600,0.9600,48.0990
284.400,243.000,104.910,-47.8900,-2.8500,0.9000,47.9810
274.400,243.000,104.910,-48.0300,-2.8570,0.8700,48.0440
264.400,243.000,104.910,-48.1400,-2.7330,0.8100,48.2230
254.400,243.000,104.910,-48.2800,-2.5830,0.7900,48.2950
244.400,243.000,104.910,-48.3500,-2.4680,0.7600,48.4190
234.400,243.000,104.910,-48.4300,-2.2820,0.7200,48.4930
224.400,243.000,104.910,-48.4700,-2.1200,0.6800,48.5240
214.400,243.000,104.910,-48.4800,-1.9130,0.6700,48.5190
204.400,243.000,104.910,-48.4500,-1.7640,0.6200,48.4900
194.400,243.000,104.910,-48.3800,-1.5630,0.5900,48.4570
