# COSI2 B0 scan,,,,,,
# time 2024-08-22 10:48:47.627656,,,,,,
# MAGNET CENTER IN LAB: x 234.400 mm, y 233.000 mm, z 204.910 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_ball_v21_R120_12pts_speed500,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.4,233,84.91,-48.77,-2.029,0.8,48.823
254.4,273,94.91,-48.72,-2.046,0.83,48.766
244.4,273,94.91,-48.48,-2.299,0.49,48.54
234.4,273,94.91,-48.54,-2.276,0.47,48.593
224.4,273,94.91,-48.59,-1.991,0.44,48.618
214.4,273,94.91,-48.6,-1.847,0.39,48.635
204.4,263,94.91,-48.54,-1.621,0.34,48.617
214.4,263,94.91,-48.56,-1.538,0.36,48.58
224.4,263,94.91,-48.58,-1.765,0.45,48.609
234.4,263,94.91,-48.56,-1.92,0.47,48.601
244.4,263,94.91,-48.49,-2.158,0.51,48.577
254.4,263,94.91,-48.45,-2.298,0.52,48.509
264.4,263,94.91,-48.33,-2.514,0.52,48.393
274.4,253,94.91,-48.15,-2.655,0.56,48.326
264.4,253,94.91,-48.26,-2.748,0.67,48.347
254.4,253,94.91,-48.4,-2.618,0.67,48.42
244.4,253,94.91,-48.47,-2.392,0.63,48.53
234.4,253,94.91,-48.54,-2.16,0.64,48.571
224.4,253,94.91,-48.55,-1.991,0.55,48.594
214.4,253,94.91,-48.53,-1.734,0.52,48.584
204.4,253,94.91,-48.48,-1.557,0.44,48.503
194.4,253,94.91,-48.35,-1.301,0.41,48.434
194.4,243,94.91,-48.34,-1.191,0.53,48.362
204.4,243,94.91,-48.45,-1.281,0.57,48.413
214.4,243,94.91,-48.53,-1.483,0.6,48.532
224.4,243,94.91,-48.57,-1.651,0.66,48.598
234.4,243,94.91,-48.56,-1.916,0.7,48.615
