# COSI2 B0 scan
# time 2024-08-22 15:37:40.234284
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_coarse_ball_v21_R120_lcdoff
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,201.880,-48.1970,-1.9610,0.4460,48.2390
112.290,232.950,201.880,-48.1980,-1.9550,0.4480,48.2380
352.290,232.950,201.880,-48.1920,-1.9650,0.4360,48.2360
232.290,112.950,201.880,-47.7700,-1.9980,0.3200,47.8510
232.290,352.950,201.880,-47.5450,-2.0190,0.2960,47.6680
232.290,232.950,321.880,-48.6000,-1.9700,0.4610,0.0000
232.290,232.950,81.880,0.0000,0.0000,0.0000,0.0000
232.290,232.950,81.880,-48.6600,-2.0120,0.3690,48.6670
172.290,292.950,141.880,-48.8290,-2.0300,0.2960,48.8160
232.290,292.950,141.880,-48.3320,-2.0840,0.6780,48.3690
292.290,292.950,141.880,-48.3890,-2.1290,0.7180,48.4420
292.290,232.950,141.880,-48.1580,-1.7580,0.2240,48.1730
232.290,232.950,141.880,-48.2090,-1.9100,0.2720,48.2300
172.290,232.950,141.880,-47.8370,-2.5410,0.4660,47.9120
172.290,172.950,141.880,-47.8320,-2.5400,0.5770,47.9020
232.290,172.950,141.880,-48.2620,-1.8670,0.5720,48.3080
292.290,172.950,141.880,-48.2360,-1.6960,0.5420,48.2680
232.290,112.950,201.880,-48.5670,-1.7380,0.7670,48.6040
292.290,172.950,201.880,-48.6160,-1.8650,0.7720,48.6420
232.290,172.950,201.880,-48.6930,-1.9960,0.5430,48.7310
172.290,172.950,201.880,-48.7000,-1.9680,0.4400,48.7430
112.290,232.950,201.880,-48.3720,-1.9830,0.4790,48.4020
172.290,232.950,201.880,-48.4260,-1.9680,0.4490,48.4520
232.290,232.950,201.880,-47.7430,-2.0170,0.2520,47.8310
292.290,232.950,201.880,-47.4710,-2.0510,0.2350,47.6080
352.290,232.950,201.880,-48.0430,-1.9990,0.3540,48.0650
292.290,292.950,201.880,-48.1010,-1.9910,0.3830,48.1440
232.290,292.950,201.880,-47.7390,-1.9430,0.5020,47.8170
172.290,292.950,201.880,-47.6000,-1.9330,0.5040,47.6420
232.290,352.950,201.880,-47.9710,-1.9840,0.4660,48.0150
172.290,292.950,261.880,-48.0440,-1.9820,0.4430,48.0620
232.290,292.950,261.880,-48.1360,-2.0310,0.4000,48.1660
292.290,292.950,261.880,-48.1680,-2.0200,0.4220,48.2130
292.290,232.950,261.880,-48.1290,-2.3860,0.4890,48.1640
232.290,232.950,261.880,-48.2340,-2.1990,0.4840,48.2570
172.290,232.950,261.880,-48.0620,-1.3980,0.5120,48.0870
172.290,172.950,261.880,-48.0650,-1.3720,0.4360,48.0830
232.290,172.950,261.880,-48.3620,-2.2200,0.2200,48.4270
292.290,172.950,261.880,-48.2690,-2.3670,0.1880,48.3600
232.290,232.950,321.880,-48.5900,-2.2300,-0.0530,48.6410
232.290,232.950,201.880,-48.6490,-2.1130,0.0090,48.6760
112.290,232.950,201.880,-48.7370,-1.5890,0.0310,48.7430
352.290,232.950,201.880,-48.8470,-1.7160,0.1390,48.8380
232.290,112.950,201.880,-47.7610,-2.0240,0.3050,47.8050
232.290,352.950,201.880,-47.5410,-2.0430,0.2670,47.6620
232.290,232.950,321.880,-48.6000,-1.9820,0.4520,48.6270
232.290,232.950,81.880,-48.6380,-1.9670,0.4380,48.6800
