# COSI2 B0 scan
# time 2024-08-22 18:37:05.694582
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_grid_10mm_R120_overnight
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,201.880,-48.1640,-1.9410,0.4470,48.2050
112.290,232.950,201.880,-48.1540,-1.9460,0.4320,48.1980
352.290,232.950,201.880,-46.7570,-2.0010,0.5640,46.8080
232.290,112.950,201.880,-46.8860,-1.9190,0.4980,46.9290
232.290,352.950,201.880,-48.5920,-1.9260,0.4490,48.6320
232.290,232.950,321.880,-48.1330,-1.9880,0.4730,48.1770
232.290,232.950,81.880,-49.3760,-1.9860,0.3490,49.4180
232.290,232.950,81.880,-48.7910,-2.1970,0.8070,48.8490
252.290,272.950,91.880,-48.7960,-2.1970,0.8080,48.8510
242.290,272.950,91.880,-48.3850,-2.5980,0.4600,48.4570
232.290,272.950,91.880,-48.4590,-2.4280,0.4670,48.5220
222.290,272.950,91.880,-48.5220,-2.2450,0.4520,48.5760
212.290,272.950,91.880,-48.5730,-2.0660,0.4360,48.6190
202.290,262.950,91.880,-48.6030,-1.8700,0.3970,48.6410
212.290,262.950,91.880,-48.5430,-1.6090,0.3060,48.5710
222.290,262.950,91.880,-48.5690,-1.8360,0.3760,48.6060
232.290,262.950,91.880,-48.5400,-2.0510,0.4230,48.5850
242.290,262.950,91.880,-48.4910,-2.2410,0.4590,48.5440
252.290,262.950,91.880,-48.4200,-2.4330,0.4850,48.4830
262.290,262.950,91.880,-48.3230,-2.6330,0.4620,48.3960
272.290,252.950,91.880,-48.1930,-2.8040,0.4440,48.2760
262.290,252.950,91.880,-47.9190,-3.0220,0.6710,48.0190
252.290,252.950,91.880,-48.1170,-2.8360,0.6620,48.2040
242.290,252.950,91.880,-48.2800,-2.6520,0.6490,48.3570
232.290,252.950,91.880,-48.3970,-2.4420,0.6410,48.4610
222.290,252.950,91.880,-48.4630,-2.2260,0.6010,48.5180
212.290,252.950,91.880,-48.5140,-2.0290,0.5710,48.5600
202.290,252.950,91.880,-48.5240,-1.7830,0.5010,48.5590
192.290,252.950,91.880,-48.4770,-1.5490,0.4500,48.5030
192.290,242.950,91.880,-48.3740,-1.3300,0.3890,48.3930
202.290,242.950,91.880,-48.3850,-1.3140,0.5760,48.4070
212.290,242.950,91.880,-48.4860,-1.5010,0.5970,48.5100
222.290,242.950,91.880,-48.5460,-1.7540,0.6490,48.5820
232.290,242.950,91.880,-48.5510,-1.9930,0.6850,48.5970
242.290,242.950,91.880,-48.5130,-2.2080,0.7320,48.5680
252.290,242.950,91.880,-48.4570,-2.4270,0.7850,48.5230
262.290,242.950,91.880,-48.3400,-2.6440,0.8190,48.4210
272.290,242.950,91.880,-48.1880,-2.8130,0.8510,48.2780
272.290,232.950,91.880,-48.0210,-2.9620,0.9190,48.1210
262.290,232.950,91.880,-48.1310,-2.9090,0.9440,48.2280
252.290,232.950,91.880,-48.2660,-2.7890,0.9030,48.3530
242.290,232.950,91.880,-48.4040,-2.6350,0.8720,48.4830
232.290,232.950,91.880,-48.5120,-2.4100,0.8320,48.5790
222.290,232.950,91.880,-48.5730,-2.1710,0.8080,48.6280
212.290,232.950,91.880,-48.5910,-1.9610,0.7330,48.6360
202.290,232.950,91.880,-48.5820,-1.7270,0.7020,48.6170
192.290,232.950,91.880,-48.5100,-1.4870,0.6670,48.5400
192.290,222.950,91.880,-48.4090,-1.2950,0.6350,48.4320
202.290,222.950,91.880,-48.3580,-1.2540,0.7210,48.3800
212.290,222.950,91.880,-48.4760,-1.4540,0.7550,48.5040
222.290,222.950,91.880,-48.5570,-1.7070,0.7840,48.5950
232.290,222.950,91.880,-48.5820,-1.9330,0.8180,48.6270
242.290,222.950,91.880,-48.5610,-2.1570,0.8440,48.6160
252.290,222.950,91.880,-48.5050,-2.3860,0.8760,48.5700
262.290,222.950,91.880,-48.3980,-2.5930,0.9130,48.4760
272.290,222.950,91.880,-48.2520,-2.7400,0.9470,48.3380
272.290,212.950,91.880,-48.0960,-2.8850,0.9530,48.1920
262.290,212.950,91.880,-48.0630,-2.8780,1.1960,48.1640
252.290,212.950,91.880,-48.2400,-2.7220,1.1440,48.3330
242.290,212.950,91.880,-48.3960,-2.5630,1.0840,48.4750
232.290,212.950,91.880,-48.4950,-2.3550,1.0470,48.5640
222.290,212.950,91.880,-48.5610,-2.1420,1.0130,48.6190
212.290,212.950,91.880,-48.5820,-1.9250,1.0060,48.6290
202.290,212.950,91.880,-48.5540,-1.7020,0.9880,48.5950
192.290,212.950,91.880,-48.4740,-1.4660,1.0020,48.5100
202.290,202.950,91.880,-48.3450,-1.2590,1.0120,48.3710
212.290,202.950,91.880,-48.6030,-1.5220,1.2380,48.6420
222.290,202.950,91.880,-48.6590,-1.7340,1.2020,48.7050
232.290,202.950,91.880,-48.6700,-1.9420,1.1830,48.7210
242.290,202.950,91.880,-48.6430,-2.1290,1.1910,48.7020
252.290,202.950,91.880,-48.5830,-2.3180,1.2320,48.6560
262.290,202.950,91.880,-48.5070,-2.4890,1.3010,48.5870
252.290,192.950,91.880,-48.3880,-2.6400,1.4060,48.4800
242.290,192.950,91.880,-48.6590,-2.4250,1.3430,48.7370
232.290,192.950,91.880,-48.7180,-2.2810,1.2920,48.7860
222.290,192.950,91.880,-48.7600,-2.1280,1.2530,48.8230
212.290,192.950,91.880,-48.8050,-1.9570,1.2390,48.8590
212.290,172.950,101.880,-48.8050,-1.7850,1.2500,48.8520
222.290,172.950,101.880,-48.9110,-1.8300,1.3260,48.9650
232.290,172.950,101.880,-48.9060,-1.9470,1.3240,48.9630
242.290,172.950,101.880,-48.8830,-2.0630,1.3480,48.9460
252.290,172.950,101.880,-48.8450,-2.1800,1.3880,48.9120
272.290,182.950,101.880,-48.7840,-2.2890,1.4370,48.8580
262.290,182.950,101.880,-48.5180,-2.5490,1.3840,48.6070
252.290,182.950,101.880,-48.5940,-2.4350,1.3540,48.6730
242.290,182.950,101.880,-48.6620,-2.3300,1.3000,48.7360
232.290,182.950,101.880,-48.7240,-2.2080,1.2640,48.7910
222.290,182.950,101.880,-48.7640,-2.0800,1.2310,48.8230
212.290,182.950,101.880,-48.7890,-1.9460,1.2240,48.8430
202.290,182.950,101.880,-48.7900,-1.8070,1.2140,48.8390
192.290,182.950,101.880,-48.7670,-1.6610,1.2190,48.8080
182.290,192.950,101.880,-48.7280,-1.5260,1.2310,48.7700
192.290,192.950,101.880,-48.5610,-1.3500,1.2130,48.5950
202.290,192.950,101.880,-48.6170,-1.4850,1.1890,48.6520
212.290,192.950,101.880,-48.6640,-1.6380,1.1610,48.7050
222.290,192.950,101.880,-48.6970,-1.7810,1.1420,48.7430
232.290,192.950,101.880,-48.6970,-1.9430,1.1460,48.7490
242.290,192.950,101.880,-48.6750,-2.0870,1.1680,48.7330
252.290,192.950,101.880,-48.6350,-2.2310,1.1940,48.7000
262.290,192.950,101.880,-48.5790,-2.3580,1.2360,48.6500
272.290,192.950,101.880,-48.5060,-2.4660,1.2980,48.5850
282.290,192.950,101.880,-48.4320,-2.5720,1.3750,48.5210
282.290,202.950,101.880,-48.3820,-2.6570,1.4470,48.4760
272.290,202.950,101.880,-48.1870,-2.7480,1.4270,48.2860
262.290,202.950,101.880,-48.2850,-2.6410,1.3210,48.3750
252.290,202.950,101.880,-48.3830,-2.5290,1.2260,48.4620
242.290,202.950,101.880,-48.4700,-2.3970,1.1660,48.5470
232.290,202.950,101.880,-48.5390,-2.2470,1.1200,48.6050
222.290,202.950,101.880,-48.5840,-2.0880,1.0850,48.6410
