# COSI2 B0 scan,,,,,,
# time 2024-08-22 18:37:05.694582,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_grid_10mm_R120_overnight,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,-48.796,-2.197,0.808,48.851
252.29,272.95,91.88,-48.385,-2.598,0.46,48.457
242.29,272.95,91.88,-48.459,-2.428,0.467,48.522
232.29,272.95,91.88,-48.522,-2.245,0.452,48.576
222.29,272.95,91.88,-48.573,-2.066,0.436,48.619
212.29,272.95,91.88,-48.603,-1.87,0.397,48.641
202.29,262.95,91.88,-48.543,-1.609,0.306,48.571
212.29,262.95,91.88,-48.569,-1.836,0.376,48.606
222.29,262.95,91.88,-48.54,-2.051,0.423,48.585
232.29,262.95,91.88,-48.491,-2.241,0.459,48.544
242.29,262.95,91.88,-48.42,-2.433,0.485,48.483
252.29,262.95,91.88,-48.323,-2.633,0.462,48.396
262.29,262.95,91.88,-48.193,-2.804,0.444,48.276
272.29,252.95,91.88,-47.919,-3.022,0.671,48.019
262.29,252.95,91.88,-48.117,-2.836,0.662,48.204
252.29,252.95,91.88,-48.28,-2.652,0.649,48.357
242.29,252.95,91.88,-48.397,-2.442,0.641,48.461
232.29,252.95,91.88,-48.463,-2.226,0.601,48.518
222.29,252.95,91.88,-48.514,-2.029,0.571,48.56
212.29,252.95,91.88,-48.524,-1.783,0.501,48.559
202.29,252.95,91.88,-48.477,-1.549,0.45,48.503
192.29,252.95,91.88,-48.374,-1.33,0.389,48.393
192.29,242.95,91.88,-48.385,-1.314,0.576,48.407
202.29,242.95,91.88,-48.486,-1.501,0.597,48.51
212.29,242.95,91.88,-48.546,-1.754,0.649,48.582
222.29,242.95,91.88,-48.551,-1.993,0.685,48.597
232.29,242.95,91.88,-48.513,-2.208,0.732,48.568
242.29,242.95,91.88,-48.457,-2.427,0.785,48.523
252.29,242.95,91.88,-48.34,-2.644,0.819,48.421
