# COSI2 B0 scan
# time 2024-08-22 14:57:51.915814
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_v21_every_second_point_R120_atmpt2
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,201.880,-48.2000,-1.9800,0.4100,48.2390
112.290,232.950,201.880,-48.2000,-1.9840,0.4000,48.2430
352.290,232.950,201.880,0.0000,0.0000,0.0000,0.0000
232.290,112.950,201.880,0.0000,0.0000,0.0000,0.0000
232.290,352.950,201.880,-47.8900,-2.0020,0.3000,47.9320
232.290,232.950,321.880,-47.8600,-1.9460,0.4900,47.8970
232.290,232.950,81.880,-48.5700,-1.9660,0.4600,48.5630
232.290,232.950,81.880,0.0000,0.0000,0.0000,0.0000
212.290,292.950,101.880,-48.1500,-1.9950,0.4100,48.1840
232.290,292.950,101.880,-48.5800,-1.9810,0.3900,48.5500
252.290,292.950,101.880,-48.3000,-2.0400,0.6100,48.3460
272.290,272.950,101.880,-48.6300,-2.1930,0.7400,48.6880
252.290,272.950,101.880,-48.5700,-2.0910,0.3700,48.6170
232.290,272.950,101.880,-48.4900,-2.0220,0.3300,48.5300
212.290,272.950,101.880,-48.4400,-1.9910,0.1600,48.4820
192.290,272.950,101.880,-48.3000,-2.2900,0.1500,48.3580
172.290,252.950,101.880,-48.1700,-2.4700,0.3200,48.2330
192.290,252.950,101.880,-48.1500,-2.6900,0.4100,48.2300
212.290,252.950,101.880,-48.3200,-2.6330,0.4000,48.3890
232.290,252.950,101.880,-48.4700,-2.1460,0.3400,48.5140
252.290,252.950,101.880,-48.4400,-1.7460,0.2600,48.4700
272.290,252.950,101.880,-48.2500,-1.5370,0.2100,48.3730
292.290,252.950,101.880,-48.2200,-1.2530,0.3000,48.2320
292.290,232.950,101.880,-48.3800,-1.2940,0.3800,48.3960
272.290,232.950,101.880,-48.4700,-1.6640,0.4800,48.4440
252.290,232.950,101.880,-48.3800,-1.9130,0.5400,48.4570
232.290,232.950,101.880,-48.2200,-2.4000,0.5800,48.2810
212.290,232.950,101.880,-47.8600,-2.8090,0.6000,47.9470
192.290,232.950,101.880,-47.6900,-2.9480,0.7300,47.7850
172.290,232.950,101.880,-47.9200,-2.9940,0.9100,48.0210
172.290,212.950,101.880,-48.1500,-2.8960,0.8300,48.2430
192.290,212.950,101.880,-48.4000,-2.5640,0.7600,48.4270
212.290,212.950,101.880,-48.5000,-2.3460,0.7100,48.5580
232.290,212.950,101.880,-48.4500,-1.9020,0.6300,48.4940
252.290,212.950,101.880,-48.2600,-1.4190,0.5700,48.2840
272.290,212.950,101.880,-48.1700,-1.2450,0.6100,48.1900
292.290,212.950,101.880,-48.2500,-1.1430,0.8700,48.1800
272.290,192.950,101.880,-48.4200,-1.2550,0.8700,48.4440
252.290,192.950,101.880,-48.5600,-1.6900,0.8800,48.5500
232.290,192.950,101.880,-48.5300,-1.9320,0.9000,48.5760
212.290,192.950,101.880,-48.2700,-2.5120,1.0500,48.3470
192.290,192.950,101.880,-47.9300,-2.8250,1.1900,48.0280
212.290,172.950,101.880,-48.1400,-2.8760,1.3400,48.2480
232.290,172.950,101.880,-48.5000,-2.6570,1.2500,48.5560
252.290,172.950,101.880,-48.6700,-2.4990,1.1600,48.6950
212.290,152.950,121.880,-48.7200,-2.0490,1.0700,48.7790
232.290,152.950,121.880,-48.6300,-1.7350,1.1200,48.6780
252.290,152.950,121.880,-48.8300,-1.6420,1.1500,48.7980
272.290,152.950,121.880,-48.8100,-2.1770,1.3200,48.9040
292.290,172.950,121.880,-48.9700,-2.2420,1.2300,49.0320
272.290,172.950,121.880,-49.0500,-2.0290,0.9800,49.0880
252.290,172.950,121.880,-49.0300,-1.9520,0.9000,49.0730
232.290,172.950,121.880,-49.0000,-2.0720,0.9800,49.0560
212.290,172.950,121.880,-48.9400,-2.2100,1.1000,49.0250
192.290,172.950,121.880,-48.7600,-2.3060,1.2700,48.8260
172.290,172.950,121.880,-48.5300,-2.5080,1.2600,48.5330
152.290,192.950,121.880,-48.6500,-2.4920,1.1600,48.7300
172.290,192.950,121.880,-48.7600,-2.2430,1.0600,48.7970
192.290,192.950,121.880,-48.8100,-2.1240,0.9900,48.8620
212.290,192.950,121.880,-48.7700,-1.7840,0.9700,48.8130
232.290,192.950,121.880,-48.6600,-1.5900,1.0400,48.7460
252.290,192.950,121.880,-48.4300,-1.4610,0.9800,48.4590
272.290,192.950,121.880,-48.3000,-1.2730,0.9400,48.2730
292.290,192.950,121.880,-48.4300,-1.3090,0.9200,48.4560
312.290,192.950,121.880,-48.5600,-1.5860,0.9000,48.5550
312.290,212.950,121.880,-48.6000,-1.7340,0.8900,48.6360
292.290,212.950,121.880,-48.5800,-1.8830,0.9300,48.6330
272.290,212.950,121.880,-48.4900,-2.1750,1.0000,48.5490
252.290,212.950,121.880,-48.3300,-2.4460,1.1200,48.4000
232.290,212.950,121.880,-48.1300,-2.6800,1.2000,48.2580
212.290,212.950,121.880,-47.9600,-2.8010,1.2700,48.0560
192.290,212.950,121.880,-47.8800,-2.8880,1.0700,47.8970
172.290,212.950,121.880,-48.0700,-2.8330,0.9900,48.1650
152.290,212.950,121.880,-48.2800,-2.6780,0.9300,48.3070
152.290,232.950,121.880,-48.3800,-2.3940,0.8500,48.4480
172.290,232.950,121.880,-48.4400,-2.2400,0.7900,48.4990
192.290,232.950,121.880,-48.4200,-1.9110,0.7500,48.4600
212.290,232.950,121.880,-48.2900,-1.5810,0.7500,48.3180
232.290,232.950,121.880,-48.0800,-1.4240,0.7600,48.1690
252.290,232.950,121.880,-47.9700,-1.1820,0.6600,47.9910
272.290,232.950,121.880,-47.9400,-1.1190,0.5500,47.9560
292.290,232.950,121.880,-48.1700,-1.2130,0.5400,48.1850
312.290,232.950,121.880,-48.2800,-1.3820,0.5700,48.3050
312.290,252.950,121.880,-48.3700,-1.7630,0.6200,48.3820
292.290,252.950,121.880,-48.3500,-1.9420,0.6600,48.3880
272.290,252.950,121.880,-48.2100,-2.2910,0.7300,48.2720
252.290,252.950,121.880,-47.9000,-2.6640,0.8100,47.9820
232.290,252.950,121.880,-47.9000,-2.6640,0.8100,47.9820
212.290,252.950,121.880,-47.6300,-2.8680,0.8000,47.7720
192.290,252.950,121.880,-47.6200,-2.9310,0.6100,47.7170
172.290,252.950,121.880,-47.8900,-2.7990,0.6000,47.9020
152.290,252.950,121.880,-48.0800,-2.6720,0.5900,48.1550
152.290,272.950,121.880,-48.2600,-2.3870,0.5500,48.2760
172.290,272.950,121.880,-48.3200,-2.2240,0.5100,48.3710
192.290,272.950,121.880,-48.3000,-1.8720,0.4500,48.3400
212.290,272.950,121.880,-48.1700,-1.5600,0.4000,48.2490
232.290,272.950,121.880,-48.0100,-1.3790,0.3300,48.0350
252.290,272.950,121.880,-47.9200,-1.1040,0.2500,47.9150
272.290,272.950,121.880,-48.0000,-1.0930,0.1300,48.0150
292.290,272.950,121.880,-48.1900,-1.2040,0.1900,48.1480
312.290,272.950,121.880,-48.2800,-1.5070,0.2800,48.3070
292.290,292.950,121.880,-48.3200,-1.6750,0.3400,48.3420
272.290,292.950,121.880,-48.2800,-2.0120,0.3800,48.3240
252.290,292.950,121.880,-48.1300,-2.3310,0.4100,48.2280
232.290,292.950,121.880,-47.8300,-2.5850,0.4300,47.9690
212.290,292.950,121.880,-47.6800,-2.7560,0.4600,47.7660
192.290,292.950,121.880,-47.7400,-2.8120,0.4200,47.7750
172.290,292.950,121.880,-47.9400,-2.7890,0.2100,48.0240
212.290,312.950,121.880,-48.1100,-2.6770,0.2400,48.1830
232.290,312.950,121.880,-48.2800,-2.4130,0.2600,48.3400
