# COSI2 B0 scan,,,,,,
# time 2024-08-22 14:57:51.915814,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/240822_v21_every_second_point_R120_atmpt2,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,-48.15,-1.995,0.41,48.184
212.29,292.95,101.88,-48.15,-1.995,0.41,48.184
232.29,292.95,101.88,-48.58,-1.981,0.39,48.55
252.29,292.95,101.88,-48.3,-2.04,0.61,48.346
272.29,272.95,101.88,-48.63,-2.193,0.74,48.688
252.29,272.95,101.88,-48.57,-2.091,0.37,48.617
232.29,272.95,101.88,-48.49,-2.022,0.33,48.53
212.29,272.95,101.88,-48.44,-1.991,0.16,48.482
192.29,272.95,101.88,-48.3,-2.29,0.15,48.358
172.29,252.95,101.88,-48.17,-2.47,0.32,48.233
192.29,252.95,101.88,-48.15,-2.69,0.41,48.23
212.29,252.95,101.88,-48.32,-2.633,0.4,48.389
232.29,252.95,101.88,-48.47,-2.146,0.34,48.514
252.29,252.95,101.88,-48.44,-1.746,0.26,48.47
272.29,252.95,101.88,-48.25,-1.537,0.21,48.373
292.29,252.95,101.88,-48.22,-1.253,0.3,48.232
292.29,232.95,101.88,-48.38,-1.294,0.38,48.396
272.29,232.95,101.88,-48.47,-1.664,0.48,48.444
252.29,232.95,101.88,-48.38,-1.913,0.54,48.457
232.29,232.95,101.88,-48.22,-2.4,0.58,48.281
212.29,232.95,101.88,-47.86,-2.809,0.6,47.947
192.29,232.95,101.88,-47.69,-2.948,0.73,47.785
172.29,232.95,101.88,-47.92,-2.994,0.91,48.021
172.29,212.95,101.88,-48.15,-2.896,0.83,48.243
192.29,212.95,101.88,-48.4,-2.564,0.76,48.427
212.29,212.95,101.88,-48.5,-2.346,0.71,48.558
232.29,212.95,101.88,-48.45,-1.902,0.63,48.494
252.29,212.95,101.88,-48.26,-1.419,0.57,48.284
272.29,212.95,101.88,-48.17,-1.245,0.61,48.19
292.29,212.95,101.88,-48.25,-1.143,0.87,48.18
272.29,192.95,101.88,-48.42,-1.255,0.87,48.444
252.29,192.95,101.88,-48.56,-1.69,0.88,48.55
232.29,192.95,101.88,-48.53,-1.932,0.9,48.576
212.29,192.95,101.88,-48.27,-2.512,1.05,48.347
192.29,192.95,101.88,-47.93,-2.825,1.19,48.028
212.29,172.95,101.88,-48.14,-2.876,1.34,48.248
232.29,172.95,101.88,-48.5,-2.657,1.25,48.556
252.29,172.95,101.88,-48.67,-2.499,1.16,48.695
212.29,152.95,121.88,-48.72,-2.049,1.07,48.779
232.29,152.95,121.88,-48.63,-1.735,1.12,48.678
252.29,152.95,121.88,-48.83,-1.642,1.15,48.798
272.29,152.95,121.88,-48.81,-2.177,1.32,48.904
292.29,172.95,121.88,-48.97,-2.242,1.23,49.032
272.29,172.95,121.88,-49.05,-2.029,0.98,49.088
252.29,172.95,121.88,-49.03,-1.952,0.9,49.073
232.29,172.95,121.88,-49,-2.072,0.98,49.056
212.29,172.95,121.88,-48.94,-2.21,1.1,49.025
192.29,172.95,121.88,-48.76,-2.306,1.27,48.826
172.29,172.95,121.88,-48.53,-2.508,1.26,48.533
152.29,192.95,121.88,-48.65,-2.492,1.16,48.73
172.29,192.95,121.88,-48.76,-2.243,1.06,48.797
192.29,192.95,121.88,-48.81,-2.124,0.99,48.862
212.29,192.95,121.88,-48.77,-1.784,0.97,48.813
232.29,192.95,121.88,-48.66,-1.59,1.04,48.746
252.29,192.95,121.88,-48.43,-1.461,0.98,48.459
272.29,192.95,121.88,-48.3,-1.273,0.94,48.273
292.29,192.95,121.88,-48.43,-1.309,0.92,48.456
312.29,192.95,121.88,-48.56,-1.586,0.9,48.555
312.29,212.95,121.88,-48.6,-1.734,0.89,48.636
292.29,212.95,121.88,-48.58,-1.883,0.93,48.633
272.29,212.95,121.88,-48.49,-2.175,1,48.549
252.29,212.95,121.88,-48.33,-2.446,1.12,48.4
232.29,212.95,121.88,-48.13,-2.68,1.2,48.258
212.29,212.95,121.88,-47.96,-2.801,1.27,48.056
192.29,212.95,121.88,-47.88,-2.888,1.07,47.897
172.29,212.95,121.88,-48.07,-2.833,0.99,48.165
152.29,212.95,121.88,-48.28,-2.678,0.93,48.307
152.29,232.95,121.88,-48.38,-2.394,0.85,48.448
172.29,232.95,121.88,-48.44,-2.24,0.79,48.499
192.29,232.95,121.88,-48.42,-1.911,0.75,48.46
212.29,232.95,121.88,-48.29,-1.581,0.75,48.318
232.29,232.95,121.88,-48.08,-1.424,0.76,48.169
252.29,232.95,121.88,-47.97,-1.182,0.66,47.991
272.29,232.95,121.88,-47.94,-1.119,0.55,47.956
292.29,232.95,121.88,-48.17,-1.213,0.54,48.185
312.29,232.95,121.88,-48.28,-1.382,0.57,48.305
312.29,252.95,121.88,-48.37,-1.763,0.62,48.382
292.29,252.95,121.88,-48.35,-1.942,0.66,48.388
272.29,252.95,121.88,-48.21,-2.291,0.73,48.272
252.29,252.95,121.88,-47.9,-2.664,0.81,47.982
232.29,252.95,121.88,-47.9,-2.664,0.81,47.982
212.29,252.95,121.88,-47.63,-2.868,0.8,47.772
192.29,252.95,121.88,-47.62,-2.931,0.61,47.717
172.29,252.95,121.88,-47.89,-2.799,0.6,47.902
152.29,252.95,121.88,-48.08,-2.672,0.59,48.155
152.29,272.95,121.88,-48.26,-2.387,0.55,48.276
172.29,272.95,121.88,-48.32,-2.224,0.51,48.371
192.29,272.95,121.88,-48.3,-1.872,0.45,48.34
212.29,272.95,121.88,-48.17,-1.56,0.4,48.249
232.29,272.95,121.88,-48.01,-1.379,0.33,48.035
252.29,272.95,121.88,-47.92,-1.104,0.25,47.915
272.29,272.95,121.88,-48,-1.093,0.13,48.015
292.29,272.95,121.88,-48.19,-1.204,0.19,48.148
312.29,272.95,121.88,-48.28,-1.507,0.28,48.307
292.29,292.95,121.88,-48.32,-1.675,0.34,48.342
272.29,292.95,121.88,-48.28,-2.012,0.38,48.324
252.29,292.95,121.88,-48.13,-2.331,0.41,48.228
232.29,292.95,121.88,-47.83,-2.585,0.43,47.969
