# COSI2 B0 scan
# time 2024-08-23 12:15:57.369427
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: x
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
-120.00,-120.00,-120.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-108.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-96.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-84.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-72.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-60.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-48.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-36.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-24.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,-12.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,nan,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,12.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,24.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,36.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,48.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,60.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,72.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,84.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,96.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,108.00,0.0000,0.0000,0.0000,0.0000
-120.00,-120.00,120.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-120.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-108.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-96.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-84.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-72.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-60.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-48.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-36.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-24.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,-12.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,nan,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,12.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,24.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,36.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,48.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,60.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,72.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,84.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,96.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,108.00,0.0000,0.0000,0.0000,0.0000
-120.00,-108.00,120.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-120.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-108.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-96.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-84.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-72.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-60.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-48.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-36.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-24.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,-12.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,nan,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,12.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,24.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,36.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,48.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,60.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,72.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,84.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,96.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,108.00,0.0000,0.0000,0.0000,0.0000
-120.00,-96.00,120.00,0.0000,0.0000,0.0000,0.0000
-120.00,-84.00,-120.00,0.0000,0.0000,0.0000,0.0000
-120.00,-84.00,-108.00,0.0000,0.0000,0.0000,0.0000
-120.00,-84.00,-96.00,0.0000,0.0000,0.0000,0.0000
-120.00,-84.00,-84.00,0.0000,0.0000,0.0000,0.0000
-120.00,-84.00,-72.00,0.0000,0.0000,0.0000,0.0000
-120.00,-84.00,-60.00,0.0000,0.0000,0.0000,0.0000
-120.00,-84.00,-48.00,0.0000,0.0000,0.0000,0.0000
