# COSI2 B0 scan
# time 2024-08-20 17:03:35.212639
# MAGNET CENTER IN LAB: x 234.400 mm, y 233.000 mm, z 204.900 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/ball_v2p1_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.400,233.000,84.910,3.4600,-48.9710,2.3000,49.1480
254.400,273.000,94.910,3.4600,-48.9750,2.3000,49.1510
244.400,273.000,94.910,3.6800,-48.7820,2.2700,48.9700
234.400,273.000,94.910,3.8400,-48.6050,1.9200,48.7940
224.400,273.000,94.910,3.6100,-48.6950,1.9300,48.8670
214.400,273.000,94.910,3.3500,-48.7570,1.9200,48.9100
204.400,263.000,94.910,3.1700,-48.7910,1.8900,48.9300
214.400,263.000,94.910,2.9700,-48.7860,1.8400,48.9110
224.400,263.000,94.910,3.0600,-48.7680,1.8800,48.9000
234.400,263.000,94.910,3.2900,-48.7630,1.9200,48.9110
244.400,263.000,94.910,3.4700,-48.7260,1.9500,48.8880
254.400,263.000,94.910,3.6600,-48.6630,1.9500,48.8390
264.400,263.000,94.910,3.8500,-48.5850,1.9400,48.7760
274.400,253.000,94.910,4.0400,-48.4670,1.9100,48.6720
264.400,253.000,94.910,4.1900,-48.2850,2.0200,48.5080
254.400,253.000,94.910,4.0900,-48.3250,2.1000,48.5430
244.400,253.000,94.910,3.9100,-48.4860,2.1100,48.6890
234.400,253.000,94.910,3.7100,-48.6050,2.1000,48.7920
224.400,253.000,94.910,3.5100,-48.6780,2.0800,48.8490
214.400,253.000,94.910,3.3100,-48.7190,2.0500,48.8740
204.400,253.000,94.910,3.0800,-48.7380,2.0100,48.8770
194.400,253.000,94.910,2.8400,-48.6960,1.9600,48.8190
194.400,243.000,94.910,2.6300,-48.6080,1.9000,48.7160
204.400,243.000,94.910,2.5900,-48.5760,2.0400,48.6870
214.400,243.000,94.910,2.7600,-48.6570,2.0900,48.7800
224.400,243.000,94.910,2.9800,-48.7300,2.1200,48.8670
234.400,243.000,94.910,3.2100,-48.7550,2.1500,48.9080
244.400,243.000,94.910,3.4400,-48.7400,2.2000,48.9110
254.400,243.000,94.910,3.6500,-48.6920,2.2400,48.8870
264.400,243.000,94.910,3.8600,-48.5960,2.2500,48.8120
274.400,243.000,94.910,4.0400,-48.4590,2.2800,48.6970
274.400,233.000,94.910,4.1900,-48.3120,2.3200,48.5660
264.400,233.000,94.910,4.1700,-48.3430,2.3800,48.5700
254.400,233.000,94.910,4.0500,-48.4570,2.3600,48.6630
244.400,233.000,94.910,3.8900,-48.5920,2.3300,48.7880
234.400,233.000,94.910,3.6800,-48.6990,2.3000,48.8840
224.400,233.000,94.910,3.4700,-48.7640,2.2700,48.9340
214.400,233.000,94.910,3.2500,-48.7850,2.2400,48.9410
204.400,233.000,94.910,3.0100,-48.7770,2.2100,48.9250
194.400,233.000,94.910,2.7600,-48.7240,2.1800,48.8620
194.400,223.000,94.910,2.5800,-48.6300,2.1500,48.7560
204.400,223.000,94.910,2.5400,-48.5790,2.2200,48.7040
214.400,223.000,94.910,2.7000,-48.6500,2.2600,48.7760
224.400,223.000,94.910,2.9300,-48.7300,2.2600,48.8690
234.400,223.000,94.910,3.1500,-48.7790,2.3200,48.9340
244.400,223.000,94.910,3.3800,-48.7770,2.3200,48.9470
254.400,223.000,94.910,3.5900,-48.7380,2.3400,48.9240
264.400,223.000,94.910,3.7900,-48.6540,2.3700,48.8580
