# COSI2 B0 scan,,,,,,
# time 2024-08-20 17:03:35.212639,,,,,,
# MAGNET CENTER IN LAB: x 234.400 mm, y 233.000 mm, z 204.900 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240820/ball_v2p1_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.4,233,84.91,3.46,-48.975,2.3,49.151
254.4,273,94.91,3.68,-48.782,2.27,48.97
244.4,273,94.91,3.84,-48.605,1.92,48.794
234.4,273,94.91,3.61,-48.695,1.93,48.867
224.4,273,94.91,3.35,-48.757,1.92,48.91
214.4,273,94.91,3.17,-48.791,1.89,48.93
204.4,263,94.91,2.97,-48.786,1.84,48.911
214.4,263,94.91,3.06,-48.768,1.88,48.9
224.4,263,94.91,3.29,-48.763,1.92,48.911
234.4,263,94.91,3.47,-48.726,1.95,48.888
244.4,263,94.91,3.66,-48.663,1.95,48.839
254.4,263,94.91,3.85,-48.585,1.94,48.776
264.4,263,94.91,4.04,-48.467,1.91,48.672
274.4,253,94.91,4.19,-48.285,2.02,48.508
264.4,253,94.91,4.09,-48.325,2.1,48.543
254.4,253,94.91,3.91,-48.486,2.11,48.689
244.4,253,94.91,3.71,-48.605,2.1,48.792
234.4,253,94.91,3.51,-48.678,2.08,48.849
224.4,253,94.91,3.31,-48.719,2.05,48.874
214.4,253,94.91,3.08,-48.738,2.01,48.877
204.4,253,94.91,2.84,-48.696,1.96,48.819
194.4,253,94.91,2.63,-48.608,1.9,48.716
194.4,243,94.91,2.59,-48.576,2.04,48.687
204.4,243,94.91,2.76,-48.657,2.09,48.78
214.4,243,94.91,2.98,-48.73,2.12,48.867
224.4,243,94.91,3.21,-48.755,2.15,48.908
234.4,243,94.91,3.44,-48.74,2.2,48.911
244.4,243,94.91,3.65,-48.692,2.24,48.887
254.4,243,94.91,3.86,-48.596,2.25,48.812
264.4,243,94.91,4.04,-48.459,2.28,48.697
274.4,243,94.91,4.19,-48.312,2.32,48.566
274.4,233,94.91,4.17,-48.343,2.38,48.57
264.4,233,94.91,4.05,-48.457,2.36,48.663
254.4,233,94.91,3.89,-48.592,2.33,48.788
244.4,233,94.91,3.68,-48.699,2.3,48.884
234.4,233,94.91,3.47,-48.764,2.27,48.934
224.4,233,94.91,3.25,-48.785,2.24,48.941
214.4,233,94.91,3.01,-48.777,2.21,48.925
204.4,233,94.91,2.76,-48.724,2.18,48.862
194.4,233,94.91,2.58,-48.63,2.15,48.756
194.4,223,94.91,2.54,-48.579,2.22,48.704
204.4,223,94.91,2.7,-48.65,2.26,48.776
