# COSI2 B0 scan
# time 2024-08-23 16:42:50.947248
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_BACK
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,81.880,-48.8000,-2.2890,0.8060,48.8010
172.290,292.950,141.880,-48.8680,-2.2810,0.8240,48.9290
232.290,292.950,141.880,-48.1340,-1.5920,0.1960,48.1590
292.290,292.950,141.880,-48.2710,-2.0970,0.3600,48.3160
292.290,232.950,141.880,-47.8850,-2.5410,0.3850,47.9530
232.290,232.950,141.880,-47.9040,-2.5670,0.7790,47.9790
172.290,232.950,141.880,-48.3080,-2.0720,0.6530,48.3560
172.290,172.950,141.880,-48.1190,-1.5150,0.5400,48.1480
232.290,172.950,141.880,-48.5600,-1.6230,0.8070,48.5940
292.290,172.950,141.880,-48.6950,-2.0260,0.8460,48.7450
232.290,112.950,201.880,-48.4280,-2.4140,1.1030,48.4990
292.290,172.950,201.880,77.5190,45.5430,-29.7820,78.9080
232.290,172.950,201.880,-48.3070,-1.9670,0.5150,48.3500
172.290,172.950,201.880,-48.5360,-1.9590,0.4590,48.5790
112.290,232.950,201.880,-48.3590,-1.9620,0.3560,48.4000
172.290,232.950,201.880,-47.0180,-2.0740,0.2950,47.0640
232.290,232.950,201.880,-48.0060,-1.9850,0.3670,48.0480
292.290,232.950,201.880,-48.2380,-1.9600,0.4700,48.2810
352.290,232.950,201.880,-47.9160,-1.9250,0.5440,47.9600
292.290,292.950,201.880,-46.8880,-1.9100,0.4950,46.9320
232.290,292.950,201.880,-47.8650,-1.9260,0.5370,47.9070
172.290,292.950,201.880,-48.1770,-1.9720,0.4600,48.2190
232.290,352.950,201.880,-47.9680,-2.0050,0.3810,48.0130
172.290,292.950,261.880,-48.2140,-1.9810,0.4930,48.2560
232.290,292.950,261.880,-48.0780,-2.5110,0.5470,48.1460
292.290,292.950,261.880,-48.4080,-1.9070,0.5060,48.4480
292.290,232.950,261.880,-48.0890,-1.3690,0.6490,48.1140
232.290,232.950,261.880,-48.1040,-1.2930,0.3290,48.1220
172.290,232.950,261.880,-48.4630,-1.9180,0.2940,48.5020
172.290,172.950,261.880,-48.0840,-2.5340,0.1630,48.1510
232.290,172.950,261.880,-48.5910,-2.3060,-0.1080,48.6480
292.290,172.950,261.880,-48.7750,-1.9110,0.1130,48.8120
232.290,232.950,321.880,-48.5160,-1.5190,0.0310,48.5400
