# COSI2 B0 scan,,,,,,
# time 2024-08-23 16:42:50.947248,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_BACK,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,-48.868,-2.281,0.824,48.929
172.29,292.95,141.88,-48.134,-1.592,0.196,48.159
232.29,292.95,141.88,-48.271,-2.097,0.36,48.316
292.29,292.95,141.88,-47.885,-2.541,0.385,47.953
292.29,232.95,141.88,-47.904,-2.567,0.779,47.979
232.29,232.95,141.88,-48.308,-2.072,0.653,48.356
172.29,232.95,141.88,-48.119,-1.515,0.54,48.148
172.29,172.95,141.88,-48.56,-1.623,0.807,48.594
232.29,172.95,141.88,-48.695,-2.026,0.846,48.745
292.29,172.95,141.88,-48.428,-2.414,1.103,48.499
232.29,112.95,201.88,77.519,45.543,-29.782,78.908
292.29,172.95,201.88,-48.307,-1.967,0.515,48.35
232.29,172.95,201.88,-48.536,-1.959,0.459,48.579
172.29,172.95,201.88,-48.359,-1.962,0.356,48.4
112.29,232.95,201.88,-47.018,-2.074,0.295,47.064
172.29,232.95,201.88,-48.006,-1.985,0.367,48.048
232.29,232.95,201.88,-48.238,-1.96,0.47,48.281
292.29,232.95,201.88,-47.916,-1.925,0.544,47.96
352.29,232.95,201.88,-46.888,-1.91,0.495,46.932
292.29,292.95,201.88,-47.865,-1.926,0.537,47.907
232.29,292.95,201.88,-48.177,-1.972,0.46,48.219
172.29,292.95,201.88,-47.968,-2.005,0.381,48.013
232.29,352.95,201.88,-48.214,-1.981,0.493,48.256
172.29,292.95,261.88,-48.078,-2.511,0.547,48.146
232.29,292.95,261.88,-48.408,-1.907,0.506,48.448
292.29,292.95,261.88,-48.089,-1.369,0.649,48.114
292.29,232.95,261.88,-48.104,-1.293,0.329,48.122
232.29,232.95,261.88,-48.463,-1.918,0.294,48.502
172.29,232.95,261.88,-48.084,-2.534,0.163,48.151
172.29,172.95,261.88,-48.591,-2.306,-0.108,48.648
232.29,172.95,261.88,-48.775,-1.911,0.113,48.812
292.29,172.95,261.88,-48.516,-1.519,0.031,48.54
