# COSI2 B0 scan
# time 2024-08-23 16:47:01.590177
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_BOTTOM
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,81.880,-48.8690,-2.3120,0.8230,48.9280
172.290,292.950,141.880,16.4370,-15.2340,-84.9240,87.8310
232.290,292.950,141.880,-48.1480,-1.5810,0.2110,48.1750
292.290,292.950,141.880,-48.2620,-2.0850,0.3550,48.3070
292.290,232.950,141.880,-47.8750,-2.5640,0.3900,47.9430
232.290,232.950,141.880,-47.8960,-2.5790,0.7930,47.9740
172.290,232.950,141.880,-48.3090,-2.0790,0.6470,48.3580
172.290,172.950,141.880,-48.1260,-1.5190,0.5570,48.1540
232.290,172.950,141.880,-48.5690,-1.6230,0.8090,48.6020
292.290,172.950,141.880,-48.6960,-2.0400,0.8570,48.7470
232.290,112.950,201.880,-48.4180,-2.4130,1.1150,48.4910
292.290,172.950,201.880,-48.6690,-1.9350,0.4560,48.7120
232.290,172.950,201.880,-48.3020,-1.9670,0.5280,48.3450
172.290,172.950,201.880,-48.5300,-1.9630,0.4550,48.5730
112.290,232.950,201.880,-48.3610,-1.9620,0.3500,48.4040
172.290,232.950,201.880,-47.0250,-2.0890,0.2980,47.0720
232.290,232.950,201.880,-48.0000,-2.0030,0.3750,48.0450
292.290,232.950,201.880,-48.2370,-1.9710,0.4720,48.2790
352.290,232.950,201.880,-47.9110,-1.9490,0.5350,47.9520
292.290,292.950,201.880,-46.8750,-1.9250,0.4900,46.9150
232.290,292.950,201.880,-47.8600,-1.9450,0.5390,47.9030
172.290,292.950,201.880,-48.1730,-1.9890,0.4590,48.2150
232.290,352.950,201.880,-47.9670,-2.0180,0.3850,48.0120
172.290,292.950,261.880,-48.2060,-1.9980,0.4820,48.2500
232.290,292.950,261.880,-48.0780,-2.5290,0.5430,48.1480
292.290,292.950,261.880,-48.3970,-1.9340,0.5280,48.4380
292.290,232.950,261.880,-48.0830,-1.3980,0.6510,48.1080
232.290,232.950,261.880,-48.0950,-1.3200,0.3330,48.1120
172.290,232.950,261.880,-48.4560,-1.9210,0.2930,48.4950
172.290,172.950,261.880,-48.0860,-2.5380,0.1570,48.1510
232.290,172.950,261.880,-48.5910,-2.3210,-0.1160,48.6460
292.290,172.950,261.880,-48.7670,-1.9170,0.1150,48.8050
232.290,232.950,321.880,-48.5110,-1.5350,0.0210,48.5340
