# COSI2 B0 scan,,,,,,
# time 2024-08-23 16:47:01.590177,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_BOTTOM,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,16.437,-15.234,-84.924,87.831
172.29,292.95,141.88,-48.148,-1.581,0.211,48.175
232.29,292.95,141.88,-48.262,-2.085,0.355,48.307
292.29,292.95,141.88,-47.875,-2.564,0.39,47.943
292.29,232.95,141.88,-47.896,-2.579,0.793,47.974
232.29,232.95,141.88,-48.309,-2.079,0.647,48.358
172.29,232.95,141.88,-48.126,-1.519,0.557,48.154
172.29,172.95,141.88,-48.569,-1.623,0.809,48.602
232.29,172.95,141.88,-48.696,-2.04,0.857,48.747
292.29,172.95,141.88,-48.418,-2.413,1.115,48.491
232.29,112.95,201.88,-48.669,-1.935,0.456,48.712
292.29,172.95,201.88,-48.302,-1.967,0.528,48.345
232.29,172.95,201.88,-48.53,-1.963,0.455,48.573
172.29,172.95,201.88,-48.361,-1.962,0.35,48.404
112.29,232.95,201.88,-47.025,-2.089,0.298,47.072
172.29,232.95,201.88,-48,-2.003,0.375,48.045
232.29,232.95,201.88,-48.237,-1.971,0.472,48.279
292.29,232.95,201.88,-47.911,-1.949,0.535,47.952
352.29,232.95,201.88,-46.875,-1.925,0.49,46.915
292.29,292.95,201.88,-47.86,-1.945,0.539,47.903
232.29,292.95,201.88,-48.173,-1.989,0.459,48.215
172.29,292.95,201.88,-47.967,-2.018,0.385,48.012
232.29,352.95,201.88,-48.206,-1.998,0.482,48.25
172.29,292.95,261.88,-48.078,-2.529,0.543,48.148
232.29,292.95,261.88,-48.397,-1.934,0.528,48.438
292.29,292.95,261.88,-48.083,-1.398,0.651,48.108
292.29,232.95,261.88,-48.095,-1.32,0.333,48.112
232.29,232.95,261.88,-48.456,-1.921,0.293,48.495
172.29,232.95,261.88,-48.086,-2.538,0.157,48.151
172.29,172.95,261.88,-48.591,-2.321,-0.116,48.646
232.29,172.95,261.88,-48.767,-1.917,0.115,48.805
292.29,172.95,261.88,-48.511,-1.535,0.021,48.534
