# COSI2 B0 scan
# time 2024-08-23 16:38:47.215840
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_FRONT
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,81.880,-48.8610,-2.2620,0.8170,48.9200
172.290,292.950,141.880,-48.8620,-2.2550,0.8150,48.9210
232.290,292.950,141.880,-48.1310,-1.5860,0.2000,48.1580
292.290,292.950,141.880,-48.2750,-2.0870,0.3540,48.3180
292.290,232.950,141.880,-47.8960,-2.5410,0.3810,47.9650
232.290,232.950,141.880,-47.9130,-2.5540,0.7710,47.9900
172.290,232.950,141.880,-48.3110,-2.0610,0.6440,48.3590
172.290,172.950,141.880,-48.1140,-1.5070,0.5430,48.1400
232.290,172.950,141.880,-48.5630,-1.6190,0.8110,48.5970
292.290,172.950,141.880,-48.7010,-2.0200,0.8510,48.7480
232.290,112.950,201.880,-48.4300,-2.4060,1.0950,48.5030
292.290,172.950,201.880,-48.6750,-1.9440,0.4340,48.7170
232.290,172.950,201.880,-48.3180,-1.9720,0.5320,48.3600
172.290,172.950,201.880,-48.5380,-1.9600,0.4520,48.5770
112.290,232.950,201.880,-48.3550,-1.9460,0.3370,48.3960
172.290,232.950,201.880,-46.9980,-2.0710,0.2610,47.0440
232.290,232.950,201.880,-47.9950,-1.9850,0.3540,48.0360
292.290,232.950,201.880,-48.2400,-1.9700,0.4420,48.2820
352.290,232.950,201.880,-47.9290,-1.9420,0.5070,47.9710
292.290,292.950,201.880,-46.9230,-1.9080,0.4720,46.9640
232.290,292.950,201.880,-47.8820,-1.9320,0.5270,47.9230
172.290,292.950,201.880,22.6010,7.2550,29.1560,37.4450
232.290,352.950,201.880,-47.9590,-2.0200,0.3540,48.0060
172.290,292.950,261.880,-42.3910,-3.5920,-4.3650,45.3190
232.290,292.950,261.880,-48.0640,-2.5390,0.5360,48.1320
292.290,292.950,261.880,-48.4040,-1.9540,0.5220,48.4450
292.290,232.950,261.880,-48.1020,-1.3980,0.6510,48.1270
232.290,232.950,261.880,-48.1130,-1.3480,0.3400,48.1330
172.290,232.950,261.880,-48.4600,-1.9380,0.2950,48.5000
172.290,172.950,261.880,-48.0680,-2.5590,0.1480,48.1360
232.290,172.950,261.880,-48.5820,-2.3350,-0.1410,48.6390
292.290,172.950,261.880,-48.7690,-1.9420,0.1080,48.8080
232.290,232.950,321.880,-48.5240,-1.5390,0.0240,48.5470
