# COSI2 B0 scan,,,,,,
# time 2024-08-23 16:38:47.215840,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_FRONT,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,-48.862,-2.255,0.815,48.921
172.29,292.95,141.88,-48.131,-1.586,0.2,48.158
232.29,292.95,141.88,-48.275,-2.087,0.354,48.318
292.29,292.95,141.88,-47.896,-2.541,0.381,47.965
292.29,232.95,141.88,-47.913,-2.554,0.771,47.99
232.29,232.95,141.88,-48.311,-2.061,0.644,48.359
172.29,232.95,141.88,-48.114,-1.507,0.543,48.14
172.29,172.95,141.88,-48.563,-1.619,0.811,48.597
232.29,172.95,141.88,-48.701,-2.02,0.851,48.748
292.29,172.95,141.88,-48.43,-2.406,1.095,48.503
232.29,112.95,201.88,-48.675,-1.944,0.434,48.717
292.29,172.95,201.88,-48.318,-1.972,0.532,48.36
232.29,172.95,201.88,-48.538,-1.96,0.452,48.577
172.29,172.95,201.88,-48.355,-1.946,0.337,48.396
112.29,232.95,201.88,-46.998,-2.071,0.261,47.044
172.29,232.95,201.88,-47.995,-1.985,0.354,48.036
232.29,232.95,201.88,-48.24,-1.97,0.442,48.282
292.29,232.95,201.88,-47.929,-1.942,0.507,47.971
352.29,232.95,201.88,-46.923,-1.908,0.472,46.964
292.29,292.95,201.88,-47.882,-1.932,0.527,47.923
232.29,292.95,201.88,22.601,7.255,29.156,37.445
172.29,292.95,201.88,-47.959,-2.02,0.354,48.006
232.29,352.95,201.88,-42.391,-3.592,-4.365,45.319
172.29,292.95,261.88,-48.064,-2.539,0.536,48.132
232.29,292.95,261.88,-48.404,-1.954,0.522,48.445
292.29,292.95,261.88,-48.102,-1.398,0.651,48.127
292.29,232.95,261.88,-48.113,-1.348,0.34,48.133
232.29,232.95,261.88,-48.46,-1.938,0.295,48.5
172.29,232.95,261.88,-48.068,-2.559,0.148,48.136
172.29,172.95,261.88,-48.582,-2.335,-0.141,48.639
232.29,172.95,261.88,-48.769,-1.942,0.108,48.808
292.29,172.95,261.88,-48.524,-1.539,0.024,48.547
