# COSI2 B0 scan
# time 2024-08-23 16:30:10.296451
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_LEFT
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,81.880,-48.8090,-2.2100,0.8100,48.8060
172.290,292.950,141.880,-48.8680,-2.2120,0.8070,48.9240
232.290,292.950,141.880,-48.1190,-1.5800,0.1990,48.1480
292.290,292.950,141.880,-48.2780,-2.0630,0.3540,48.3230
292.290,232.950,141.880,-47.9220,-2.5240,0.3790,47.9900
232.290,232.950,141.880,-47.9370,-2.5480,0.7790,48.0100
172.290,232.950,141.880,-48.3180,-2.0370,0.6320,48.3640
172.290,172.950,141.880,-48.1010,-1.4840,0.5500,48.1270
232.290,172.950,141.880,-48.5570,-1.6030,0.8090,48.5910
292.290,172.950,141.880,-48.7070,-2.0140,0.8420,48.7560
232.290,112.950,201.880,-48.4540,-2.3980,1.0880,48.5250
292.290,172.950,201.880,-48.6770,-1.9430,0.4490,48.7180
232.290,172.950,201.880,-48.3310,-1.9550,0.5230,48.3730
172.290,172.950,201.880,-48.5400,-1.9550,0.4570,48.5800
112.290,232.950,201.880,-48.3410,-1.9720,0.3270,48.3860
172.290,232.950,201.880,-46.9350,-2.0860,0.2890,46.9830
232.290,232.950,201.880,-47.9850,-1.9940,0.3750,48.0290
292.290,232.950,201.880,-48.2470,-1.9580,0.4710,48.2890
352.290,232.950,201.880,-47.9500,-1.9350,0.5420,47.9940
292.290,292.950,201.880,43.9640,28.9810,15.0950,54.7780
232.290,292.950,201.880,-47.9430,-1.9260,0.5340,47.9930
172.290,292.950,201.880,-48.1810,-1.9790,0.4560,48.2230
232.290,352.950,201.880,-47.9510,-2.0150,0.3840,47.9930
172.290,292.950,261.880,-48.2140,-1.9930,0.4830,48.2580
232.290,292.950,261.880,-48.0470,-2.5350,0.5460,48.1160
292.290,292.950,261.880,-48.4060,-1.9360,0.5200,48.4470
292.290,232.950,261.880,-48.1130,-1.3970,0.6460,48.1390
232.290,232.950,261.880,-48.1330,-1.3230,0.3390,48.1510
172.290,232.950,261.880,-48.4620,-1.9310,0.2940,48.5020
172.290,172.950,261.880,-48.0590,-2.5500,0.1600,48.1260
232.290,172.950,261.880,-48.5840,-2.3280,-0.1290,48.6370
292.290,172.950,261.880,-48.7730,-1.9110,0.1100,48.8090
232.290,232.950,321.880,-48.5350,-1.5360,0.0460,48.5600
