# COSI2 B0 scan,,,,,,
# time 2024-08-23 16:30:10.296451,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_LEFT,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,-48.868,-2.212,0.807,48.924
172.29,292.95,141.88,-48.119,-1.58,0.199,48.148
232.29,292.95,141.88,-48.278,-2.063,0.354,48.323
292.29,292.95,141.88,-47.922,-2.524,0.379,47.99
292.29,232.95,141.88,-47.937,-2.548,0.779,48.01
232.29,232.95,141.88,-48.318,-2.037,0.632,48.364
172.29,232.95,141.88,-48.101,-1.484,0.55,48.127
172.29,172.95,141.88,-48.557,-1.603,0.809,48.591
232.29,172.95,141.88,-48.707,-2.014,0.842,48.756
292.29,172.95,141.88,-48.454,-2.398,1.088,48.525
232.29,112.95,201.88,-48.677,-1.943,0.449,48.718
292.29,172.95,201.88,-48.331,-1.955,0.523,48.373
232.29,172.95,201.88,-48.54,-1.955,0.457,48.58
172.29,172.95,201.88,-48.341,-1.972,0.327,48.386
112.29,232.95,201.88,-46.935,-2.086,0.289,46.983
172.29,232.95,201.88,-47.985,-1.994,0.375,48.029
232.29,232.95,201.88,-48.247,-1.958,0.471,48.289
292.29,232.95,201.88,-47.95,-1.935,0.542,47.994
352.29,232.95,201.88,43.964,28.981,15.095,54.778
292.29,292.95,201.88,-47.943,-1.926,0.534,47.993
232.29,292.95,201.88,-48.181,-1.979,0.456,48.223
172.29,292.95,201.88,-47.951,-2.015,0.384,47.993
232.29,352.95,201.88,-48.214,-1.993,0.483,48.258
172.29,292.95,261.88,-48.047,-2.535,0.546,48.116
232.29,292.95,261.88,-48.406,-1.936,0.52,48.447
292.29,292.95,261.88,-48.113,-1.397,0.646,48.139
292.29,232.95,261.88,-48.133,-1.323,0.339,48.151
232.29,232.95,261.88,-48.462,-1.931,0.294,48.502
172.29,232.95,261.88,-48.059,-2.55,0.16,48.126
172.29,172.95,261.88,-48.584,-2.328,-0.129,48.637
232.29,172.95,261.88,-48.773,-1.911,0.11,48.809
292.29,172.95,261.88,-48.535,-1.536,0.046,48.56
