# COSI2 B0 scan
# time 2024-08-23 16:25:10.599904
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_RIGHT
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,81.880,-48.8730,-2.1960,0.8070,48.9290
172.290,292.950,141.880,-48.8700,-2.1890,0.8070,48.9250
232.290,292.950,141.880,-48.1190,-1.5700,0.1980,48.1440
292.290,292.950,141.880,-48.2780,-2.0640,0.3600,48.3240
292.290,232.950,141.880,-47.9220,-2.5190,0.3900,47.9900
232.290,232.950,141.880,-47.9480,-2.5360,0.7850,48.0220
172.290,232.950,141.880,-48.3150,-2.0320,0.6210,48.3600
172.290,172.950,141.880,-48.0940,-1.4730,0.5400,48.1190
232.290,172.950,141.880,-48.5590,-1.5970,0.8160,48.5920
292.290,172.950,141.880,-48.7040,-2.0060,0.8330,48.7510
232.290,112.950,201.880,-48.4510,-2.3820,1.0700,48.5220
292.290,172.950,201.880,-48.6740,-1.9370,0.4370,48.7140
232.290,172.950,201.880,-48.3340,-1.9590,0.5250,48.3770
172.290,172.950,201.880,-48.5360,-1.9520,0.4400,48.5780
112.290,232.950,201.880,-48.3350,-1.9660,0.3270,48.3760
172.290,232.950,201.880,16.8290,11.8910,4.8200,21.1630
232.290,232.950,201.880,-47.9800,-1.9840,0.3780,48.0200
292.290,232.950,201.880,-48.2500,-1.9320,0.4860,48.2930
352.290,232.950,201.880,-47.9510,-1.9220,0.5290,47.9920
292.290,292.950,201.880,-46.9650,-1.9100,0.4930,47.0040
232.290,292.950,201.880,-47.9010,-1.9350,0.5340,47.9420
172.290,292.950,201.880,-48.1890,-1.9740,0.4610,48.2300
232.290,352.950,201.880,-47.9420,-2.0010,0.3620,47.9850
172.290,292.950,261.880,-48.2160,-1.9910,0.4800,48.2580
232.290,292.950,261.880,-48.0390,-2.5460,0.5570,48.1120
292.290,292.950,261.880,-48.4050,-1.9510,0.5270,48.4500
292.290,232.950,261.880,-48.1190,-1.4110,0.6550,48.1440
232.290,232.950,261.880,-48.1450,-1.3520,0.3310,48.1650
172.290,232.950,261.880,-48.4610,-1.9440,0.3060,48.5030
172.290,172.950,261.880,-48.0500,-2.5590,0.1570,48.1200
232.290,172.950,261.880,-48.5810,-2.3300,-0.1190,48.6350
292.290,172.950,261.880,-48.7750,-1.9280,0.1060,48.8140
232.290,232.950,321.880,-48.5440,-1.5390,0.0400,48.5660
