# COSI2 B0 scan,,,,,,
# time 2024-08-23 16:25:10.599904,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_RIGHT,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,-48.87,-2.189,0.807,48.925
172.29,292.95,141.88,-48.119,-1.57,0.198,48.144
232.29,292.95,141.88,-48.278,-2.064,0.36,48.324
292.29,292.95,141.88,-47.922,-2.519,0.39,47.99
292.29,232.95,141.88,-47.948,-2.536,0.785,48.022
232.29,232.95,141.88,-48.315,-2.032,0.621,48.36
172.29,232.95,141.88,-48.094,-1.473,0.54,48.119
172.29,172.95,141.88,-48.559,-1.597,0.816,48.592
232.29,172.95,141.88,-48.704,-2.006,0.833,48.751
292.29,172.95,141.88,-48.451,-2.382,1.07,48.522
232.29,112.95,201.88,-48.674,-1.937,0.437,48.714
292.29,172.95,201.88,-48.334,-1.959,0.525,48.377
232.29,172.95,201.88,-48.536,-1.952,0.44,48.578
172.29,172.95,201.88,-48.335,-1.966,0.327,48.376
112.29,232.95,201.88,16.829,11.891,4.82,21.163
172.29,232.95,201.88,-47.98,-1.984,0.378,48.02
232.29,232.95,201.88,-48.25,-1.932,0.486,48.293
292.29,232.95,201.88,-47.951,-1.922,0.529,47.992
352.29,232.95,201.88,-46.965,-1.91,0.493,47.004
292.29,292.95,201.88,-47.901,-1.935,0.534,47.942
232.29,292.95,201.88,-48.189,-1.974,0.461,48.23
172.29,292.95,201.88,-47.942,-2.001,0.362,47.985
232.29,352.95,201.88,-48.216,-1.991,0.48,48.258
172.29,292.95,261.88,-48.039,-2.546,0.557,48.112
232.29,292.95,261.88,-48.405,-1.951,0.527,48.45
292.29,292.95,261.88,-48.119,-1.411,0.655,48.144
292.29,232.95,261.88,-48.145,-1.352,0.331,48.165
232.29,232.95,261.88,-48.461,-1.944,0.306,48.503
172.29,232.95,261.88,-48.05,-2.559,0.157,48.12
172.29,172.95,261.88,-48.581,-2.33,-0.119,48.635
232.29,172.95,261.88,-48.775,-1.928,0.106,48.814
292.29,172.95,261.88,-48.544,-1.539,0.04,48.566
