# COSI2 B0 scan
# time 2024-08-23 16:34:30.833496
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_TOP
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,81.880,-48.8390,-2.2300,0.8100,48.8960
172.290,292.950,141.880,-48.8680,-2.2350,0.8130,48.9270
232.290,292.950,141.880,-48.1280,-1.5770,0.1980,48.1540
292.290,292.950,141.880,-48.2740,-2.0740,0.3480,48.3220
292.290,232.950,141.880,-47.9080,-2.5230,0.3750,47.9780
232.290,232.950,141.880,-47.9280,-2.5560,0.7780,48.0010
172.290,232.950,141.880,-48.3150,-2.0560,0.6450,48.3630
172.290,172.950,141.880,-48.1060,-1.4840,0.5490,48.1330
232.290,172.950,141.880,-48.5560,-1.6150,0.8110,48.5920
292.290,172.950,141.880,-48.6980,-2.0170,0.8510,48.7480
232.290,112.950,201.880,-48.4440,-2.3990,1.0930,48.5140
292.290,172.950,201.880,-48.6770,-1.9450,0.4530,48.7150
232.290,172.950,201.880,-48.3230,-1.9740,0.5340,48.3670
172.290,172.950,201.880,-48.5360,-1.9680,0.4430,48.5760
112.290,232.950,201.880,-48.3490,-1.9770,0.3410,48.3900
172.290,232.950,201.880,-46.9440,-2.1100,0.2810,46.9940
232.290,232.950,201.880,-47.9840,-2.0050,0.3640,48.0280
292.290,232.950,201.880,-48.2400,-1.9790,0.4630,48.2820
352.290,232.950,201.880,-47.9430,-1.9470,0.5240,47.9850
292.290,292.950,201.880,-46.9470,-1.9180,0.4960,46.9890
232.290,292.950,201.880,-47.8900,-1.9500,0.5260,47.9330
172.290,292.950,201.880,-48.1820,-2.0040,0.4550,48.2260
232.290,352.950,201.880,-47.9520,-2.0210,0.3650,47.9950
172.290,292.950,261.880,-48.2140,-2.0030,0.4740,48.2580
232.290,292.950,261.880,-48.0520,-2.5430,0.5530,48.1220
292.290,292.950,261.880,-48.4060,-1.9630,0.5150,48.4480
292.290,232.950,261.880,-48.1070,-1.4120,0.6490,48.1350
232.290,232.950,261.880,-48.1300,-1.3520,0.3280,48.1470
172.290,232.950,261.880,-48.4570,-1.9530,0.2860,48.4980
172.290,172.950,261.880,-48.0600,-2.5640,0.1390,48.1290
232.290,172.950,261.880,-48.5820,-2.3360,-0.1350,48.6380
292.290,172.950,261.880,-48.7720,-1.9250,0.1090,48.8080
232.290,232.950,321.880,-48.5260,-1.5560,0.0040,48.5490
