# COSI2 B0 scan,,,,,,
# time 2024-08-23 16:34:30.833496,,,,,,
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240823/240823_TOP,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.29,232.95,81.88,-48.868,-2.235,0.813,48.927
172.29,292.95,141.88,-48.128,-1.577,0.198,48.154
232.29,292.95,141.88,-48.274,-2.074,0.348,48.322
292.29,292.95,141.88,-47.908,-2.523,0.375,47.978
292.29,232.95,141.88,-47.928,-2.556,0.778,48.001
232.29,232.95,141.88,-48.315,-2.056,0.645,48.363
172.29,232.95,141.88,-48.106,-1.484,0.549,48.133
172.29,172.95,141.88,-48.556,-1.615,0.811,48.592
232.29,172.95,141.88,-48.698,-2.017,0.851,48.748
292.29,172.95,141.88,-48.444,-2.399,1.093,48.514
232.29,112.95,201.88,-48.677,-1.945,0.453,48.715
292.29,172.95,201.88,-48.323,-1.974,0.534,48.367
232.29,172.95,201.88,-48.536,-1.968,0.443,48.576
172.29,172.95,201.88,-48.349,-1.977,0.341,48.39
112.29,232.95,201.88,-46.944,-2.11,0.281,46.994
172.29,232.95,201.88,-47.984,-2.005,0.364,48.028
232.29,232.95,201.88,-48.24,-1.979,0.463,48.282
292.29,232.95,201.88,-47.943,-1.947,0.524,47.985
352.29,232.95,201.88,-46.947,-1.918,0.496,46.989
292.29,292.95,201.88,-47.89,-1.95,0.526,47.933
232.29,292.95,201.88,-48.182,-2.004,0.455,48.226
172.29,292.95,201.88,-47.952,-2.021,0.365,47.995
232.29,352.95,201.88,-48.214,-2.003,0.474,48.258
172.29,292.95,261.88,-48.052,-2.543,0.553,48.122
232.29,292.95,261.88,-48.406,-1.963,0.515,48.448
292.29,292.95,261.88,-48.107,-1.412,0.649,48.135
292.29,232.95,261.88,-48.13,-1.352,0.328,48.147
232.29,232.95,261.88,-48.457,-1.953,0.286,48.498
172.29,232.95,261.88,-48.06,-2.564,0.139,48.129
172.29,172.95,261.88,-48.582,-2.336,-0.135,48.638
232.29,172.95,261.88,-48.772,-1.925,0.109,48.808
292.29,172.95,261.88,-48.526,-1.556,0.004,48.549
