# COSI2 B0 scan,,,,,,
# time 2024-08-28 18:07:50.097969,,,,,,
# MAGNET CENTER IN LAB: x 229.150 mm, y 231.970 mm, z 198.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240828/moved_bars_shell_R120_100pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.02,231.97,318.77,-49.312,-1.36,0.8,49.338
232.02,232.15,318.77,-49.315,-1.366,0.799,49.341
232,232.33,318.77,-49.313,-1.362,0.804,49.341
231.97,232.51,318.77,-49.312,-1.36,0.8,49.339
231.93,232.68,318.77,-49.315,-1.373,0.784,49.337
231.88,232.86,318.77,-49.315,-1.368,0.79,49.341
231.82,233.03,318.77,-49.316,-1.377,0.784,49.342
231.75,233.19,318.77,-49.318,-1.364,0.782,49.34
231.67,233.35,318.77,-49.323,-1.373,0.77,49.345
231.57,233.51,318.77,-49.324,-1.374,0.773,49.349
231.47,233.66,318.77,-49.322,-1.376,0.776,49.349
231.36,233.8,318.77,-49.32,-1.382,0.774,49.345
231.24,233.94,318.77,-49.321,-1.376,0.779,49.345
231.12,234.06,318.77,-49.321,-1.38,0.763,49.344
230.98,234.18,318.77,-49.321,-1.381,0.762,49.347
230.84,234.29,318.77,-49.321,-1.387,0.763,49.343
230.69,234.39,318.77,-49.32,-1.381,0.754,49.344
230.53,234.49,318.77,-49.32,-1.388,0.756,49.345
230.37,234.57,318.77,-49.321,-1.394,0.749,49.348
230.21,234.64,318.77,-49.325,-1.401,0.752,49.351
230.04,234.7,318.77,-49.323,-1.416,0.749,49.35
229.86,234.75,318.77,-49.321,-1.404,0.75,49.348
229.69,234.79,318.77,-49.32,-1.417,0.746,49.347
229.51,234.82,318.77,-49.32,-1.418,0.749,49.344
229.33,234.84,318.77,-49.32,-1.425,0.745,49.345
229.15,234.84,318.77,-49.321,-1.425,0.745,49.346
228.97,234.84,318.77,-49.319,-1.439,0.746,49.345
228.79,234.82,318.77,-49.322,-1.435,0.741,49.348
228.61,234.79,318.77,-49.321,-1.431,0.736,49.347
228.44,234.75,318.77,-49.318,-1.444,0.753,49.345
228.26,234.7,318.77,-49.315,-1.454,0.749,49.343
228.09,234.64,318.77,-49.318,-1.449,0.743,49.345
227.93,234.57,318.77,-49.322,-1.452,0.75,49.349
227.77,234.49,318.77,-49.326,-1.462,0.746,49.353
227.61,234.39,318.77,-49.329,-1.471,0.746,49.357
227.46,234.29,318.77,-49.335,-1.477,0.744,49.363
227.32,234.18,318.77,-49.336,-1.471,0.744,49.364
227.18,234.06,318.77,-49.34,-1.478,0.743,49.368
227.06,233.94,318.77,-49.342,-1.477,0.743,49.368
226.94,233.8,318.77,-49.344,-1.477,0.737,49.37
226.83,233.66,318.77,-49.347,-1.483,0.736,49.373
226.73,233.51,318.77,-49.348,-1.489,0.743,49.376
226.63,233.35,318.77,-49.347,-1.497,0.749,49.375
226.55,233.19,318.77,-49.348,-1.493,0.754,49.375
226.48,233.03,318.77,-49.35,-1.493,0.759,49.377
226.42,232.86,318.77,-49.347,-1.496,0.745,49.378
226.37,232.68,318.77,-49.343,-1.494,0.757,49.374
226.33,232.51,318.77,-49.343,-1.499,0.771,49.372
226.3,232.33,318.77,-49.345,-1.497,0.762,49.373
226.28,232.15,318.77,-49.342,-1.504,0.773,49.371
226.28,231.97,318.77,-49.343,-1.5,0.787,49.372
226.28,231.79,318.77,-49.343,-1.501,0.774,49.372
226.3,231.61,318.77,-49.339,-1.496,0.773,49.368
226.33,231.43,318.77,-49.337,-1.508,0.792,49.366
226.37,231.26,318.77,-49.336,-1.5,0.794,49.364
226.42,231.08,318.77,-49.333,-1.49,0.794,49.362
226.48,230.91,318.77,-49.33,-1.501,0.794,49.36
226.55,230.75,318.77,-49.33,-1.497,0.804,49.359
226.63,230.59,318.77,-49.329,-1.492,0.816,49.358
226.73,230.43,318.77,-49.326,-1.492,0.819,49.356
226.83,230.28,318.77,-49.322,-1.484,0.811,49.352
226.94,230.14,318.77,-49.317,-1.478,0.828,49.348
227.06,230,318.77,-49.314,-1.482,0.826,49.343
227.18,229.88,318.77,-49.309,-1.475,0.822,49.339
227.32,229.76,318.77,-49.307,-1.471,0.828,49.337
227.46,229.65,318.77,-49.3,-1.472,0.834,49.331
227.61,229.55,318.77,-49.295,-1.467,0.84,49.326
227.77,229.45,318.77,-49.291,-1.453,0.835,49.322
227.93,229.37,318.77,-49.291,-1.453,0.842,49.318
228.09,229.3,318.77,-49.288,-1.43,0.843,49.318
228.26,229.24,318.77,-49.285,-1.444,0.849,49.315
228.44,229.19,318.77,-49.282,-1.424,0.85,49.31
228.61,229.15,318.77,-49.278,-1.408,0.865,49.306
