# COSI2 B0 scan
# time 2024-08-29 19:15:46.524112
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240829/2024-08-29_PathfileTest_Snail_5_magnets_5mm_step.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
201.000,359.000,290.000,0.0000,0.0000,0.0000,0.0000
201.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
206.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
211.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
216.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
221.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
226.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
231.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
236.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
241.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
246.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
251.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
256.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
261.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
266.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
271.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
276.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
281.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
286.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
291.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
296.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
301.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
306.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
311.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
316.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
321.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
326.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
331.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
336.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
341.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
346.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
351.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
356.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
361.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
366.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
371.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
376.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
381.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
386.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
391.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
396.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
401.000,359.000,291.000,0.0000,0.0000,0.0000,0.0000
401.000,364.000,291.000,0.0000,0.0000,0.0000,0.0000
396.000,364.000,291.000,0.0000,0.0000,0.0000,0.0000
391.000,364.000,291.000,0.0000,0.0000,0.0000,0.0000
386.000,364.000,291.000,0.0000,0.0000,0.0000,0.0000
381.000,364.000,291.000,0.0000,0.0000,0.0000,0.0000
376.000,364.000,291.000,0.0000,0.0000,0.0000,0.0000
371.000,364.000,291.000,0.0000,0.0000,0.0000,0.0000
