# COSI2 B0 scan
# time 2024-08-30 13:12:33.635964
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240829/2024-08-29_PathfileTest_Snail_5_magnets_5mm_step_lower_currents_gui_on.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
201.000,359.000,290.000,-1.0840,-0.3700,0.7500,1.3680
201.000,359.000,291.000,-1.2920,-0.3700,0.7500,1.5380
206.000,359.000,291.000,-1.2850,-0.3500,0.7600,1.5350
211.000,359.000,291.000,-1.3030,-0.5200,0.9400,1.6870
216.000,359.000,291.000,-1.4210,-0.7100,1.1400,1.9550
221.000,359.000,291.000,-1.5060,-0.9200,1.3600,2.2280
226.000,359.000,291.000,-1.5600,-1.1700,1.5900,2.5120
231.000,359.000,291.000,-1.5640,-1.4000,1.8200,2.7700
236.000,359.000,291.000,-1.5160,-1.6100,2.0300,3.0150
241.000,359.000,291.000,-1.4150,-1.8100,2.2400,3.2160
246.000,359.000,291.000,-1.2970,-1.9700,2.4100,3.3690
251.000,359.000,291.000,-1.1470,-2.1000,2.5500,3.5000
256.000,359.000,291.000,-0.9840,-2.2000,2.6700,3.6080
261.000,359.000,291.000,-0.8510,-2.2800,2.7600,3.6800
266.000,359.000,291.000,-0.7060,-2.3500,2.8500,3.7590
271.000,359.000,291.000,-0.5440,-2.4000,2.9200,3.8160
276.000,359.000,291.000,-0.4380,-2.4300,2.9800,3.8700
281.000,359.000,291.000,-0.3100,-2.4500,3.0100,3.8920
286.000,359.000,291.000,-0.2010,-2.4600,3.0200,3.9090
291.000,359.000,291.000,-0.1200,-2.4800,3.0500,3.9310
296.000,359.000,291.000,-0.0300,-2.4800,3.0600,3.9370
301.000,359.000,291.000,0.0500,-2.4700,3.0700,3.9410
306.000,359.000,291.000,0.1360,-2.4800,3.0700,3.9510
311.000,359.000,291.000,0.2170,-2.4800,3.0700,3.9450
316.000,359.000,291.000,0.3040,-2.4700,3.0600,3.9410
321.000,359.000,291.000,0.3760,-2.4700,3.0500,3.9390
326.000,359.000,291.000,0.4600,-2.4600,3.0300,3.9290
331.000,359.000,291.000,0.5520,-2.4400,3.0000,3.9040
336.000,359.000,291.000,0.6560,-2.4200,2.9700,3.8830
341.000,359.000,291.000,0.7450,-2.3700,2.9100,3.8270
346.000,359.000,291.000,0.8700,-2.3200,2.8500,3.7750
351.000,359.000,291.000,0.9990,-2.2600,2.7700,3.7070
356.000,359.000,291.000,1.1320,-2.1600,2.6600,3.6010
361.000,359.000,291.000,1.2660,-2.0500,2.5500,3.4980
366.000,359.000,291.000,1.3770,-1.9100,2.4000,3.3630
371.000,359.000,291.000,1.5220,-1.7200,2.2300,3.2040
376.000,359.000,291.000,1.6550,-1.5300,2.0300,3.0330
381.000,359.000,291.000,1.7520,-1.3100,1.8100,2.8380
386.000,359.000,291.000,1.8160,-1.0700,1.5800,2.6370
391.000,359.000,291.000,1.8220,-0.8400,1.3400,2.4130
396.000,359.000,291.000,1.7820,-0.6100,1.1300,2.2030
401.000,359.000,291.000,1.7010,-0.4200,0.9200,1.9800
401.000,364.000,291.000,1.5810,-0.2600,0.7400,1.7650
396.000,364.000,291.000,1.5780,-0.1500,0.8600,1.8050
391.000,364.000,291.000,1.7610,-0.3300,1.0800,2.0590
386.000,364.000,291.000,1.9160,-0.5600,1.3400,2.4060
381.000,364.000,291.000,2.0490,-0.8100,1.6300,2.7280
376.000,364.000,291.000,2.1080,-1.0800,1.9600,3.0700
371.000,364.000,291.000,2.1060,-1.3800,2.2900,3.4040
366.000,364.000,291.000,2.0280,-1.6500,2.5700,3.6680
361.000,364.000,291.000,1.8880,-1.8800,2.8600,3.9070
356.000,364.000,291.000,1.7110,-2.0700,3.0700,4.0900
351.000,364.000,291.000,1.5220,-2.2200,3.2500,4.2290
346.000,364.000,291.000,1.3860,-2.3200,3.3800,4.3300
341.000,364.000,291.000,1.2240,-2.4200,3.5000,4.4240
336.000,364.000,291.000,1.0710,-2.4800,3.6000,4.5190
331.000,364.000,291.000,0.9240,-2.5400,3.6800,4.5690
326.000,364.000,291.000,0.8070,-2.5700,3.7300,4.6020
321.000,364.000,291.000,0.6760,-2.5900,3.7700,4.6190
316.000,364.000,291.000,0.5740,-2.6000,3.8100,4.6460
311.000,364.000,291.000,0.4820,-2.5900,3.8100,4.6350
306.000,364.000,291.000,0.3940,-2.6000,3.8300,4.6440
301.000,364.000,291.000,0.3090,-2.6100,3.8300,4.6600
296.000,364.000,291.000,0.2180,-2.6100,3.8400,4.6530
291.000,364.000,291.000,0.1390,-2.6000,3.8400,4.6430
286.000,364.000,291.000,0.0600,-2.6000,3.8300,4.6260
281.000,364.000,291.000,-0.0200,-2.6000,3.8100,4.6030
276.000,364.000,291.000,-0.1080,-2.5800,3.8000,4.5920
271.000,364.000,291.000,-0.1900,-2.5800,3.7700,4.5700
266.000,364.000,291.000,-0.3230,-2.5800,3.7200,4.5320
261.000,364.000,291.000,-0.4340,-2.5500,3.6600,4.4860
256.000,364.000,291.000,-0.5870,-2.5100,3.5800,4.4170
251.000,364.000,291.000,-0.7350,-2.4400,3.4800,4.3170
246.000,364.000,291.000,-0.8940,-2.3800,3.3700,4.2180
241.000,364.000,291.000,-1.0730,-2.2700,3.2400,4.0960
236.000,364.000,291.000,-1.2690,-2.1500,3.0600,3.9430
231.000,364.000,291.000,-1.4730,-1.9600,2.8500,3.7410
226.000,364.000,291.000,-1.6480,-1.7400,2.5800,3.5010
221.000,364.000,291.000,-1.7620,-1.4800,2.2700,3.2340
216.000,364.000,291.000,-1.8350,-1.2100,1.9700,2.9520
211.000,364.000,291.000,-1.8290,-0.9200,1.6600,2.6340
206.000,364.000,291.000,-1.7550,-0.6700,1.3600,2.3390
201.000,364.000,291.000,-1.6230,-0.4500,1.1000,2.0300
201.000,369.000,291.000,-1.5050,-0.2700,0.8900,1.7670
206.000,369.000,291.000,-1.4740,-0.1400,1.0100,1.7940
211.000,369.000,291.000,-1.6580,-0.3300,1.2900,2.1240
216.000,369.000,291.000,-1.8680,-0.5900,1.6300,2.5290
221.000,369.000,291.000,-2.0340,-0.8700,2.0200,2.9880
226.000,369.000,291.000,-2.1510,-1.2100,2.4600,3.4710
