# COSI2 B0 scan
# time 2024-08-29 17:25:49.711221
# MAGNET CENTER IN LAB: x 300.000 mm, y 409.000 mm, z 273.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240829/2024-08-29_PathfileTest_Snail_5_magnets.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
200.000,359.000,290.000,-1.2570,-0.3500,0.7200,1.4890
200.000,359.000,291.000,-1.2580,-0.3420,0.7200,1.4900
210.000,359.000,291.000,-1.2540,-0.3530,0.7190,1.4870
220.000,359.000,291.000,-1.2840,-0.5330,0.9380,1.6020
230.000,359.000,291.000,-1.4900,-0.9390,1.3440,2.2160
240.000,359.000,291.000,-1.5610,-1.3940,1.7920,2.7610
250.000,359.000,291.000,-1.4270,-1.8970,2.2010,3.1900
260.000,359.000,291.000,-1.1530,-2.1590,2.5960,3.4960
270.000,359.000,291.000,-0.8560,-2.3150,2.7830,3.6880
280.000,359.000,291.000,-0.5330,-2.4140,2.9320,3.8420
290.000,359.000,291.000,-0.3080,-2.4810,3.0070,3.9090
300.000,359.000,291.000,-0.1080,-2.4850,3.0460,3.9340
310.000,359.000,291.000,0.0560,-2.5010,3.0660,3.9580
320.000,359.000,291.000,0.2120,-2.5020,3.0570,3.9560
330.000,359.000,291.000,0.3810,-2.4840,3.0330,3.9520
340.000,359.000,291.000,0.5420,-2.4530,2.9850,3.9020
350.000,359.000,291.000,0.7670,-2.3970,2.9040,3.8360
360.000,359.000,291.000,1.0050,-2.2800,2.7580,3.7070
370.000,359.000,291.000,1.2550,-2.0310,2.5040,3.5320
380.000,359.000,291.000,1.5150,-1.7440,2.2060,3.2710
390.000,359.000,291.000,1.7420,-1.3270,1.8100,2.9240
400.000,359.000,291.000,1.8300,-0.8750,1.3590,2.4420
400.000,369.000,291.000,1.6910,-0.4710,0.9420,0.0000
390.000,369.000,291.000,0.0000,0.0000,0.0000,0.0000
380.000,369.000,291.000,2.0950,-0.3550,1.4590,2.5160
370.000,369.000,291.000,2.3770,-0.9620,2.0960,3.2550
360.000,369.000,291.000,2.4120,-1.5990,3.1140,4.1050
350.000,369.000,291.000,2.0750,-2.1070,3.7710,4.6960
340.000,369.000,291.000,1.6290,-2.3920,4.2100,5.1090
330.000,369.000,291.000,1.2650,-2.5590,4.5120,5.2670
320.000,369.000,291.000,0.9520,-2.6590,4.7080,5.4900
310.000,369.000,291.000,0.6560,-2.6650,4.7800,5.5120
