# COSI2 B0 scan,,,,,,
# time 2024-08-29 17:25:49.711221,,,,,,
# MAGNET CENTER IN LAB: x 300.000 mm, y 409.000 mm, z 273.000 mm,,,,
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240829/2024-08-29_PathfileTest_Snail_5_magnets.path,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
200,359,290,-1.258,-0.342,0.72,1.49
200,359,291,-1.254,-0.353,0.719,1.487
210,359,291,-1.284,-0.533,0.938,1.602
220,359,291,-1.49,-0.939,1.344,2.216
230,359,291,-1.561,-1.394,1.792,2.761
240,359,291,-1.427,-1.897,2.201,3.19
250,359,291,-1.153,-2.159,2.596,3.496
260,359,291,-0.856,-2.315,2.783,3.688
270,359,291,-0.533,-2.414,2.932,3.842
280,359,291,-0.308,-2.481,3.007,3.909
290,359,291,-0.108,-2.485,3.046,3.934
300,359,291,0.056,-2.501,3.066,3.958
310,359,291,0.212,-2.502,3.057,3.956
320,359,291,0.381,-2.484,3.033,3.952
330,359,291,0.542,-2.453,2.985,3.902
340,359,291,0.767,-2.397,2.904,3.836
350,359,291,1.005,-2.28,2.758,3.707
360,359,291,1.255,-2.031,2.504,3.532
370,359,291,1.515,-1.744,2.206,3.271
380,359,291,1.742,-1.327,1.81,2.924
390,359,291,1.83,-0.875,1.359,2.442
400,359,291,1.691,-0.471,0.942,0
400,369,291,0,0,0,0
390,369,291,2.095,-0.355,1.459,2.516
380,369,291,2.377,-0.962,2.096,3.255
370,369,291,2.412,-1.599,3.114,4.105
360,369,291,2.075,-2.107,3.771,4.696
350,369,291,1.629,-2.392,4.21,5.109
340,369,291,1.265,-2.559,4.512,5.267
330,369,291,0.952,-2.659,4.708,5.49
320,369,291,0.656,-2.665,4.78,5.512
310,369,291,0.45,-2.647,4.828,5.526
300,369,291,0.289,-2.673,4.858,5.554
290,369,291,0.12,-2.665,4.863,5.547
280,369,291,-0.024,-2.647,4.804,5.485
