# COSI2 B0 scan
# time 2024-09-05 18:19:14.800792
# MAGNET CENTER IN LAB: x 250.400 mm, y 168.490 mm, z 276.130 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_ONE_RING_240905_50pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
256.110,168.490,395.990,-47.3460,-1.9000,-1.6300,47.4120
256.070,169.210,395.990,-47.3500,-1.9000,-1.6300,47.4150
255.930,169.910,395.990,-47.3460,-1.9000,-1.6300,47.4140
255.710,170.590,395.990,-47.3460,-1.9000,-1.6200,47.4120
255.410,171.240,395.990,-47.3460,-1.9000,-1.6300,47.4120
255.020,171.850,395.990,-47.3480,-1.8900,-1.6300,47.4120
254.560,172.400,395.990,-47.3470,-1.8900,-1.6300,47.4150
254.040,172.890,395.990,-47.3460,-1.8900,-1.6200,47.4120
253.460,173.310,395.990,-47.3420,-1.8800,-1.6200,47.4100
252.830,173.660,395.990,-47.3400,-1.8800,-1.6200,47.4060
252.170,173.920,395.990,-47.3380,-1.8900,-1.6100,47.4040
251.470,174.100,395.990,-47.3390,-1.8900,-1.6100,47.4030
250.760,174.190,395.990,-47.3410,-1.8900,-1.6200,47.4050
250.040,174.190,395.990,-47.3330,-1.8900,-1.6200,47.3990
249.330,174.100,395.990,-47.3350,-1.8900,-1.6200,47.4000
248.630,173.920,395.990,-47.3350,-1.8900,-1.6100,47.4010
247.970,173.660,395.990,-47.3360,-1.8900,-1.6200,47.4020
247.340,173.310,395.990,-47.3340,-1.9000,-1.6100,47.4010
246.760,172.890,395.990,-47.3270,-1.8900,-1.6200,47.3930
246.240,172.400,395.990,-47.3300,-1.9000,-1.6200,47.3950
245.780,171.850,395.990,-47.3310,-1.9000,-1.6100,47.3970
245.390,171.240,395.990,-47.3300,-1.9000,-1.6300,47.3970
245.090,170.590,395.990,-47.3280,-1.9000,-1.6300,47.3940
244.870,169.910,395.990,-47.3260,-1.8900,-1.6300,47.3940
244.730,169.210,395.990,-47.3230,-1.9000,-1.6300,47.3900
244.690,168.490,395.990,-47.3250,-1.9000,-1.6300,47.3870
244.730,167.770,395.990,-47.3290,-1.9000,-1.6300,47.3950
244.870,167.070,395.990,-47.3260,-1.9100,-1.6300,47.3940
245.090,166.390,395.990,-47.3230,-1.9100,-1.6300,47.3910
245.390,165.740,395.990,-47.3270,-1.9100,-1.6300,47.3920
245.780,165.130,395.990,-47.3280,-1.9100,-1.6400,47.3960
246.240,164.580,395.990,-47.3250,-1.9100,-1.6500,47.3930
246.760,164.090,395.990,-47.3260,-1.9100,-1.6400,47.3940
247.340,163.670,395.990,-47.3280,-1.9100,-1.6300,47.3970
247.970,163.320,395.990,-47.3330,-1.9100,-1.6500,47.3990
248.630,163.060,395.990,-47.3330,-1.9100,-1.6400,47.4020
249.330,162.880,395.990,-47.3290,-1.9100,-1.6300,47.3970
250.040,162.790,395.990,-47.3320,-1.9200,-1.6400,47.4010
250.760,162.790,395.990,-47.3350,-1.9200,-1.6400,47.4040
251.470,162.880,395.990,-47.3370,-1.9200,-1.6300,47.4040
252.170,163.060,395.990,-47.3390,-1.9100,-1.6300,47.4060
252.830,163.320,395.990,-47.3420,-1.9100,-1.6300,47.4090
253.460,163.670,395.990,-47.3400,-1.9100,-1.6300,47.4070
254.040,164.090,395.990,-47.3390,-1.9000,-1.6300,47.4050
254.560,164.580,395.990,-47.3450,-1.9100,-1.6300,47.4110
255.020,165.130,395.990,-47.3500,-1.9100,-1.6300,47.4160
255.410,165.740,395.990,-47.3460,-1.9100,-1.6300,47.4130
255.710,166.390,395.990,-47.3470,-1.9000,-1.6300,47.4130
255.930,167.070,395.990,-47.3490,-1.9000,-1.6300,47.4150
256.070,167.770,395.990,-47.3480,-1.9000,-1.6300,47.4140
263.490,168.490,395.410,-47.3460,-1.9000,-1.6300,47.4130
263.390,170.130,395.410,-47.3510,-1.8900,-1.6200,47.4160
263.080,171.750,395.410,-47.3590,-1.8900,-1.6200,47.4240
262.570,173.310,395.410,-47.3590,-1.8700,-1.6300,47.4250
261.870,174.800,395.410,-47.3580,-1.8800,-1.6200,47.4240
260.990,176.180,395.410,-47.3570,-1.8800,-1.6100,47.4210
259.940,177.450,395.410,-47.3580,-1.8700,-1.6100,47.4220
258.740,178.580,395.410,-47.3550,-1.8800,-1.6100,47.4200
257.410,179.540,395.410,-47.3520,-1.8600,-1.6000,47.4160
255.970,180.330,395.410,-47.3490,-1.8700,-1.6000,47.4160
254.450,180.940,395.410,-47.3410,-1.8800,-1.6000,47.4050
252.850,181.350,395.410,-47.3420,-1.8700,-1.5900,47.4050
251.220,181.550,395.410,-47.3400,-1.8600,-1.5900,47.4060
249.580,181.550,395.410,-47.3350,-1.8700,-1.6000,47.4010
247.950,181.350,395.410,-47.3320,-1.8700,-1.6100,47.3970
246.350,180.940,395.410,-47.3290,-1.8700,-1.6000,47.3930
244.830,180.330,395.410,-47.3270,-1.8700,-1.6100,47.3920
243.390,179.540,395.410,-47.3230,-1.8900,-1.6200,47.3880
242.060,178.580,395.410,-47.3170,-1.8800,-1.6200,47.3820
240.860,177.450,395.410,-47.3150,-1.8800,-1.6200,47.3790
239.810,176.180,395.410,-47.3150,-1.8800,-1.6200,47.3790
238.930,174.800,395.410,-47.3180,-1.8900,-1.6100,47.3820
238.230,173.310,395.410,-47.3160,-1.8900,-1.6200,47.3820
237.720,171.750,395.410,-47.3150,-1.9000,-1.6400,47.3820
237.410,170.130,395.410,-47.3150,-1.9000,-1.6300,47.3810
237.310,168.490,395.410,-47.3170,-1.9100,-1.6300,47.3840
237.410,166.850,395.410,-47.3150,-1.9100,-1.6400,47.3830
237.720,165.230,395.410,-47.3120,-1.9000,-1.6200,47.3780
238.230,163.670,395.410,-47.3170,-1.9100,-1.6500,47.3840
238.930,162.180,395.410,-47.3210,-1.9100,-1.6500,47.3860
239.810,160.800,395.410,-47.3160,-1.9200,-1.6300,47.3880
240.860,159.530,395.410,-47.3160,-1.9200,-1.6400,47.3830
242.060,158.400,395.410,-47.3240,-1.9200,-1.6400,47.3920
243.390,157.440,395.410,-47.3220,-1.9200,-1.6500,47.3920
244.830,156.650,395.410,-47.3240,-1.9300,-1.6300,47.3890
246.350,156.040,395.410,-47.3270,-1.9300,-1.6500,47.3950
247.950,155.630,395.410,-47.3240,-1.9300,-1.6400,47.3920
249.580,155.430,395.410,-47.3310,-1.9200,-1.6400,47.3980
251.220,155.430,395.410,-47.3350,-1.9200,-1.6300,47.4020
252.850,155.630,395.410,-47.3350,-1.9200,-1.6400,47.4020
254.450,156.040,395.410,-47.3400,-1.9200,-1.6500,47.4060
255.970,156.650,395.410,-47.3370,-1.9300,-1.6500,47.4070
257.410,157.440,395.410,-47.3400,-1.9200,-1.6400,47.4070
258.740,158.400,395.410,-47.3440,-1.9200,-1.6300,47.4130
259.940,159.530,395.410,-47.3470,-1.9200,-1.6500,47.4130
260.990,160.800,395.410,-47.3510,-1.9100,-1.6400,47.4180
261.870,162.180,395.410,-47.3520,-1.9000,-1.6400,47.4180
262.570,163.670,395.410,-47.3520,-1.9000,-1.6300,47.4180
