# COSI2 B0 scan
# time 2024-09-05 16:50:04.578443
# MAGNET CENTER IN LAB: x 250.400 mm, y 168.490 mm, z 276.130 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_no_inserts_240905_50pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
256.110,168.490,395.990,-47.2860,-2.0000,-0.9600,47.3370
256.070,169.210,395.990,-47.3360,-1.9800,-0.9900,47.3880
255.930,169.910,395.990,-47.3630,-1.9500,-1.1100,47.4160
255.710,170.590,395.990,-47.3580,-1.9700,-1.1800,47.4130
255.410,171.240,395.990,-47.3560,-1.9600,-1.1600,47.4110
255.020,171.850,395.990,-47.3520,-1.9600,-1.1600,47.4070
254.560,172.400,395.990,-47.3490,-1.9600,-1.1600,47.4040
254.040,172.890,395.990,-47.3510,-1.9600,-1.1600,47.4060
253.460,173.310,395.990,-47.3560,-1.9600,-1.1500,47.4100
252.830,173.660,395.990,-47.3530,-1.9600,-1.1600,47.4080
252.170,173.920,395.990,-47.3520,-1.9700,-1.1600,47.4070
251.470,174.100,395.990,-47.3510,-1.9600,-1.1600,47.4060
250.760,174.190,395.990,-47.3430,-1.9600,-1.1600,47.3970
250.040,174.190,395.990,-47.3410,-1.9500,-1.1600,47.3950
249.330,174.100,395.990,-47.3420,-1.9600,-1.1500,47.3970
248.630,173.920,395.990,-47.3420,-1.9600,-1.1500,47.3960
247.970,173.660,395.990,-47.3370,-1.9600,-1.1700,47.3920
247.340,173.310,395.990,-47.3360,-1.9500,-1.1500,47.3900
246.760,172.890,395.990,-47.3350,-1.9600,-1.1500,47.3890
246.240,172.400,395.990,-47.3380,-1.9600,-1.1500,47.3930
245.780,171.850,395.990,-47.3340,-1.9600,-1.1600,47.3880
245.390,171.240,395.990,-47.3320,-1.9500,-1.1600,47.3870
245.090,170.590,395.990,-47.3320,-1.9600,-1.1600,47.3870
244.870,169.910,395.990,-47.3290,-1.9600,-1.1600,47.3840
244.730,169.210,395.990,-47.3290,-1.9600,-1.1600,47.3840
244.690,168.490,395.990,-47.3310,-1.9700,-1.1600,47.3860
244.730,167.770,395.990,-47.3280,-1.9700,-1.1700,47.3840
244.870,167.070,395.990,-47.3290,-1.9700,-1.1700,47.3850
245.090,166.390,395.990,-47.3300,-1.9700,-1.1600,47.3850
245.390,165.740,395.990,-47.3300,-1.9700,-1.1600,47.3860
245.780,165.130,395.990,-47.3310,-1.9700,-1.1700,47.3860
246.240,164.580,395.990,-47.3350,-1.9800,-1.1700,47.3910
246.760,164.090,395.990,-47.3350,-1.9700,-1.1700,47.3900
247.340,163.670,395.990,-47.3360,-1.9800,-1.1600,47.3910
247.970,163.320,395.990,-47.3390,-1.9800,-1.1600,47.3940
248.630,163.060,395.990,-47.3390,-1.9800,-1.1700,47.3950
249.330,162.880,395.990,-47.3400,-1.9800,-1.1700,47.3960
250.040,162.790,395.990,-47.3370,-1.9800,-1.1700,47.3930
250.760,162.790,395.990,-47.3400,-1.9800,-1.1700,47.3960
251.470,162.880,395.990,-47.3410,-1.9900,-1.1700,47.3970
252.170,163.060,395.990,-47.3420,-1.9800,-1.1600,47.3970
252.830,163.320,395.990,-47.3480,-1.9800,-1.1700,47.4040
253.460,163.670,395.990,-47.3500,-1.9800,-1.1700,47.4060
254.040,164.090,395.990,-47.3460,-1.9800,-1.1600,47.4020
254.560,164.580,395.990,-47.3470,-1.9800,-1.1700,47.4030
255.020,165.130,395.990,-47.3470,-1.9800,-1.1800,47.4030
255.410,165.740,395.990,-47.3520,-1.9700,-1.1600,47.4070
255.710,166.390,395.990,-47.3540,-1.9700,-1.1700,47.4080
255.930,167.070,395.990,-47.3570,-1.9700,-1.1700,47.4110
256.070,167.770,395.990,-47.3550,-1.9700,-1.1600,47.4100
263.490,168.490,395.410,-47.3530,-1.9700,-1.1600,47.4070
263.390,170.130,395.410,-47.3660,-1.9700,-1.1700,47.4180
263.080,171.750,395.410,-47.3750,-1.9600,-1.1500,47.4300
262.570,173.310,395.410,-47.3730,-1.9600,-1.1500,47.4280
261.870,174.800,395.410,-47.3770,-1.9600,-1.1400,47.4310
260.990,176.180,395.410,-47.3730,-1.9400,-1.1500,47.4270
259.940,177.450,395.410,-47.3750,-1.9500,-1.1500,47.4280
258.740,178.580,395.410,-47.3740,-1.9400,-1.1300,47.4310
257.410,179.540,395.410,-47.3640,-1.9500,-1.1300,47.4180
255.970,180.330,395.410,-47.3600,-1.9400,-1.1500,47.4140
254.450,180.940,395.410,-47.3570,-1.9500,-1.1300,47.4100
252.850,181.350,395.410,-47.3510,-1.9500,-1.1400,47.4090
251.220,181.550,395.410,-47.3500,-1.9400,-1.1400,47.4040
249.580,181.550,395.410,-47.3480,-1.9400,-1.1300,47.4040
247.950,181.350,395.410,-47.3400,-1.9300,-1.1400,47.3930
246.350,180.940,395.410,-47.3370,-1.9400,-1.1400,47.3910
244.830,180.330,395.410,-47.3350,-1.9400,-1.1400,47.3880
243.390,179.540,395.410,-47.3310,-1.9400,-1.1300,47.3850
242.060,178.580,395.410,-47.3280,-1.9300,-1.1500,47.3810
240.860,177.450,395.410,-47.3240,-1.9300,-1.1500,47.3770
239.810,176.180,395.410,-47.3220,-1.9500,-1.1600,47.3760
238.930,174.800,395.410,-47.3180,-1.9500,-1.1600,47.3720
238.230,173.310,395.410,-47.3180,-1.9400,-1.1600,47.3750
237.720,171.750,395.410,-47.3160,-1.9600,-1.1600,47.3700
237.410,170.130,395.410,-47.3150,-1.9500,-1.1500,47.3690
237.310,168.490,395.410,-47.3160,-1.9400,-1.1500,47.3700
237.410,166.850,395.410,-47.3170,-1.9500,-1.1600,47.3710
237.720,165.230,395.410,-47.3170,-1.9700,-1.1500,47.3720
238.230,163.670,395.410,-47.3180,-1.9600,-1.1600,47.3730
238.930,162.180,395.410,-47.3150,-1.9600,-1.1600,47.3700
239.810,160.800,395.410,-47.3170,-1.9800,-1.1800,47.3730
240.860,159.530,395.410,-47.3240,-1.9700,-1.1800,47.3770
242.060,158.400,395.410,-47.3220,-1.9700,-1.1700,47.3780
243.390,157.440,395.410,-47.3230,-1.9800,-1.1600,47.3770
244.830,156.650,395.410,-47.3250,-1.9800,-1.1700,47.3810
246.350,156.040,395.410,-47.3320,-1.9900,-1.1600,47.3880
247.950,155.630,395.410,-47.3370,-2.0000,-1.1600,47.3930
249.580,155.430,395.410,-47.3360,-1.9900,-1.1700,47.3930
251.220,155.430,395.410,-47.3340,-1.9900,-1.1600,47.3890
252.850,155.630,395.410,-47.3410,-2.0000,-1.1700,47.3980
254.450,156.040,395.410,-47.3450,-1.9900,-1.1700,47.4020
255.970,156.650,395.410,-47.3480,-2.0000,-1.1800,47.4050
257.410,157.440,395.410,-47.3490,-1.9900,-1.1700,47.4050
258.740,158.400,395.410,-47.3560,-1.9900,-1.1600,47.4110
259.940,159.530,395.410,-47.3580,-1.9900,-1.1800,47.4130
260.990,160.800,395.410,-47.3580,-1.9800,-1.1600,47.4140
261.870,162.180,395.410,-47.3630,-1.9900,-1.1800,47.4180
262.570,163.670,395.410,-47.3690,-1.9700,-1.1700,47.4240
263.080,165.230,395.410,-47.3670,-1.9700,-1.1600,47.4220
263.390,166.850,395.410,-47.3690,-1.9700,-1.1600,47.4240
270.860,168.490,394.370,-47.3720,-1.9700,-1.1500,47.4240
270.700,171.050,394.370,-47.3860,-1.9500,-1.1500,47.4350
270.220,173.580,394.370,-47.3930,-1.9500,-1.1400,47.4470
269.430,176.020,394.370,-47.3910,-1.9400,-1.1400,47.4440
268.330,178.350,394.370,-47.3910,-1.9400,-1.1400,47.4420
266.950,180.520,394.370,-47.3910,-1.9300,-1.1300,47.4430
265.320,182.500,394.370,-47.3880,-1.9300,-1.1200,47.4400
263.440,184.260,394.370,-47.3820,-1.9300,-1.1200,47.4390
261.360,185.770,394.370,-47.3790,-1.9300,-1.1300,47.4310
259.110,187.010,394.370,-47.3710,-1.9300,-1.1100,47.4240
256.720,187.950,394.370,-47.3670,-1.9300,-1.1200,47.4180
254.230,188.590,394.370,-47.3630,-1.9300,-1.1100,47.4160
251.680,188.910,394.370,-47.3570,-1.9200,-1.1100,47.4090
249.120,188.910,394.370,-47.3490,-1.9300,-1.1200,47.4010
246.570,188.590,394.370,-47.3390,-1.9100,-1.1200,47.3950
244.080,187.950,394.370,-47.3350,-1.9200,-1.1300,47.3880
241.690,187.010,394.370,-47.3270,-1.9100,-1.1300,47.3790
239.440,185.770,394.370,-47.3230,-1.9100,-1.1300,47.3770
237.360,184.260,394.370,-47.3180,-1.9200,-1.1300,47.3700
235.480,182.500,394.370,-47.3170,-1.9100,-1.1400,47.3700
233.850,180.520,394.370,-47.3110,-1.9200,-1.1300,47.3630
232.470,178.350,394.370,-47.3100,-1.9200,-1.1600,47.3640
231.370,176.020,394.370,-47.3050,-1.9200,-1.1600,47.3600
230.580,173.580,394.370,-47.3030,-1.9400,-1.1500,47.3570
230.100,171.050,394.370,-47.3050,-1.9300,-1.1500,47.3580
229.940,168.490,394.370,-47.3020,-1.9400,-1.1500,47.3580
230.100,165.930,394.370,-47.3050,-1.9400,-1.1500,47.3590
230.580,163.400,394.370,-47.3080,-1.9500,-1.1700,47.3630
231.370,160.960,394.370,-47.3050,-1.9600,-1.1500,47.3580
232.470,158.630,394.370,-47.3130,-1.9600,-1.1600,47.3680
233.850,156.460,394.370,-47.3070,-1.9600,-1.1600,47.3620
235.480,154.480,394.370,-47.3100,-1.9700,-1.1700,47.3670
237.360,152.720,394.370,-47.3120,-1.9800,-1.1600,47.3680
239.440,151.210,394.370,-47.3160,-1.9800,-1.1600,47.3720
241.690,149.970,394.370,-47.3170,-1.9900,-1.1700,47.3740
244.080,149.030,394.370,-47.3210,-2.0000,-1.1600,47.3770
246.570,148.390,394.370,-47.3240,-2.0000,-1.1600,47.3790
249.120,148.070,394.370,-47.3280,-2.0000,-1.1600,47.3840
251.680,148.070,394.370,-47.3330,-2.0100,-1.1700,47.3900
254.230,148.390,394.370,-47.3400,-2.0000,-1.1600,47.3950
256.720,149.030,394.370,-47.3460,-2.0100,-1.1700,47.4030
259.110,149.970,394.370,-47.3510,-2.0100,-1.1600,47.4070
261.360,151.210,394.370,-47.3570,-2.0100,-1.1700,47.4120
263.440,152.720,394.370,-47.3600,-2.0100,-1.1700,47.4170
265.320,154.480,394.370,-47.3640,-2.0000,-1.1700,47.4200
266.950,156.460,394.370,-47.3710,-1.9900,-1.1700,47.4250
268.330,158.630,394.370,-47.3740,-1.9900,-1.1700,47.4300
269.430,160.960,394.370,-47.3760,-1.9900,-1.1500,47.4320
270.220,163.400,394.370,-47.3830,-1.9800,-1.1600,47.4360
270.700,165.930,394.370,-47.3870,-1.9700,-1.1600,47.4430
278.170,168.490,392.870,-47.3900,-1.9700,-1.1500,47.4440
277.950,171.970,392.870,-47.4000,-1.9500,-1.1600,47.4490
277.290,175.390,392.870,-47.4100,-1.9300,-1.1400,47.4630
276.220,178.710,392.870,-47.4080,-1.9200,-1.1400,47.4610
274.730,181.870,392.870,-47.4090,-1.9300,-1.1300,47.4620
272.860,184.810,392.870,-47.4050,-1.9200,-1.1100,47.4580
270.640,187.500,392.870,-47.3990,-1.9100,-1.1200,47.4510
268.100,189.880,392.870,-47.3910,-1.9000,-1.1000,47.4460
265.280,191.930,392.870,-47.3880,-1.9200,-1.1000,47.4400
262.220,193.610,392.870,-47.3830,-1.9000,-1.1000,47.4340
258.980,194.900,392.870,-47.3720,-1.9000,-1.1000,47.4250
255.600,195.760,392.870,-47.3620,-1.9000,-1.1000,47.4130
252.140,196.200,392.870,-47.3520,-1.9000,-1.1000,47.4060
248.660,196.200,392.870,-47.3470,-1.9000,-1.0900,47.3990
245.200,195.760,392.870,-47.3350,-1.9000,-1.1000,47.3870
241.820,194.900,392.870,-47.3270,-1.8900,-1.1000,47.3760
238.580,193.610,392.870,-47.3260,-1.8900,-1.1100,47.3760
235.520,191.930,392.870,-47.3180,-1.9000,-1.1200,47.3710
232.700,189.880,392.870,-47.3100,-1.8900,-1.1200,47.3610
230.160,187.500,392.870,-47.3020,-1.8900,-1.1300,47.3560
227.940,184.810,392.870,-47.2990,-1.9000,-1.1400,47.3510
226.070,181.870,392.870,-47.2950,-1.9000,-1.1500,47.3470
224.580,178.710,392.870,-47.2990,-1.9000,-1.1400,47.3510
223.510,175.390,392.870,-47.2990,-1.9100,-1.1600,47.3510
222.850,171.970,392.870,-47.2930,-1.9100,-1.1700,47.3460
222.630,168.490,392.870,-47.2960,-1.9200,-1.1600,47.3490
222.850,165.010,392.870,-47.2970,-1.9300,-1.1600,47.3510
223.510,161.590,392.870,-47.2990,-1.9400,-1.1700,47.3530
224.580,158.270,392.870,-47.2940,-1.9500,-1.1800,47.3490
226.070,155.110,392.870,-47.2960,-1.9500,-1.1700,47.3510
227.940,152.170,392.870,-47.2960,-1.9700,-1.1800,47.3520
230.160,149.480,392.870,-47.3010,-1.9700,-1.1700,47.3560
232.700,147.100,392.870,-47.3020,-1.9700,-1.1700,47.3560
235.520,145.050,392.870,-47.3100,-1.9900,-1.1700,47.3660
238.580,143.370,392.870,-47.3130,-2.0000,-1.1700,47.3700
241.820,142.080,392.870,-47.3130,-2.0100,-1.1600,47.3700
245.200,141.220,392.870,-47.3220,-2.0100,-1.1800,47.3760
248.660,140.780,392.870,-47.3230,-2.0200,-1.1600,47.3790
252.140,140.780,392.870,-47.3270,-2.0300,-1.1600,47.3850
255.600,141.220,392.870,-47.3370,-2.0100,-1.1700,47.3910
258.980,142.080,392.870,-47.3410,-2.0200,-1.1600,47.3990
262.220,143.370,392.870,-47.3490,-2.0200,-1.1800,47.4040
265.280,145.050,392.870,-47.3520,-2.0200,-1.1700,47.4090
268.100,147.100,392.870,-47.3630,-2.0100,-1.1700,47.4170
270.640,149.480,392.870,-47.3670,-2.0200,-1.1800,47.4250
272.860,152.170,392.870,-47.3730,-2.0100,-1.1800,47.4270
274.730,155.110,392.870,-47.3840,-1.9900,-1.1700,47.4400
276.220,158.270,392.870,-47.3860,-1.9900,-1.1800,47.4450
